,what,is,the,major,tributary,of,the,rhine,?
the,0.42745697498321533,0.5823672413825989,1.0,0.31775903701782227,0.2506791055202484,0.733189046382904,1.0,0.30735138058662415,0.22068053483963013
rhine,0.16475653648376465,0.15617261826992035,0.30735138058662415,0.10607928037643433,0.38415995240211487,0.2548927664756775,0.30735138058662415,1.0,0.13754533231258392
emerges,0.20366497337818146,0.2250874936580658,0.31405022740364075,0.19000931084156036,0.2865062952041626,0.2318912148475647,0.31405022740364075,0.12692593038082123,0.10154369473457336
from,0.2737620174884796,0.27355384826660156,0.40150508284568787,0.1417090892791748,0.16882888972759247,0.4249346852302551,0.40150508284568787,0.2181936800479889,0.19969791173934937
lake,0.17778855562210083,0.22300897538661957,0.24325428903102875,0.12608104944229126,0.350729763507843,0.23993153870105743,0.24325428903102875,0.22246339917182922,0.07226386666297913
constance,0.143944650888443,0.2383592426776886,0.23177717626094818,0.04995693266391754,0.2620871663093567,0.28979653120040894,0.23177717626094818,0.33406126499176025,0.1427515298128128
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.29355156421661377,0.2147335559129715,0.4946078956127167,0.4933079481124878,0.167837992310524,0.31091248989105225
flows,0.14294633269309998,0.3137552738189697,0.32405155897140503,0.14594689011573792,0.6798871755599976,0.25574392080307007,0.32405155897140503,0.2871347963809967,0.11636040359735489
generally,0.40614598989486694,0.4094115197658539,0.41466525197029114,0.2224242240190506,0.09128056466579437,0.3127037584781647,0.41466525197029114,0.15703576803207397,0.23411904275417328
westward,0.2100256085395813,0.15360386669635773,0.30838510394096375,0.20433278381824493,0.3217238783836365,0.19336579740047455,0.30838510394096375,0.2743622064590454,0.12436557561159134
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.29355156421661377,0.2147335559129715,0.4946078956127167,0.4933079481124878,0.167837992310524,0.31091248989105225
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.20393970608711243,0.12213096767663956,0.3886612355709076,0.48381632566452026,0.18380387127399445,0.27043893933296204
the,0.42745697498321533,0.5823672413825989,1.0,0.31775903701782227,0.2506791055202484,0.733189046382904,1.0,0.30735138058662415,0.22068053483963013
hochrhein,0.2209644466638565,0.3154090344905853,0.31283074617385864,0.18328064680099487,0.32410043478012085,0.3343646228313446,0.31283074617385864,0.5604863166809082,0.23659135401248932
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.29355156421661377,0.2147335559129715,0.4946078956127167,0.4933079481124878,0.167837992310524,0.31091248989105225
passes,0.21615341305732727,0.2950793206691742,0.3752402365207672,0.19504006206989288,0.3019457161426544,0.31505411863327026,0.3752402365207672,0.18002983927726746,0.09716983139514923
the,0.42745697498321533,0.5823672413825989,1.0,0.31775903701782227,0.2506791055202484,0.733189046382904,1.0,0.30735138058662415,0.22068053483963013
rhine,0.16475653648376465,0.15617261826992035,0.30735138058662415,0.10607928037643433,0.38415995240211487,0.2548927664756775,0.30735138058662415,1.0,0.13754533231258392
falls,0.1882239729166031,0.24868997931480408,0.2708098292350769,0.09885504841804504,0.24698412418365479,0.23047612607479095,0.2708098292350769,0.2623627483844757,0.15918700397014618
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.29355156421661377,0.2147335559129715,0.4946078956127167,0.4933079481124878,0.167837992310524,0.31091248989105225
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.29795366525650024,0.14704793691635132,0.5116966962814331,0.5171257257461548,0.22029656171798706,0.20544172823429108
is,0.28837618231773376,1.0,0.5823672413825989,0.19079607725143433,0.21056076884269714,0.4854315221309662,0.5823672413825989,0.15617261826992035,0.22961433231830597
joined,0.11022865772247314,0.14851494133472443,0.2943263649940491,0.13659077882766724,0.22914987802505493,0.24761945009231567,0.2943263649940491,0.2115587294101715,0.06566751003265381
by,0.2455483376979828,0.3899846076965332,0.4408751428127289,0.19764594733715057,0.10559806227684021,0.3646814823150635,0.4408751428127289,0.18456800282001495,0.17966607213020325
its,0.30393704771995544,0.4447362422943115,0.559237003326416,0.24033352732658386,0.2291281521320343,0.48690423369407654,0.559237003326416,0.17144687473773956,0.15103481709957123
major,0.21026742458343506,0.19079607725143433,0.31775903701782227,0.9999998807907104,0.19543693959712982,0.2641255557537079,0.31775903701782227,0.10607928037643433,0.19788557291030884
tributary,0.1573023945093155,0.21056076884269714,0.2506791055202484,0.19543693959712982,0.9999999403953552,0.22086340188980103,0.2506791055202484,0.38415995240211487,0.15467847883701324
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.29355156421661377,0.2147335559129715,0.4946078956127167,0.4933079481124878,0.167837992310524,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,1.0,0.31775903701782227,0.2506791055202484,0.733189046382904,1.0,0.30735138058662415,0.22068053483963013
river,0.13815869390964508,0.20670881867408752,0.2894456386566162,0.18837159872055054,0.7422162294387817,0.19903257489204407,0.2894456386566162,0.3672541379928589,0.15390869975090027
aare,0.24427781999111176,0.34166935086250305,0.3575730621814728,0.19175852835178375,0.38152825832366943,0.30810537934303284,0.3575730621814728,0.4274474084377289,0.15954816341400146
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.3054012954235077,0.11783399432897568,0.5352458953857422,0.5934505462646484,0.2089352011680603,0.4130953550338745
