,when,was,the,decision,made,to,replace,the,nova,rockets,with,the,saturn,v,?
the,0.5091903209686279,0.48711544275283813,1.0,0.2905151844024658,0.3885267674922943,0.535392165184021,0.21257810294628143,1.0,0.16876175999641418,0.2335384339094162,0.4223487675189972,1.0,0.24189656972885132,0.18580520153045654,0.22068053483963013
june,0.2469879388809204,0.42821118235588074,0.24568822979927063,0.2771167755126953,0.16528737545013428,0.22441016137599945,0.18540363013744354,0.24568822979927063,0.17295388877391815,0.13928981125354767,0.20185330510139465,0.24568822979927063,0.14845387637615204,0.18499509990215302,0.31416764855384827
11,0.03520116209983826,0.08354385942220688,-0.0219515822827816,-0.012217902578413486,0.05891163647174835,0.010993496514856815,-0.1714661717414856,-0.0219515822827816,-0.031505029648542404,0.06776101887226105,-0.04597003385424614,-0.0219515822827816,-0.034744638949632645,-0.05007553473114967,-0.04295448586344719
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.2818170189857483,0.32507219910621643,0.44245919585227966,0.19695894420146942,0.4933079481124878,0.220703586935997,0.23994240164756775,0.4120737314224243,0.4933079481124878,0.22104106843471527,0.22053663432598114,0.31091248989105225
1962,-0.07782699912786484,-0.03281155601143837,-0.023296929895877838,-0.060723647475242615,-0.05572199076414108,-0.048656053841114044,-0.06141700968146324,-0.023296929895877838,-0.046847742050886154,-0.06296883523464203,-0.07231000065803528,-0.023296929895877838,0.01659821905195713,-0.09662357717752457,-0.008269774727523327
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.2818170189857483,0.32507219910621643,0.44245919585227966,0.19695894420146942,0.4933079481124878,0.220703586935997,0.23994240164756775,0.4120737314224243,0.4933079481124878,0.22104106843471527,0.22053663432598114,0.31091248989105225
decision,0.2485322803258896,0.25498270988464355,0.2905151844024658,1.0,0.21546365320682526,0.35372841358184814,0.1893700510263443,0.2905151844024658,0.050967004150152206,0.13711704313755035,0.19276101887226105,0.2905151844024658,0.1334790289402008,0.3554520905017853,0.2796577215194702
to,0.5423505902290344,0.3636345863342285,0.535392165184021,0.35372841358184814,0.3377571105957031,1.0,0.3497537076473236,0.535392165184021,0.10374868661165237,0.2752438485622406,0.4239959120750427,0.535392165184021,0.18787172436714172,0.2109750658273697,0.29463258385658264
use,0.3298092782497406,0.17744606733322144,0.34342584013938904,0.252726674079895,0.2412480264902115,0.47261837124824524,0.37529256939888,0.34342584013938904,0.08633165061473846,0.23900797963142395,0.3356984257698059,0.34342584013938904,0.14609842002391815,0.12898752093315125,0.32795652747154236
lunar,0.15420162677764893,0.17547959089279175,0.23309995234012604,0.19326411187648773,0.15643368661403656,0.15437743067741394,0.10104671865701675,0.23309995234012604,0.12157581746578217,0.2865462601184845,0.11691921204328537,0.23309995234012604,0.40841978788375854,0.1455918252468109,0.1628302037715912
