,how,populous,is,victoria,compared,to,other,australian,states,?
victoria,0.09004101157188416,0.20870687067508698,0.1633591204881668,1.0,0.10653766244649887,0.18328198790550232,0.1569051742553711,0.42558738589286804,0.15514452755451202,0.12246892601251602
is,0.22544461488723755,0.3188974857330322,1.0,0.1633591204881668,0.2816821038722992,0.42745086550712585,0.25895947217941284,0.1682673692703247,0.21939043700695038,0.22961433231830597
australia,0.18526475131511688,0.17742690443992615,0.1734699010848999,0.5548879504203796,0.18979735672473907,0.24799345433712006,0.2215326577425003,0.7325041890144348,0.34114670753479004,0.15702682733535767
's,-0.026164190843701363,0.05851517990231514,0.02396530658006668,0.06206126511096954,0.04780092462897301,0.03782717138528824,0.04445967823266983,0.06212134659290314,-0.004298824816942215,-0.023395681753754616
most,0.311336874961853,0.3985730707645416,0.41165053844451904,0.13849598169326782,0.3639819025993347,0.321603000164032,0.4585079252719879,0.15910908579826355,0.286347895860672,0.2107497900724411
densely,0.15072694420814514,0.5234028697013855,0.3503496050834656,0.18283714354038239,0.2940371036529541,0.28154584765434265,0.3003390431404114,0.11414036154747009,0.2184525579214096,0.06828517466783524
populated,0.1526753008365631,0.6827641129493713,0.3163478672504425,0.12772752344608307,0.19198927283287048,0.2197755128145218,0.2823719382286072,0.033797577023506165,0.2740197479724884,0.20106194913387299
state,0.15028610825538635,0.33884137868881226,0.2627358138561249,0.23197819292545319,0.10559162497520447,0.25557461380958557,0.25314825773239136,0.14670804142951965,0.5370627045631409,0.1160883978009224
and,0.33647966384887695,0.2610417604446411,0.3859752118587494,0.24507255852222443,0.38507750630378723,0.48971283435821533,0.5504306554794312,0.2769584059715271,0.2974761426448822,0.20544172823429108
its,0.22449488937854767,0.39262327551841736,0.4447362422943115,0.17721910774707794,0.30378493666648865,0.3691340684890747,0.29483991861343384,0.12150191515684128,0.2691997289657593,0.15103481709957123
second-most,0.24342267215251923,0.3517005443572998,0.395599901676178,0.28118714690208435,0.26289570331573486,0.40976187586784363,0.3430086672306061,0.19061465561389923,0.28408101201057434,0.3102846145629883
populous,0.05970538407564163,1.0000001192092896,0.3188974857330322,0.20870687067508698,0.19111491739749908,0.17486226558685303,0.20298215746879578,0.09123504161834717,0.32262998819351196,0.1949436515569687
state,0.15028610825538635,0.33884137868881226,0.2627358138561249,0.23197819292545319,0.10559162497520447,0.25557461380958557,0.25314825773239136,0.14670804142951965,0.5370627045631409,0.1160883978009224
overall,0.25038012862205505,0.22908183932304382,0.21297959983348846,0.10986237972974777,0.27820685505867004,0.2557717263698578,0.2084461748600006,0.1392548382282257,0.21604181826114655,0.18573027849197388
.,0.3287222981452942,0.235090434551239,0.4569662809371948,0.23069117963314056,0.27071613073349,0.4645031690597534,0.41511186957359314,0.2256850302219391,0.33941102027893066,0.4130953550338745
