,what,river,originally,bounded,the,duchy
the,0.42745697498321533,0.2894456386566162,0.36820849776268005,0.33684098720550537,1.0,0.2944258749485016
area,0.21965408325195312,0.3487212359905243,0.2142016440629959,0.40856489539146423,0.37834644317626953,0.22735343873500824
corresponded,0.20853009819984436,0.14297603070735931,0.23946590721607208,0.34440794587135315,0.34041157364845276,0.10663164407014847
to,0.455847829580307,0.13636653125286102,0.30024412274360657,0.21984805166721344,0.535392165184021,0.1661931276321411
the,0.42745697498321533,0.2894456386566162,0.36820849776268005,0.33684098720550537,1.0,0.2944258749485016
northern,0.19332477450370789,0.2822229266166687,0.1683700680732727,0.32856085896492004,0.3422943353652954,0.24903833866119385
part,0.3476244807243347,0.20468007028102875,0.31832176446914673,0.34859150648117065,0.527681291103363,0.3293337821960449
of,0.33290785551071167,0.19903257489204407,0.21349623799324036,0.28187957406044006,0.733189046382904,0.3249194324016571
present-day,0.3194306194782257,0.14590886235237122,0.24532808363437653,0.13822826743125916,0.36770060658454895,0.19931116700172424
upper,0.1592642068862915,0.30176234245300293,0.1908125877380371,0.31609877943992615,0.35289278626441956,0.26227322220802307
normandy,0.2290361374616623,0.16452671587467194,0.16185547411441803,0.21948911249637604,0.30340051651000977,0.41520246863365173
down,0.26226112246513367,0.17594721913337708,0.19392429292201996,0.22482818365097046,0.3325848877429962,0.08401024341583252
to,0.455847829580307,0.13636653125286102,0.30024412274360657,0.21984805166721344,0.535392165184021,0.1661931276321411
the,0.42745697498321533,0.2894456386566162,0.36820849776268005,0.33684098720550537,1.0,0.2944258749485016
river,0.13815869390964508,0.9999999403953552,0.1685129851102829,0.3184369206428528,0.2894456386566162,0.18483451008796692
seine,0.22643093764781952,0.3844311237335205,0.18507042527198792,0.25347182154655457,0.26906487345695496,0.32329732179641724
",",0.3087472915649414,0.26637205481529236,0.2660219669342041,0.2928002178668976,0.4933079481124878,0.28778398036956787
but,0.5029441118240356,0.181527778506279,0.29864904284477234,0.1967538744211197,0.4859698414802551,0.2540104389190674
the,0.42745697498321533,0.2894456386566162,0.36820849776268005,0.33684098720550537,1.0,0.2944258749485016
duchy,0.14499960839748383,0.18483451008796692,0.18627431988716125,0.2002873420715332,0.2944258749485016,0.9999998807907104
would,0.45766422152519226,0.15781831741333008,0.2540910542011261,0.1471685916185379,0.4133751392364502,0.20249445736408234
eventually,0.28470873832702637,0.16476798057556152,0.3220548927783966,0.10940194875001907,0.42022404074668884,0.28369179368019104
extend,0.30407145619392395,0.17389528453350067,0.1691756248474121,0.3430621922016144,0.29680711030960083,0.10919462889432907
west,0.1946573108434677,0.32508954405784607,0.20152431726455688,0.3817448616027832,0.32918402552604675,0.20608508586883545
beyond,0.3297902047634125,0.13475218415260315,0.15938521921634674,0.2238760143518448,0.2982341945171356,0.1059381440281868
the,0.42745697498321533,0.2894456386566162,0.36820849776268005,0.33684098720550537,1.0,0.2944258749485016
