,where,were,tetzel,'s,teachings,in,line,with,church,dogma,?
yet,0.33674320578575134,0.26993221044540405,0.15645089745521545,-0.060681819915771484,0.24312610924243927,0.2714422047138214,0.17851275205612183,0.29829204082489014,0.1475159227848053,0.2963721454143524,0.4011770784854889
if,0.46109890937805176,0.1688997447490692,0.170811727643013,-0.0015437148977071047,0.16845659911632538,0.2589588761329651,0.23265975713729858,0.34021785855293274,0.16554011404514313,0.22162282466888428,0.4441644251346588
tetzel,0.12163953483104706,0.1181429922580719,0.9999999403953552,0.025626985356211662,0.1527920961380005,0.26100096106529236,0.14124983549118042,0.2576636075973511,0.11184664070606232,0.15788763761520386,0.1545286476612091
overstated,0.21185269951820374,0.23814384639263153,0.11933454126119614,-0.03172293305397034,0.3049360513687134,0.21193857491016388,0.18671730160713196,0.2352711707353592,0.19904297590255737,0.260981023311615,0.2745743989944458
the,0.5003893971443176,0.3906462490558624,0.26067298650741577,-0.01540423184633255,0.2114255279302597,0.6662389636039734,0.29789501428604126,0.4223487675189972,0.23846197128295898,0.24995286762714386,0.22068053483963013
matter,0.32366248965263367,0.21120181679725647,0.14108295738697052,0.039716437458992004,0.21778054535388947,0.2179846465587616,0.1755547672510147,0.2980373203754425,0.1600242704153061,0.2828792929649353,0.269619345664978
in,0.5344807505607605,0.3815755248069763,0.26100096106529236,-0.037580832839012146,0.19091618061065674,1.0,0.2258777767419815,0.4080928862094879,0.2493300437927246,0.20073407888412476,0.20430970191955566
regard,0.24803993105888367,0.2675539553165436,0.08248209208250046,0.04070582985877991,0.37379953265190125,0.26254305243492126,0.12234647572040558,0.2617509067058563,0.2556808888912201,0.3597775101661682,0.25592759251594543
to,0.47735077142715454,0.31913647055625916,0.17206594347953796,0.03782717138528824,0.24466444551944733,0.45010748505592346,0.2615616023540497,0.4239959120750427,0.24439501762390137,0.2086782604455948,0.29463258385658264
indulgences,0.16468416154384613,0.2021196484565735,0.13006402552127838,0.009167968295514584,0.567501425743103,0.18559019267559052,0.14673839509487152,0.16578751802444458,0.4724566638469696,0.4395360052585602,0.21964608132839203
