,what,did,the,next,three,drives,result,in,?
the,0.42745697498321533,0.34736719727516174,1.0,0.35833123326301575,0.43452659249305725,0.20820994675159454,0.27778977155685425,0.6662389636039734,0.22068053483963013
next,0.25980645418167114,0.22386232018470764,0.35833123326301575,1.0,0.24944624304771423,0.13133768737316132,0.17694970965385437,0.29307645559310913,0.167460098862648
three,0.24888746440410614,0.2043166607618332,0.43452659249305725,0.24944624304771423,1.0,0.14050835371017456,0.12608283758163452,0.34828072786331177,0.20928427577018738
drives,0.23342765867710114,0.14296342432498932,0.20820994675159454,0.13133768737316132,0.14050835371017456,0.9999999403953552,0.18137727677822113,0.14633353054523468,0.08974530547857285
of,0.33290785551071167,0.2513895630836487,0.733189046382904,0.2935165464878082,0.3844621181488037,0.1603955775499344,0.231380432844162,0.5696388483047485,0.1826142966747284
the,0.42745697498321533,0.34736719727516174,1.0,0.35833123326301575,0.43452659249305725,0.20820994675159454,0.27778977155685425,0.6662389636039734,0.22068053483963013
game,0.2246788740158081,0.19789010286331177,0.285271555185318,0.1716485172510147,0.24410177767276764,0.19227665662765503,0.16611161828041077,0.23986028134822845,0.1829071193933487
would,0.45766422152519226,0.6268245577812195,0.4133751392364502,0.2764621376991272,0.2433076798915863,0.2364370971918106,0.30209586024284363,0.30461156368255615,0.37178951501846313
end,0.29234179854393005,0.18808481097221375,0.39658910036087036,0.2848338782787323,0.21347394585609436,0.17053982615470886,0.314713716506958,0.28539085388183594,0.12543344497680664
in,0.30808621644973755,0.2593238651752472,0.6662389636039734,0.29307645559310913,0.34828072786331177,0.14633353054523468,0.25670310854911804,1.0,0.20430970191955566
punts,0.21862637996673584,0.1370622217655182,0.21641352772712708,0.16098687052726746,0.15065068006515503,0.22760812938213348,0.17799797654151917,0.19431474804878235,0.19397130608558655
.,0.3567904531955719,0.35288307070732117,0.5934505462646484,0.2761645019054413,0.34968629479408264,0.1786690652370453,0.31092435121536255,0.5591574311256409,0.4130953550338745
