,what,does,the,ipcc,rely,on,for,research,?
since,0.29783400893211365,0.23816218972206116,0.4054957628250122,0.22629745304584503,0.165353924036026,0.32446393370628357,0.36751601099967957,0.17813822627067566,0.2876587212085724
the,0.42745697498321533,0.35928019881248474,1.0,0.24925659596920013,0.2672518789768219,0.5107308030128479,0.4739971458911896,0.24391183257102966,0.22068053483963013
ipcc,0.33176189661026,0.2859721779823303,0.24925659596920013,1.0000001192092896,0.22108392417430878,0.24879392981529236,0.19251582026481628,0.41978248953819275,0.22295254468917847
does,0.38564667105674744,1.0,0.35928019881248474,0.2859721779823303,0.3773644268512726,0.2568802833557129,0.35159170627593994,0.20314310491085052,0.338003009557724
not,0.5449194312095642,0.6355478763580322,0.4310511648654938,0.25688210129737854,0.41727352142333984,0.3516409695148468,0.39280617237091064,0.2425752729177475,0.41942933201789856
carry,0.22239743173122406,0.17188382148742676,0.26752355694770813,0.1078876331448555,0.31548812985420227,0.22389066219329834,0.2858029901981354,0.15901345014572144,0.17171701788902283
out,0.3633197546005249,0.24808503687381744,0.39404502511024475,0.20993299782276154,0.20816490054130554,0.39060163497924805,0.3312093913555145,0.18028777837753296,0.22020699083805084
its,0.30393704771995544,0.33437713980674744,0.559237003326416,0.24596279859542847,0.24400386214256287,0.34331920742988586,0.2992613911628723,0.23231735825538635,0.15103481709957123
own,0.35062843561172485,0.31958556175231934,0.334675133228302,0.14145992696285248,0.3332907557487488,0.305448979139328,0.30703625082969666,0.22687460482120514,0.1937696635723114
research,0.237140491604805,0.20314310491085052,0.24391183257102966,0.41978248953819275,0.25388583540916443,0.2395089864730835,0.29481053352355957,1.0,0.13481977581977844
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.15590040385723114,0.253036767244339,0.49057599902153015,0.4464869201183319,0.2764695882797241,0.31091248989105225
it,0.45803478360176086,0.34188351035118103,0.6251175999641418,0.21679024398326874,0.28978481888771057,0.4529881477355957,0.32171204686164856,0.24603503942489624,0.25732165575027466
operates,0.17323419451713562,0.25847193598747253,0.2663705050945282,0.176653191447258,0.27261054515838623,0.26052126288414,0.22636084258556366,0.2547086775302887,0.12270797789096832
on,0.34226128458976746,0.2568802833557129,0.5107308030128479,0.24879392981529236,0.3302572965621948,0.9999999403953552,0.36199691891670227,0.2395089864730835,0.2714994251728058
