,by,separating,faith,and,reason,",",what,does,luther,honor,?
luther,0.15382802486419678,0.18454726040363312,0.2839079797267914,0.20796556770801544,0.1425657421350479,0.23255878686904907,0.2134782373905182,0.14081993699073792,1.0,0.21950657665729523,0.1732746809720993
's,-0.010884488001465797,-0.03629791736602783,0.07204221934080124,0.06895173341035843,0.0060955071821808815,-0.0016132977325469255,0.02692362666130066,-0.02895052544772625,-0.009990512393414974,0.00392131507396698,-0.023395681753754616
concern,0.23804707825183868,0.17467087507247925,0.255851149559021,0.2441520392894745,0.4049700200557709,0.2630102038383484,0.3580206632614136,0.23235267400741577,0.1542375087738037,0.13452263176441193,0.3455961048603058
thus,0.2587898373603821,0.36487406492233276,0.24595613777637482,0.3723181188106537,0.3222685158252716,0.3071325421333313,0.30745524168014526,0.30094778537750244,0.060248855501413345,0.17734722793102264,0.18769288063049316
in,0.370934396982193,0.3024732172489166,0.16146141290664673,0.4954058527946472,0.21220409870147705,0.5201468467712402,0.30808621644973755,0.214483380317688,0.20523880422115326,0.22434492409229279,0.20430970191955566
separating,0.20665395259857178,1.0,0.14320144057273865,0.3370373845100403,0.21326299011707306,0.28209012746810913,0.2899963855743408,0.2416178435087204,0.18454726040363312,0.1445450633764267,0.09579058736562729
them,0.35830166935920715,0.28403401374816895,0.2783489227294922,0.48717668652534485,0.4201864004135132,0.3985835015773773,0.4994642734527588,0.35492652654647827,0.1940135955810547,0.22531139850616455,0.35435691475868225
is,0.3899846076965332,0.21588368713855743,0.2154717594385147,0.3859752118587494,0.25543609261512756,0.4691906273365021,0.28837618231773376,0.4403602182865143,0.08282390236854553,0.1718253493309021,0.22961433231830597
honoring,0.19269244372844696,0.21054485440254211,0.2289184182882309,0.18962998688220978,0.12880370020866394,0.246589794754982,0.160827174782753,0.16012707352638245,0.2752647399902344,0.7298393845558167,0.1401454508304596
their,0.3242124021053314,0.2703564763069153,0.19202081859111786,0.45114588737487793,0.27609744668006897,0.3045167922973633,0.35142919421195984,0.29094186425209045,0.1988239735364914,0.18591350317001343,0.1898253709077835
different,0.2739490568637848,0.39325544238090515,0.18878808617591858,0.39536112546920776,0.26750606298446655,0.32220861315727234,0.39262300729751587,0.30926814675331116,0.21398253738880157,0.11062729358673096,0.24476227164268494
epistemological,0.21838144958019257,0.3136895000934601,0.3261179029941559,0.28853923082351685,0.2881211042404175,0.2653194069862366,0.4110797345638275,0.2444274127483368,0.2017875760793686,0.1377115398645401,0.2677155137062073
spheres,0.17893345654010773,0.2838866710662842,0.16323259472846985,0.23852930963039398,0.19783411920070648,0.23496697843074799,0.19068695604801178,0.1517784744501114,0.10612999647855759,0.17136654257774353,0.14280365407466888
.,0.3936232924461365,0.27397438883781433,0.2496335357427597,0.588965117931366,0.3219331204891205,0.6812511086463928,0.3567904531955719,0.3022993505001068,0.24907569587230682,0.22814065217971802,0.4130953550338745
,by,separating,faith,and,reason,",",what,does,luther,honor,?
luther,0.15382802486419678,0.18454726040363312,0.2839079797267914,0.20796556770801544,0.1425657421350479,0.23255878686904907,0.2134782373905182,0.14081993699073792,1.0,0.21950657665729523,0.1732746809720993
rather,0.2593236565589905,0.281150758266449,0.22988756000995636,0.34474092721939087,0.37578490376472473,0.276650071144104,0.3923804461956024,0.39748668670654297,0.19670958817005157,0.14250382781028748,0.3053998053073883
seeks,0.16429707407951355,0.23576761782169342,0.2415284663438797,0.26013293862342834,0.2235891968011856,0.18343710899353027,0.23716679215431213,0.39653846621513367,0.13033035397529602,0.11749547719955444,0.1662053018808365
to,0.33534231781959534,0.28893592953681946,0.2426898032426834,0.48971283435821533,0.3437597155570984,0.44245919585227966,0.455847829580307,0.4391997456550598,0.18029534816741943,0.2079980969429016,0.29463258385658264
separate,0.20910128951072693,0.7208433151245117,0.12306042015552521,0.334524005651474,0.2706919312477112,0.2999747693538666,0.33215096592903137,0.28967124223709106,0.12112432718276978,0.1632339209318161,0.16835719347000122
faith,0.15042667090892792,0.14320144057273865,1.0,0.2653059959411621,0.25525468587875366,0.3190833032131195,0.3120079040527344,0.20944759249687195,0.2839079797267914,0.18675905466079712,0.2833177447319031
and,0.4289871156215668,0.3370373845100403,0.2653059959411621,1.0,0.26490068435668945,0.6633074283599854,0.31309178471565247,0.3461615741252899,0.20796556770801544,0.18950335681438446,0.20544172823429108
reason,0.18194518983364105,0.21326299011707306,0.25525468587875366,0.26490068435668945,1.0,0.24553878605365753,0.3762516975402832,0.40213650465011597,0.1425657421350479,0.14038725197315216,0.3403966724872589
in,0.370934396982193,0.3024732172489166,0.16146141290664673,0.4954058527946472,0.21220409870147705,0.5201468467712402,0.30808621644973755,0.214483380317688,0.20523880422115326,0.22434492409229279,0.20430970191955566
order,0.17732734978199005,0.17328651249408722,0.1977427899837494,0.2671266496181488,0.19646257162094116,0.22478096187114716,0.16634008288383484,0.25689154863357544,0.15481990575790405,0.2814219295978546,0.13725648820400238
to,0.33534231781959534,0.28893592953681946,0.2426898032426834,0.48971283435821533,0.3437597155570984,0.44245919585227966,0.455847829580307,0.4391997456550598,0.18029534816741943,0.2079980969429016,0.29463258385658264
honor,0.20368218421936035,0.1445450633764267,0.18675905466079712,0.18950335681438446,0.14038725197315216,0.24882826209068298,0.15029305219650269,0.19746133685112,0.21950657665729523,1.0,0.1187526285648346
the,0.4408751428127289,0.34378665685653687,0.20665863156318665,0.5171257257461548,0.29647648334503174,0.4933079481124878,0.42745697498321533,0.35928019881248474,0.1759674996137619,0.2633417248725891,0.22068053483963013
separate,0.20910128951072693,0.7208433151245117,0.12306042015552521,0.334524005651474,0.2706919312477112,0.2999747693538666,0.33215096592903137,0.28967124223709106,0.12112432718276978,0.1632339209318161,0.16835719347000122
