,in,which,city,was,tesla,'s,consultant,job,for,westinghouse,?
westinghouse,0.2579890191555023,0.2770593464374542,0.2162541002035141,0.30702054500579834,0.35764777660369873,-0.008012998849153519,0.3461652100086212,0.14707201719284058,0.25690075755119324,0.9999999403953552,0.17307911813259125
also,0.5073733329772949,0.6566565632820129,0.2577536404132843,0.4032125174999237,0.16213464736938477,-0.0014726108638569713,0.29562345147132874,0.3020719587802887,0.5373267531394958,0.2848412096500397,0.21848613023757935
hired,0.18746300041675568,0.14777979254722595,0.12720467150211334,0.3013991713523865,0.15152283012866974,-0.030750012025237083,0.36991435289382935,0.3869720697402954,0.2668524980545044,0.3047245144844055,0.1434362679719925
tesla,0.17097744345664978,0.2203940600156784,0.13220614194869995,0.16455206274986267,0.9999999403953552,0.06449045985937119,0.2050866335630417,0.18396559357643127,0.13983871042728424,0.35764777660369873,0.10250775516033173
for,0.4322226941585541,0.44095608592033386,0.18687109649181366,0.3863949179649353,0.13983871042728424,-0.07241261005401611,0.2879292666912079,0.3520078659057617,0.9999999403953552,0.25690075755119324,0.264628142118454
one,0.4129433035850525,0.510688066482544,0.26093539595603943,0.3752199709415436,0.2218162566423416,0.06913424283266068,0.231826514005661,0.20850062370300293,0.384836345911026,0.2046010047197342,0.2673267424106598
year,0.3359307050704956,0.242343008518219,0.24964560568332672,0.3209837079048157,0.1455472707748413,-0.04087831452488899,0.14974209666252136,0.25145652890205383,0.29294124245643616,0.23696589469909668,0.18315006792545319
for,0.4322226941585541,0.44095608592033386,0.18687109649181366,0.3863949179649353,0.13983871042728424,-0.07241261005401611,0.2879292666912079,0.3520078659057617,0.9999999403953552,0.25690075755119324,0.264628142118454
the,0.6662389636039734,0.6521818041801453,0.35769423842430115,0.48711544275283813,0.1324402391910553,-0.01540423184633255,0.22320781648159027,0.24242734909057617,0.4739971458911896,0.3101098835468292,0.22068053483963013
large,0.2841601073741913,0.46308431029319763,0.18982528150081635,0.21717436611652374,0.11560440808534622,0.06319566071033478,0.17177411913871765,0.20722365379333496,0.22967137396335602,0.19761204719543457,0.1355665624141693
