,when,was,the,last,glacial,maximum,?
such,0.27679547667503357,0.12487147748470306,0.3575236201286316,0.12246362119913101,0.20197363197803497,0.18040995299816132,0.17851735651493073
was,0.37326499819755554,1.0000001192092896,0.48711544275283813,0.32424551248550415,0.10313866287469864,0.1159391924738884,0.18412111699581146
the,0.5091903209686279,0.48711544275283813,1.0,0.3698786795139313,0.23225238919258118,0.228700190782547,0.22068053483963013
case,0.3450794816017151,0.18986068665981293,0.31022098660469055,0.16116908192634583,0.1250857412815094,0.18531128764152527,0.33232852816581726
during,0.46721696853637695,0.4470829963684082,0.4838213622570038,0.3807850182056427,0.266828328371048,0.15797853469848633,0.1325719803571701
the,0.5091903209686279,0.48711544275283813,1.0,0.3698786795139313,0.23225238919258118,0.228700190782547,0.22068053483963013
last,0.3294509947299957,0.32424551248550415,0.3698786795139313,1.0,0.24258992075920105,0.22494877874851227,0.22371746599674225
glacial,0.17068825662136078,0.10313866287469864,0.23225238919258118,0.24258992075920105,1.0,0.28216418623924255,0.09140896797180176
maximum,0.2093929946422577,0.1159391924738884,0.228700190782547,0.22494877874851227,0.28216418623924255,1.0,0.10959649085998535
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.29026782512664795,0.19838663935661316,0.19527727365493774,0.31091248989105225
ca,0.14267954230308533,0.15224440395832062,0.15812695026397705,0.09691552817821503,0.11586760729551315,0.07672856003046036,0.1928514987230301
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.3548945486545563,0.14798352122306824,0.2106751948595047,0.4130953550338745
