,how,many,teams,have,been,in,the,super,bowl,eight,times,?
they,0.43247655034065247,0.5400822758674622,0.3116898834705353,0.6542890071868896,0.410590261220932,0.4330179989337921,0.49925389885902405,0.1988932192325592,0.18658970296382904,0.26088473200798035,0.29107025265693665,0.2753053903579712
joined,0.0777946338057518,0.19608648121356964,0.2726559340953827,0.15371887385845184,0.16721153259277344,0.29866936802864075,0.2943263649940491,0.126203253865242,0.10326999425888062,0.21659903228282928,0.06497674435377121,0.06566751003265381
the,0.33890387415885925,0.4335206151008606,0.3164927661418915,0.40389683842658997,0.3563927710056305,0.6662389636039734,1.0,0.21959073841571808,0.21576224267482758,0.34254369139671326,0.29093852639198303,0.22068053483963013
patriots,0.1273394525051117,0.14814959466457367,0.3250172734260559,0.17782911658287048,0.11039688438177109,0.22389881312847137,0.2345433384180069,0.3206230401992798,0.37643110752105713,0.16804054379463196,0.15762411057949066,0.11474817991256714
",",0.22659391164779663,0.40610817074775696,0.22220629453659058,0.3541618287563324,0.34873589873313904,0.5201468467712402,0.4933079481124878,0.22322475910186768,0.1810409277677536,0.28017938137054443,0.2897866368293762,0.31091248989105225
dallas,0.11565567553043365,0.1614033281803131,0.22465743124485016,0.1638520509004593,0.14774295687675476,0.22865252196788788,0.24097958207130432,0.19643878936767578,0.2740313410758972,0.17766951024532318,0.09814735502004623,0.08995547145605087
cowboys,0.19302839040756226,0.21848614513874054,0.3607918322086334,0.23087432980537415,0.2134297490119934,0.20285376906394958,0.1945837140083313,0.27581241726875305,0.3680918514728546,0.12978960573673248,0.17362269759178162,0.14383570849895477
",",0.22659391164779663,0.40610817074775696,0.22220629453659058,0.3541618287563324,0.34873589873313904,0.5201468467712402,0.4933079481124878,0.22322475910186768,0.1810409277677536,0.28017938137054443,0.2897866368293762,0.31091248989105225
and,0.33647966384887695,0.5296266674995422,0.2197335660457611,0.4711785912513733,0.3424558639526367,0.4954058527946472,0.5171257257461548,0.18368244171142578,0.1698254644870758,0.33608970046043396,0.2611900568008423,0.20544172823429108
pittsburgh,0.1903776377439499,0.15012553334236145,0.27690577507019043,0.1606125682592392,0.18092410266399384,0.1921023428440094,0.22728557884693146,0.24357150495052338,0.33354419469833374,0.21672765910625458,0.17612449824810028,0.17622371017932892
steelers,0.124976746737957,0.16708071529865265,0.41794005036354065,0.2316836714744568,0.16191087663173676,0.16642944514751434,0.24458691477775574,0.3600083291530609,0.47470611333847046,0.25201717019081116,0.2687709629535675,0.2030561864376068
as,0.33782753348350525,0.4070141911506653,0.17005419731140137,0.37788212299346924,0.3975982367992401,0.3887844979763031,0.48381632566452026,0.21450649201869965,0.14539222419261932,0.2167847752571106,0.2614286541938782,0.27043893933296204
one,0.3213292360305786,0.4223630726337433,0.30337628722190857,0.4507926106452942,0.3407197892665863,0.4129433035850525,0.5514441132545471,0.21711376309394836,0.19098831713199615,0.5235236287117004,0.3664974272251129,0.2673267424106598
of,0.2480744868516922,0.37253960967063904,0.27933305501937866,0.3802283704280853,0.31685134768486023,0.5696388483047485,0.733189046382904,0.14718765020370483,0.2243070751428604,0.3220755457878113,0.24352745711803436,0.1826142966747284
four,0.1955733299255371,0.4139232039451599,0.3023456633090973,0.3544043302536011,0.315487802028656,0.3085027039051056,0.40344667434692383,0.17333437502384186,0.18062108755111694,0.6853699088096619,0.2773490250110626,0.14532537758350372
teams,0.11085164546966553,0.1992911547422409,1.0,0.27656877040863037,0.21128539741039276,0.2639528214931488,0.3164927661418915,0.26333683729171753,0.2752957046031952,0.28549376130104065,0.20071087777614594,0.11150168627500534
that,0.557814359664917,0.5391656160354614,0.22682182490825653,0.6182622313499451,0.4152003228664398,0.435920387506485,0.5473989248275757,0.18258553743362427,0.10987387597560883,0.26218873262405396,0.2866678833961487,0.32716336846351624
have,0.4370637536048889,0.5841760635375977,0.27656877040863037,0.9999999403953552,0.6493861675262451,0.36843645572662354,0.40389683842658997,0.19903038442134857,0.19536113739013672,0.31264185905456543,0.3492240011692047,0.32991164922714233
made,0.2655200958251953,0.3638485074043274,0.15167807042598724,0.2891587018966675,0.27026844024658203,0.25271502137184143,0.3885267674922943,0.14032290875911713,0.206265389919281,0.24473369121551514,0.13152779638767242,0.17218779027462006
eight,0.222213014960289,0.348200261592865,0.28549376130104065,0.31264185905456543,0.30125126242637634,0.3002670109272003,0.34254369139671326,0.20521503686904907,0.17254112660884857,1.0000001192092896,0.2503972053527832,0.11634626984596252
appearances,0.17353549599647522,0.27557653188705444,0.2740537226200104,0.19192880392074585,0.20841412246227264,0.2627871632575989,0.25270983576774597,0.2672627866268158,0.23921391367912292,0.24208617210388184,0.2938914895057678,0.18098464608192444
in,0.2601168751716614,0.41474202275276184,0.2639528214931488,0.36843645572662354,0.3515113592147827,1.0,0.6662389636039734,0.18576006591320038,0.17236235737800598,0.3002670109272003,0.2427823841571808,0.20430970191955566
