,who,was,genghis,'s,3rd,son,?
under,0.2962189018726349,0.2672741413116455,0.2402999848127365,-0.03376881033182144,0.15386655926704407,0.1360374093055725,0.18233340978622437
the,0.3733934462070465,0.48711544275283813,0.3448939025402069,-0.01540423184633255,0.2175474613904953,0.2102738618850708,0.22068053483963013
reign,0.21089372038841248,0.2893977761268616,0.4372473359107971,-0.0300701055675745,0.12888193130493164,0.3847934305667877,0.16399922966957092
of,0.2827862501144409,0.4069072902202606,0.2938849925994873,-0.03817026689648628,0.1189841702580452,0.22933141887187958,0.1826142966747284
genghis,0.3018350303173065,0.3037589192390442,1.0,0.031423866748809814,0.08596775680780411,0.34843745827674866,0.18813461065292358
',0.22534559667110443,0.33675912022590637,0.24026870727539062,0.07651367038488388,0.18575720489025116,0.24773584306240082,0.330942302942276
third,0.20739443600177765,0.3460187017917633,0.16844429075717926,-0.00712791969999671,0.27208656072616577,0.19804708659648895,0.15394791960716248
son,0.3958503007888794,0.3045712113380432,0.34843745827674866,-0.035570673644542694,0.18533392250537872,1.0,0.14735563099384308
",",0.3365725874900818,0.45456063747406006,0.2891939878463745,-0.0016132977325469255,0.2080731987953186,0.2594279944896698,0.31091248989105225
ögedei,0.34607383608818054,0.3649882376194,0.6161514520645142,-0.005691892933100462,0.11960028856992722,0.4085409939289093,0.20177854597568512
khan,0.2616176903247833,0.23483267426490784,0.5896923542022705,0.05307086929678917,0.09824255853891373,0.27596136927604675,0.12862591445446014
",",0.3365725874900818,0.45456063747406006,0.2891939878463745,-0.0016132977325469255,0.2080731987953186,0.2594279944896698,0.31091248989105225
the,0.3733934462070465,0.48711544275283813,0.3448939025402069,-0.01540423184633255,0.2175474613904953,0.2102738618850708,0.22068053483963013
mongols,0.2709572911262512,0.19519121944904327,0.6018205285072327,-0.027451662346720695,0.11205514520406723,0.23154601454734802,0.11517509818077087
destroyed,0.198551207780838,0.3184264302253723,0.26998573541641235,-0.028071777895092964,0.12473991513252258,0.14680136740207672,0.10318030416965485
the,0.3733934462070465,0.48711544275283813,0.3448939025402069,-0.01540423184633255,0.2175474613904953,0.2102738618850708,0.22068053483963013
weakened,0.13235986232757568,0.24654816091060638,0.24945709109306335,0.016232436522841454,0.13450007140636444,0.1720859855413437,0.10974195599555969
jin,0.22250813245773315,0.14832298457622528,0.4345949590206146,-0.011056434363126755,0.18208441138267517,0.2191362977027893,0.12195159494876862
dynasty,0.19946415722370148,0.24324211478233337,0.49750640988349915,-0.03789631649851799,0.10665678977966309,0.25687313079833984,0.15884074568748474
in,0.2792111933231354,0.45514053106307983,0.224680557847023,-0.037580832839012146,0.2042418122291565,0.22500404715538025,0.20430970191955566
1234,-0.044696442782878876,-0.04029979929327965,0.04846230894327164,-0.02461158111691475,0.019076276570558548,-0.027376295998692513,0.11337027698755264
",",0.3365725874900818,0.45456063747406006,0.2891939878463745,-0.0016132977325469255,0.2080731987953186,0.2594279944896698,0.31091248989105225
conquering,0.2692950665950775,0.25261837244033813,0.4819047152996063,0.019651897251605988,0.1167212650179863,0.29008498787879944,0.16821224987506866
most,0.35393568873405457,0.29933857917785645,0.22644314169883728,0.024445664137601852,0.07037375122308731,0.18370795249938965,0.2107497900724411
of,0.2827862501144409,0.4069072902202606,0.2938849925994873,-0.03817026689648628,0.1189841702580452,0.22933141887187958,0.1826142966747284
northern,0.21377815306186676,0.22730717062950134,0.2395780384540558,-0.01687377691268921,0.15375037491321564,0.16267654299736023,0.13149388134479523
china,0.17514774203300476,0.20567192137241364,0.41767415404319763,0.023593749850988388,0.1326867789030075,0.12441996484994888,0.18007943034172058
.,0.3541337847709656,0.40146201848983765,0.25373268127441406,-0.003708066651597619,0.18060193955898285,0.19869175553321838,0.4130953550338745
