,what,will,the,output,be,for,a,member,of,the,language,of,a,decision,problem,?
a,0.3320399522781372,0.3401327431201935,0.5829201340675354,0.17850732803344727,0.39883795380592346,0.44038116931915283,1.0,0.24081070721149445,0.5052502155303955,0.5829201340675354,0.21064592897891998,0.5052502155303955,1.0,0.24091263115406036,0.2605542540550232,0.23916715383529663
decision,0.32053670287132263,0.28960487246513367,0.2905151844024658,0.2298634648323059,0.3003653585910797,0.2598762512207031,0.24091263115406036,0.23328658938407898,0.2331373691558838,0.2905151844024658,0.19254478812217712,0.2331373691558838,0.24091263115406036,1.0,0.31341657042503357,0.2796577215194702
problem,0.42183366417884827,0.31655582785606384,0.24928659200668335,0.24181972444057465,0.347878634929657,0.2661307752132416,0.2605542540550232,0.1061636358499527,0.20464475452899933,0.24928659200668335,0.2543520927429199,0.20464475452899933,0.2605542540550232,0.31341657042503357,1.0,0.3762950301170349
is,0.28837618231773376,0.3723262846469879,0.5823672413825989,0.2423316091299057,0.4819129705429077,0.43268078565597534,0.658733606338501,0.2522773742675781,0.4854315221309662,0.5823672413825989,0.270936518907547,0.4854315221309662,0.658733606338501,0.2514069080352783,0.23238427937030792,0.22961433231830597
a,0.3320399522781372,0.3401327431201935,0.5829201340675354,0.17850732803344727,0.39883795380592346,0.44038116931915283,1.0,0.24081070721149445,0.5052502155303955,0.5829201340675354,0.21064592897891998,0.5052502155303955,1.0,0.24091263115406036,0.2605542540550232,0.23916715383529663
special,0.24134232103824615,0.21263419091701508,0.3027077615261078,0.17611202597618103,0.2416570633649826,0.311454176902771,0.31333932280540466,0.06658223271369934,0.27998968958854675,0.3027077615261078,0.2052222341299057,0.27998968958854675,0.31333932280540466,0.16141656041145325,0.1745782196521759,0.29623302817344666
type,0.2722663879394531,0.1847439557313919,0.21819381415843964,0.23804348707199097,0.25716274976730347,0.20848464965820312,0.3813284635543823,0.1253872513771057,0.18112817406654358,0.21819381415843964,0.16224351525306702,0.18112817406654358,0.3813284635543823,0.11840678006410599,0.24055761098861694,0.17536182701587677
of,0.33290785551071167,0.2473582625389099,0.733189046382904,0.15243679285049438,0.33904364705085754,0.4185989499092102,0.5052502155303955,0.2701796889305115,1.0,0.733189046382904,0.25272229313850403,1.0,0.5052502155303955,0.2331373691558838,0.20464475452899933,0.1826142966747284
computational,0.29464593529701233,0.26495230197906494,0.18477948009967804,0.39832913875579834,0.2993409335613251,0.3473072648048401,0.29858994483947754,0.10077086836099625,0.2832651138305664,0.18477948009967804,0.2841966152191162,0.2832651138305664,0.29858994483947754,0.2782468795776367,0.41473615169525146,0.21617397665977478
problem,0.42183366417884827,0.31655582785606384,0.24928659200668335,0.24181972444057465,0.347878634929657,0.2661307752132416,0.2605542540550232,0.1061636358499527,0.20464475452899933,0.24928659200668335,0.2543520927429199,0.20464475452899933,0.2605542540550232,0.31341657042503357,1.0,0.3762950301170349
whose,0.22831642627716064,0.22814451158046722,0.38253846764564514,0.10242018848657608,0.26299139857292175,0.22978365421295166,0.3225097060203552,0.22956198453903198,0.37058958411216736,0.38253846764564514,0.1519080549478531,0.37058958411216736,0.3225097060203552,0.11470504105091095,0.1399022936820984,0.16990536451339722
