,what,is,one,straightforward,case,of,a,probabilistic,test,?
a,0.3320399522781372,0.658733606338501,0.4910551905632019,0.3513652980327606,0.3104211390018463,0.5052502155303955,1.0,0.32921886444091797,0.2521366477012634,0.23916715383529663
particularly,0.33027681708335876,0.3122353255748749,0.3432362377643585,0.24372442066669464,0.3004570007324219,0.30258041620254517,0.307696133852005,0.2791295051574707,0.1383160948753357,0.2644225060939789
simple,0.4218197166919708,0.29377081990242004,0.29995104670524597,0.5430575609207153,0.3060778081417084,0.23205730319023132,0.34160614013671875,0.3416402339935303,0.2581370174884796,0.4614735543727875
example,0.3456268310546875,0.36737263202667236,0.41499486565589905,0.34228241443634033,0.4172644317150116,0.3570667505264282,0.40234753489494324,0.3531363308429718,0.20815010368824005,0.30374911427497864
of,0.33290785551071167,0.4854315221309662,0.4999135136604309,0.21098309755325317,0.24743439257144928,1.0,0.5052502155303955,0.27044472098350525,0.164191335439682,0.1826142966747284
a,0.3320399522781372,0.658733606338501,0.4910551905632019,0.3513652980327606,0.3104211390018463,0.5052502155303955,1.0,0.32921886444091797,0.2521366477012634,0.23916715383529663
probabilistic,0.36312082409858704,0.21101143956184387,0.345070481300354,0.41045916080474854,0.3216365873813629,0.27044472098350525,0.32921886444091797,1.0,0.27811548113822937,0.2061566412448883
test,0.2596650719642639,0.1841357946395874,0.2596745491027832,0.18540465831756592,0.2789529263973236,0.164191335439682,0.2521366477012634,0.27811548113822937,1.0000001192092896,0.19832737743854523
is,0.28837618231773376,1.0,0.4544198513031006,0.327088862657547,0.26648613810539246,0.4854315221309662,0.658733606338501,0.21101143956184387,0.1841357946395874,0.22961433231830597
the,0.42745697498321533,0.5823672413825989,0.5514441132545471,0.2957698106765747,0.31022098660469055,0.733189046382904,0.5829201340675354,0.24925124645233154,0.19235259294509888,0.22068053483963013
fermat,0.21418137848377228,0.21814440190792084,0.2802874445915222,0.3136703670024872,0.3103170394897461,0.19480057060718536,0.2493271678686142,0.46969228982925415,0.23552359640598297,0.19266122579574585
primality,0.2850114405155182,0.24844646453857422,0.25304123759269714,0.33371320366859436,0.2916736602783203,0.28515246510505676,0.2352360039949417,0.4517516493797302,0.32035455107688904,0.24305593967437744
test,0.2596650719642639,0.1841357946395874,0.2596745491027832,0.18540465831756592,0.2789529263973236,0.164191335439682,0.2521366477012634,0.27811548113822937,1.0000001192092896,0.19832737743854523
",",0.3087472915649414,0.4691906273365021,0.3696635365486145,0.30467578768730164,0.2977246046066284,0.4946078956127167,0.427140474319458,0.1886555552482605,0.17614826560020447,0.31091248989105225
which,0.5261979103088379,0.4457404911518097,0.510688066482544,0.3188543915748596,0.33281663060188293,0.5011631846427917,0.56894451379776,0.36450162529945374,0.21384328603744507,0.25814583897590637
