,what,are,the,two,major,thoroughfares,of,sunnyside,?
its,0.30393704771995544,0.30942749977111816,0.559237003326416,0.2658975422382355,0.24033352732658386,0.27696874737739563,0.48690423369407654,0.23313842713832855,0.15103481709957123
major,0.21026742458343506,0.21536177396774292,0.31775903701782227,0.2501676380634308,0.9999998807907104,0.3000403344631195,0.2641255557537079,0.15014313161373138,0.19788557291030884
thoroughfares,0.26079702377319336,0.23016361892223358,0.3376142978668213,0.23564407229423523,0.3000403344631195,1.0,0.2872781455516815,0.4101286232471466,0.18666918575763702
are,0.29724663496017456,1.0,0.40399202704429626,0.46276170015335083,0.21536177396774292,0.23016361892223358,0.39081433415412903,0.20480135083198547,0.24591213464736938
kings,0.23629537224769592,0.19743628799915314,0.26066139340400696,0.19756828248500824,0.1502629816532135,0.2504405379295349,0.2775171995162964,0.2647864520549774,0.19563011825084686
canyon,0.1522863656282425,0.140731081366539,0.2146432101726532,0.17022594809532166,0.1634816825389862,0.22508648037910461,0.18813416361808777,0.23713983595371246,0.12859754264354706
avenue,0.11924558132886887,0.11972435563802719,0.22167983651161194,0.18174298107624054,0.18291127681732178,0.36798205971717834,0.18280929327011108,0.3916132152080536,0.06327427178621292
and,0.31309178471565247,0.48576638102531433,0.5171257257461548,0.4671151638031006,0.29795366525650024,0.3286875784397125,0.5116966962814331,0.34388163685798645,0.20544172823429108
clovis,0.2143704742193222,0.178235724568367,0.31824928522109985,0.20930925011634827,0.1339731365442276,0.2810651957988739,0.3127603232860565,0.16560766100883484,0.20699521899223328
avenue,0.11924558132886887,0.11972435563802719,0.22167983651161194,0.18174298107624054,0.18291127681732178,0.36798205971717834,0.18280929327011108,0.3916132152080536,0.06327427178621292
.,0.3567904531955719,0.3452940285205841,0.5934505462646484,0.3524959683418274,0.3054012954235077,0.2393123060464859,0.5352458953857422,0.31776362657546997,0.4130953550338745
