,what,type,of,support,does,co-teaching,provide,?
co-teaching,0.3287157118320465,0.13267704844474792,0.36828407645225525,0.2463291436433792,0.24101805686950684,1.0000001192092896,0.28675246238708496,0.2545979619026184
focuses,0.27091580629348755,0.16439136862754822,0.29358524084091187,0.19030819833278656,0.27512243390083313,0.35027480125427246,0.24927650392055511,0.15887200832366943
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.22984638810157776,0.35928019881248474,0.32308104634284973,0.26373472809791565,0.22068053483963013
student,0.20548318326473236,0.12656444311141968,0.20310284197330475,0.180433452129364,0.17782871425151825,0.421825110912323,0.1309949904680252,0.13282090425491333
on,0.34226128458976746,0.2118636518716812,0.3966929316520691,0.26417678594589233,0.2568802833557129,0.3136269450187683,0.250570684671402,0.2714994251728058
learning,0.29806870222091675,0.20326043665409088,0.23709416389465332,0.18904919922351837,0.21542014181613922,0.5404776930809021,0.23849937319755554,0.25810256600379944
by,0.2455483376979828,0.15232881903648376,0.3646814823150635,0.16184203326702118,0.143477201461792,0.2230493575334549,0.2001653015613556,0.17966607213020325
providing,0.21766136586666107,0.20639026165008545,0.24403119087219238,0.341657817363739,0.281991183757782,0.35047510266304016,0.7495388984680176,0.1936793476343155
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.2484646886587143,0.38201746344566345,0.2910955548286438,0.26036545634269714,0.23916715383529663
social,0.22217629849910736,0.10143082588911057,0.2605111300945282,0.2669735550880432,0.19126898050308228,0.2536717653274536,0.1945994645357132,0.1615191102027893
networking,0.2650068402290344,0.18983370065689087,0.22065365314483643,0.2813531458377838,0.20786353945732117,0.29020044207572937,0.363427996635437,0.23976853489875793
support,0.2797985076904297,0.16123466193675995,0.2307697981595993,1.0000001192092896,0.27581554651260376,0.2463291436433792,0.44317498803138733,0.22626608610153198
that,0.6297725439071655,0.25817251205444336,0.41498205065727234,0.3622364103794098,0.4764937460422516,0.34640809893608093,0.367409884929657,0.32716336846351624
allows,0.1957017332315445,0.24821420013904572,0.2623075544834137,0.2884557247161865,0.42367881536483765,0.22895590960979462,0.4200475215911865,0.16094227135181427
them,0.4994642734527588,0.1951582431793213,0.34503093361854553,0.2819136083126068,0.35492652654647827,0.34880635142326355,0.34671348333358765,0.35435691475868225
to,0.455847829580307,0.19930607080459595,0.41548454761505127,0.2742273211479187,0.4391997456550598,0.3256809115409851,0.3479624092578888,0.29463258385658264
reach,0.23399507999420166,0.09007802605628967,0.20552729070186615,0.21857865154743195,0.20191240310668945,0.2944946587085724,0.3374954164028168,0.13152138888835907
their,0.35142919421195984,0.14413684606552124,0.4329940676689148,0.20667444169521332,0.29094186425209045,0.3226134181022644,0.321857213973999,0.1898253709077835
full,0.20298334956169128,0.14904682338237762,0.3238043189048767,0.212100088596344,0.2477594017982483,0.22250968217849731,0.298860639333725,0.168479785323143
cognitive,0.32183772325515747,0.19119486212730408,0.2561075985431671,0.21945752203464508,0.11789201945066452,0.3136989176273346,0.20813553035259247,0.2140587568283081
potential,0.27308183908462524,0.13209664821624756,0.2684917747974396,0.293012410402298,0.3204158544540405,0.2334795445203781,0.2940993905067444,0.20122039318084717
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.2751289904117584,0.3022993505001068,0.33857107162475586,0.23842981457710266,0.4130953550338745
