,the,inland,delta,at,the,mouth,of,the,rhine,is,with,what,lake,?
the,1.0,0.28756555914878845,0.22022446990013123,0.457212895154953,1.0,0.3073960244655609,0.733189046382904,1.0,0.30735138058662415,0.5823672413825989,0.4223487675189972,0.42745697498321533,0.24325428903102875,0.22068053483963013
mouth,0.3073960244655609,0.30955177545547485,0.2508765459060669,0.1904096007347107,0.3073960244655609,1.0000001192092896,0.2183857262134552,0.3073960244655609,0.2271108478307724,0.2722901999950409,0.19102531671524048,0.18337541818618774,0.24189504981040955,0.21761061251163483
of,0.733189046382904,0.2589372992515564,0.20736707746982574,0.42558613419532776,0.733189046382904,0.2183857262134552,1.0,0.733189046382904,0.2548927664756775,0.4854315221309662,0.41827285289764404,0.33290785551071167,0.23993153870105743,0.1826142966747284
the,1.0,0.28756555914878845,0.22022446990013123,0.457212895154953,1.0,0.3073960244655609,0.733189046382904,1.0,0.30735138058662415,0.5823672413825989,0.4223487675189972,0.42745697498321533,0.24325428903102875,0.22068053483963013
rhine,0.30735138058662415,0.24103295803070068,0.21930839121341705,0.19469857215881348,0.30735138058662415,0.2271108478307724,0.2548927664756775,0.30735138058662415,1.0,0.15617261826992035,0.18184249103069305,0.16475653648376465,0.22246339917182922,0.13754533231258392
into,0.39493247866630554,0.24008716642856598,0.2030922770500183,0.2095452845096588,0.39493247866630554,0.2825087904930115,0.32255905866622925,0.39493247866630554,0.1991104632616043,0.2619607150554657,0.2912435233592987,0.2180619090795517,0.1555050164461136,0.15662476420402527
lake,0.24325428903102875,0.41285714507102966,0.20466861128807068,0.1760270893573761,0.24325428903102875,0.24189504981040955,0.23993153870105743,0.24325428903102875,0.22246339917182922,0.22300897538661957,0.1871964931488037,0.17778855562210083,1.0000001192092896,0.07226386666297913
constance,0.23177717626094818,0.18023110926151276,0.17872406542301178,0.16891811788082123,0.23177717626094818,0.17835253477096558,0.28979653120040894,0.23177717626094818,0.33406126499176025,0.2383592426776886,0.2278270721435547,0.143944650888443,0.30982735753059387,0.1427515298128128
forms,0.2950737178325653,0.2009487897157669,0.21614815294742584,0.16169917583465576,0.2950737178325653,0.2466898113489151,0.33835989236831665,0.2950737178325653,0.20136399567127228,0.35419854521751404,0.24043329060077667,0.16334041953086853,0.18536002933979034,0.1196754202246666
an,0.4207492768764496,0.16114823520183563,0.14560812711715698,0.2446778565645218,0.4207492768764496,0.15102826058864594,0.32280945777893066,0.4207492768764496,0.07200640439987183,0.4654068350791931,0.2730048894882202,0.2821882665157318,0.143422931432724,0.19793890416622162
