,what,is,the,profession,of,jake,rosenfield,?
sociologist,0.18964916467666626,0.14515362679958344,0.14262931048870087,0.404682457447052,0.11670952290296555,0.10598934441804886,0.26891350746154785,0.19079925119876862
jake,0.10013604164123535,0.14021413028240204,0.12908777594566345,0.17642438411712646,0.11136109381914139,0.9999999403953552,0.22091108560562134,0.11309002339839935
rosenfield,0.17624549567699432,0.21798643469810486,0.23885850608348846,0.27218249440193176,0.22726495563983917,0.22091108560562134,1.0,0.16987739503383636
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.248733788728714,1.0,0.11136109381914139,0.22726495563983917,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.17655403912067413,0.733189046382904,0.12908777594566345,0.23885850608348846,0.22068053483963013
university,0.20256435871124268,0.20346471667289734,0.263973206281662,0.3560255169868469,0.30646374821662903,0.1413326859474182,0.2868870198726654,0.11887256056070328
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.248733788728714,1.0,0.11136109381914139,0.22726495563983917,0.1826142966747284
washington,0.1399664729833603,0.12463248521089554,0.24987076222896576,0.1799316257238388,0.18197377026081085,0.19223196804523468,0.33632445335388184,0.157786026597023
asserts,0.2919406294822693,0.30260977149009705,0.26400792598724365,0.24906644225120544,0.2932989299297333,0.12735064327716827,0.10295470058917999,0.2607457637786865
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.24653634428977966,0.41498205065727234,0.12187686562538147,0.19389323890209198,0.32716336846351624
the,0.42745697498321533,0.5823672413825989,1.0,0.17655403912067413,0.733189046382904,0.12908777594566345,0.23885850608348846,0.22068053483963013
decline,0.2257683128118515,0.12723320722579956,0.2774365544319153,0.12057624757289886,0.20493058860301971,0.017352724447846413,0.11915145069360733,0.131937175989151
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.248733788728714,1.0,0.11136109381914139,0.22726495563983917,0.1826142966747284
organized,0.19144229590892792,0.11886901408433914,0.28001853823661804,0.24042457342147827,0.2566941976547241,0.04615197330713272,0.2077321857213974,0.10524328798055649
labor,0.1943984031677246,0.13817991316318512,0.21506793797016144,0.25043201446533203,0.23769748210906982,0.18112368881702423,0.17212311923503876,0.19386747479438782
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.16790467500686646,0.5696388483047485,0.1564447581768036,0.28140541911125183,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,1.0,0.17655403912067413,0.733189046382904,0.12908777594566345,0.23885850608348846,0.22068053483963013
