,when,did,maududi,found,the,jamaat-e-islami,party,?
maududi,0.23236867785453796,0.2033180296421051,1.0000001192092896,0.19392451643943787,0.30155912041664124,0.5633798837661743,0.25555703043937683,0.2149532437324524
founded,0.16657374799251556,0.15014135837554932,0.28252530097961426,0.26692354679107666,0.2840350568294525,0.25721627473831177,0.24878238141536713,0.09119737893342972
the,0.5091903209686279,0.34736719727516174,0.30155912041664124,0.3452354073524475,1.0,0.2687787711620331,0.23779736459255219,0.22068053483963013
jamaat-e-islami,0.1787048876285553,0.20182624459266663,0.5633798837661743,0.13616140186786652,0.2687787711620331,1.0000001192092896,0.4020443558692932,0.20955640077590942
party,0.2302551418542862,0.1442001461982727,0.25555703043937683,0.1296265423297882,0.23779736459255219,0.4020443558692932,0.9999999403953552,0.19031576812267303
in,0.4431333839893341,0.2593238651752472,0.2965894043445587,0.39141854643821716,0.6662389636039734,0.20777061581611633,0.20446790754795074,0.20430970191955566
1941,-0.016656924039125443,0.00970092136412859,0.10611637681722641,0.05532541871070862,0.15564635396003723,0.11045938730239868,0.12090230733156204,-0.06466483324766159
and,0.4716290831565857,0.34479495882987976,0.38321298360824585,0.27978911995887756,0.5171257257461548,0.2882463335990906,0.20650289952754974,0.20544172823429108
remained,0.28067004680633545,0.371289998292923,0.19468629360198975,0.1845320463180542,0.3492392301559448,0.22186683118343353,0.21861299872398376,0.08263323456048965
its,0.34032323956489563,0.19922670722007751,0.18375369906425476,0.2119341641664505,0.559237003326416,0.17505548894405365,0.1697925329208374,0.15103481709957123
leader,0.18537308275699615,0.16038542985916138,0.2818872034549713,0.1250559389591217,0.27799519896507263,0.39792686700820923,0.47142326831817627,0.09527933597564697
until,0.494509756565094,0.33905428647994995,0.2342720478773117,0.13776004314422607,0.37191009521484375,0.2166452407836914,0.2511882483959198,0.20304496586322784
1972,-0.17732876539230347,-0.09581880271434784,0.29431599378585815,-0.01241870503872633,0.017579182982444763,0.2784780263900757,0.10637474060058594,-0.13323214650154114
.,0.475719153881073,0.35288307070732117,0.3790089786052704,0.3618174195289612,0.5934505462646484,0.2981533110141754,0.23341989517211914,0.4130953550338745
