,where,did,tesla,return,to,in,1873,?
in,0.5344807505607605,0.2593238651752472,0.17097744345664978,0.1852470338344574,0.45010748505592346,1.0,-0.04718339443206787,0.20430970191955566
1873,-0.06725410372018814,-0.08162734657526016,0.03536037728190422,0.08290421217679977,-0.061114344745874405,-0.04718339443206787,1.0000001192092896,-0.06902088224887848
",",0.3149496018886566,0.3015086054801941,0.20599327981472015,0.20895273983478546,0.44245919585227966,0.5201468467712402,0.043582335114479065,0.31091248989105225
tesla,0.12761090695858002,0.09757418930530548,0.9999999403953552,0.010752317495644093,0.17548894882202148,0.17097744345664978,0.03536037728190422,0.10250775516033173
returned,0.33513087034225464,0.32570260763168335,0.0423017218708992,0.6497189998626709,0.30012887716293335,0.341925710439682,0.07170838117599487,0.07695316523313522
to,0.47735077142715454,0.4452643394470215,0.17548894882202148,0.3110596537590027,1.0,0.45010748505592346,-0.061114344745874405,0.29463258385658264
his,0.29880598187446594,0.3546801507472992,0.1580733060836792,0.27887892723083496,0.3715193271636963,0.3598145842552185,0.11076923459768295,0.18075084686279297
birthtown,0.24609291553497314,0.18911874294281006,0.15722408890724182,0.1182638555765152,0.1785372942686081,0.3474430739879608,0.041455890983343124,0.17362040281295776
",",0.3149496018886566,0.3015086054801941,0.20599327981472015,0.20895273983478546,0.44245919585227966,0.5201468467712402,0.043582335114479065,0.31091248989105225
smiljan,0.18663181364536285,0.17979542911052704,0.3143247961997986,0.13224421441555023,0.20419716835021973,0.25222301483154297,0.08480051904916763,0.2793274521827698
.,0.41390106081962585,0.35288307070732117,0.17949827015399933,0.25014954805374146,0.4645031690597534,0.5591574311256409,-0.03756923973560333,0.4130953550338745
