,what,company,relaunched,who,wants,to,be,a,millionaire,as,a,syndicated,program,?
millionaire,0.20887447893619537,0.30707621574401855,0.25184550881385803,0.3235035836696625,0.3506709635257721,0.2684379816055298,0.18120020627975464,0.287532240152359,1.0,0.18257346749305725,0.287532240152359,0.3206220269203186,0.23355138301849365,0.24294789135456085
ended,0.1532270610332489,0.18175305426120758,0.2956540286540985,0.13835756480693817,0.1445901095867157,0.26005783677101135,0.13484296202659607,0.23481619358062744,0.12188053131103516,0.15908659994602203,0.23481619358062744,0.2863648235797882,0.1490919589996338,0.15429291129112244
its,0.30393704771995544,0.258992999792099,0.26270171999931335,0.1326070874929428,0.1820862889289856,0.3691340684890747,0.2731834948062897,0.4424409866333008,0.15547411143779755,0.31874480843544006,0.4424409866333008,0.2604406177997589,0.22245895862579346,0.15103481709957123
run,0.2294815480709076,0.2012515664100647,0.28315848112106323,0.2372417002916336,0.2721801698207855,0.2691870927810669,0.2707693874835968,0.2607046067714691,0.18845964968204498,0.21759064495563507,0.2607046067714691,0.36484554409980774,0.36022239923477173,0.17904110252857208
on,0.34226128458976746,0.23664942383766174,0.32276564836502075,0.2340552806854248,0.17078258097171783,0.41031414270401,0.37900757789611816,0.3848365545272827,0.1570359468460083,0.36047765612602234,0.3848365545272827,0.26752179861068726,0.23327119648456573,0.2714994251728058
the,0.42745697498321533,0.26591673493385315,0.2622116804122925,0.3733934462070465,0.2615984082221985,0.535392165184021,0.4248143136501312,0.5829201340675354,0.21001788973808289,0.48381632566452026,0.5829201340675354,0.26253175735473633,0.22986935079097748,0.22068053483963013
network,0.16917307674884796,0.28571397066116333,0.3385407030582428,0.16999904811382294,0.15751095116138458,0.25940340757369995,0.21879678964614868,0.17299489676952362,0.23147299885749817,0.2054080367088318,0.17299489676952362,0.44183751940727234,0.4167900085449219,0.17853789031505585
's,0.02692362666130066,0.003266559913754463,-0.032939612865448,0.05599616840481758,0.034207552671432495,0.03782717138528824,0.025217169895768166,0.04866964742541313,0.05900312587618828,-0.05775856226682663,0.04866964742541313,-0.002750858897343278,0.0445902980864048,-0.023395681753754616
primetime,0.24340876936912537,0.20181985199451447,0.34247082471847534,0.20144255459308624,0.192682683467865,0.22560857236385345,0.2285517156124115,0.2278537154197693,0.31612923741340637,0.2712637186050415,0.2278537154197693,0.46091437339782715,0.418275386095047,0.22593814134597778
lineup,0.2057647854089737,0.21473239362239838,0.24743865430355072,0.22116360068321228,0.1500537097454071,0.2515918016433716,0.23279395699501038,0.25587448477745056,0.16876628994941711,0.3068793714046478,0.25587448477745056,0.29145708680152893,0.2094787210226059,0.19030295312404633
