,what,is,the,study,of,proteins,involved,in,immune,response,known,as,?
the,0.42745697498321533,0.5823672413825989,1.0,0.2533665597438812,0.733189046382904,0.23576003313064575,0.2872544527053833,0.6662389636039734,0.21364226937294006,0.28909924626350403,0.3624623417854309,0.48381632566452026,0.22068053483963013
emerging,0.12901315093040466,0.12494268268346786,0.24733592569828033,0.2733984887599945,0.22234845161437988,0.12738731503486633,0.18573765456676483,0.21309521794319153,0.2281012088060379,0.20891577005386353,0.19264452159404755,0.31797605752944946,0.08310811966657639
field,0.1825202852487564,0.17269009351730347,0.2105809599161148,0.24867349863052368,0.20410659909248352,0.21577973663806915,0.15781047940254211,0.20553018152713776,0.11288483440876007,0.16107435524463654,0.11302012205123901,0.21304655075073242,0.11279727518558502
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.29377859830856323,1.0,0.2195783406496048,0.30147984623908997,0.5696388483047485,0.16620753705501556,0.21864040195941925,0.35814476013183594,0.3886612355709076,0.1826142966747284
bioinformatics-based,0.23679205775260925,0.26946568489074707,0.28952756524086,0.4906189739704132,0.3476055860519409,0.4267004430294037,0.2666386365890503,0.29032036662101746,0.3218570351600647,0.2481279820203781,0.2374066859483719,0.2219046950340271,0.18109749257564545
studies,0.18772079050540924,0.2583865225315094,0.22738903760910034,0.7347439527511597,0.26975658535957336,0.2750483453273773,0.24201600253582,0.30442532896995544,0.2238762378692627,0.18047069013118744,0.1942480504512787,0.22210973501205444,0.1388726830482483
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.29377859830856323,1.0,0.2195783406496048,0.30147984623908997,0.5696388483047485,0.16620753705501556,0.21864040195941925,0.35814476013183594,0.3886612355709076,0.1826142966747284
immunogenicity,0.29400330781936646,0.25437453389167786,0.28048986196517944,0.33768731355667114,0.25914275646209717,0.6000140905380249,0.29878926277160645,0.2047821581363678,0.7343087196350098,0.39313098788261414,0.23765483498573303,0.24651563167572021,0.257856547832489
is,0.28837618231773376,1.0,0.5823672413825989,0.20457550883293152,0.4854315221309662,0.2132607400417328,0.1551186740398407,0.5394441485404968,0.2092347890138626,0.21022158861160278,0.41921812295913696,0.43216490745544434,0.22961433231830597
referred,0.16724665462970734,0.3144040107727051,0.3088674545288086,0.19293203949928284,0.317892849445343,0.15209637582302094,0.24585673213005066,0.24766652286052704,0.05364510044455528,0.16347847878932953,0.5037624835968018,0.37252211570739746,0.06677805632352829
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.3326032757759094,0.41548454761505127,0.24676139652729034,0.24297703802585602,0.45010748505592346,0.2541976273059845,0.277526319026947,0.14337651431560516,0.42092081904411316,0.29463258385658264
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.23803003132343292,0.3886612355709076,0.24326279759407043,0.21659371256828308,0.3887844979763031,0.17487213015556335,0.21680697798728943,0.4815765619277954,1.0,0.27043893933296204
immunoinformatics,0.2778688371181488,0.2314056009054184,0.3002093732357025,0.4455629587173462,0.31097573041915894,0.508679986000061,0.2860366702079773,0.22901508212089539,0.6474034190177917,0.3809298276901245,0.18656551837921143,0.21997220814228058,0.21505925059318542
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.23432257771492004,0.5352458953857422,0.2492533177137375,0.25169795751571655,0.5591574311256409,0.18267881870269775,0.2878446877002716,0.283290296792984,0.515582263469696,0.4130953550338745
