,what,kind,of,facility,was,wardenclyffe,?
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.19252020120620728,0.48711544275283813,0.3380798399448395,0.22068053483963013
colorado,0.1414678543806076,0.10377904772758484,0.17896123230457306,0.2271391600370407,0.23214073479175568,0.22255440056324005,0.15461322665214539
experiments,0.3106561601161957,0.23142938315868378,0.16935081779956818,0.29115352034568787,0.24334195256233215,0.1906469762325287,0.14564716815948486
had,0.23849567770957947,0.1710449457168579,0.37755560874938965,0.20905029773712158,0.5927209258079529,0.3470076620578766,0.20728366076946259
prepared,0.29325538873672485,0.24179533123970032,0.21633069217205048,0.15320906043052673,0.17270667850971222,0.2030220925807953,0.23652499914169312
tesla,0.23221199214458466,0.20704586803913116,0.18837453424930573,0.27624014019966125,0.16455206274986267,0.14223843812942505,0.10250775516033173
for,0.3017193675041199,0.28053680062294006,0.4185989499092102,0.2808893620967865,0.3863949179649353,0.29435044527053833,0.264628142118454
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.19252020120620728,0.48711544275283813,0.3380798399448395,0.22068053483963013
establishment,0.1702135056257248,0.06786294281482697,0.27824047207832336,0.2509778141975403,0.25249096751213074,0.21768561005592346,0.1661023646593094
of,0.33290785551071167,0.2285657674074173,1.0,0.17314520478248596,0.4069072902202606,0.3756619095802307,0.1826142966747284
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.19252020120620728,0.48711544275283813,0.3380798399448395,0.22068053483963013
trans-atlantic,0.2182588428258896,0.22069115936756134,0.28176629543304443,0.1688532829284668,0.24566835165023804,0.33247411251068115,0.17383970320224762
wireless,0.18138271570205688,0.15792691707611084,0.16934619843959808,0.25750932097435,0.1810203492641449,0.22777411341667175,0.08461163192987442
telecommunications,0.20436683297157288,0.1607922464609146,0.24268753826618195,0.3339712619781494,0.21900247037410736,0.21667324006557465,0.10905920714139938
facility,0.13735945522785187,0.16487020254135132,0.17314520478248596,0.9999998807907104,0.193069726228714,0.24218913912773132,0.12783357501029968
known,0.20381177961826324,0.21576091647148132,0.35814476013183594,0.08287356048822403,0.35203275084495544,0.3025062084197998,0.18314571678638458
as,0.31749409437179565,0.22719812393188477,0.3886612355709076,0.18007348477840424,0.3677520453929901,0.372109055519104,0.27043893933296204
wardenclyffe,0.24065987765789032,0.1481059491634369,0.3756619095802307,0.24218913912773132,0.3794313669204712,0.9999999403953552,0.22984455525875092
near,0.19414293766021729,0.11728326976299286,0.2651676535606384,0.22784225642681122,0.1933041363954544,0.24272142350673676,0.10734958201646805
shoreham,0.2224341183900833,0.1748414933681488,0.2740027904510498,0.3034871518611908,0.22906984388828278,0.36982643604278564,0.10120284557342529
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.17779797315597534,0.45456063747406006,0.41914570331573486,0.31091248989105225
long,0.28276848793029785,0.24051904678344727,0.2567519545555115,0.14998646080493927,0.1968146562576294,0.18139584362506866,0.19699987769126892
island,0.1299295574426651,0.12872830033302307,0.24887794256210327,0.22622665762901306,0.23908254504203796,0.2658337354660034,0.0887429490685463
.,0.3567904531955719,0.21254374086856842,0.5352458953857422,0.1676650047302246,0.40146201848983765,0.3849335312843323,0.4130953550338745
