,what,are,private,schools,that,charge,no,tuition,called,?
annual,0.14798973500728607,0.13641297817230225,0.162405863404274,0.15127912163734436,0.217058464884758,0.1077771782875061,0.10815271735191345,0.3641524314880371,0.22596420347690582,0.1083487942814827
tuition,0.2307644784450531,0.25414586067199707,0.3631826937198639,0.4599091112613678,0.29087379574775696,0.3330082893371582,0.2632277011871338,1.0000001192092896,0.21869808435440063,0.2023361474275589
fees,0.19752082228660583,0.22389818727970123,0.3508143424987793,0.38298195600509644,0.24909403920173645,0.3034617602825165,0.24160677194595337,0.6226863265037537,0.18244428932666779,0.18385712802410126
at,0.2838611304759979,0.2074895054101944,0.21611805260181427,0.21788150072097778,0.3183255195617676,0.17470499873161316,0.203653946518898,0.2809189260005951,0.23534239828586578,0.21978627145290375
k-12,0.33679550886154175,0.31998229026794434,0.14157851040363312,0.19639074802398682,0.4113434851169586,0.11388789117336273,0.34473374485969543,0.22502487897872925,0.21166184544563293,0.31244829297065735
schools,0.1820785105228424,0.30816179513931274,0.4158569872379303,1.0,0.2649109661579132,0.17633160948753357,0.13128969073295593,0.4599091112613678,0.18615397810935974,0.18349280953407288
range,0.19613829255104065,0.31786245107650757,0.11591608822345734,0.181489035487175,0.2156076580286026,0.09517896920442581,0.0811765193939209,0.22676821053028107,0.12108742445707321,0.1204894632101059
from,0.2737620174884796,0.2674213647842407,0.18150165677070618,0.1357884258031845,0.3477667272090912,0.12239551544189453,0.19692718982696533,0.19907967746257782,0.2703215777873993,0.19969791173934937
nothing,0.5522216558456421,0.23569363355636597,0.14039158821105957,0.15613000094890594,0.557791531085968,0.1865149885416031,0.4872262477874756,0.272818922996521,0.19720713794231415,0.4541490972042084
at,0.2838611304759979,0.2074895054101944,0.21611805260181427,0.21788150072097778,0.3183255195617676,0.17470499873161316,0.203653946518898,0.2809189260005951,0.23534239828586578,0.21978627145290375
so,0.539469838142395,0.420413613319397,0.18125121295452118,0.21603114902973175,0.6779842376708984,0.2854197025299072,0.4325599670410156,0.23306481540203094,0.33516842126846313,0.43163934350013733
called,0.3235960602760315,0.3676711618900299,0.1776021122932434,0.18615397810935974,0.41604554653167725,0.28606072068214417,0.1639786958694458,0.21869808435440063,1.0,0.18963319063186646
'tuition-free,0.32718709111213684,0.31097710132598877,0.3353733420372009,0.4143352210521698,0.3391210734844208,0.31606918573379517,0.31390896439552307,0.7952101230621338,0.22761787474155426,0.3577888309955597
',0.3245812654495239,0.24618251621723175,0.14255043864250183,0.18575283885002136,0.3494868278503418,0.1649097204208374,0.2807134687900543,0.19976988434791565,0.32882311940193176,0.330942302942276
schools,0.1820785105228424,0.30816179513931274,0.4158569872379303,1.0,0.2649109661579132,0.17633160948753357,0.13128969073295593,0.4599091112613678,0.18615397810935974,0.18349280953407288
to,0.455847829580307,0.3504326641559601,0.18892748653888702,0.2362271547317505,0.5436353087425232,0.22747951745986938,0.30015695095062256,0.28630971908569336,0.2987143397331238,0.29463258385658264
more,0.3484537899494171,0.4066504240036011,0.1487022042274475,0.16193780303001404,0.4813884496688843,0.19208595156669617,0.4601985216140747,0.34150463342666626,0.26791808009147644,0.27894994616508484
than,0.29388150572776794,0.39206281304359436,0.13248130679130554,0.16902634501457214,0.4891277849674225,0.1768353432416916,0.322791188955307,0.3452468812465668,0.23151835799217224,0.24917294085025787
$,0.24858909845352173,0.11054260283708572,0.23931029438972473,0.16753827035427094,0.21570275723934174,0.23284414410591125,0.20610886812210083,0.43971872329711914,0.15429480373859406,0.2786129117012024
"45,000",0.018050413578748703,0.10202818363904953,0.04024454578757286,-0.07583320140838623,0.08023043721914291,0.017153121531009674,-0.006870894692838192,-0.0194330383092165,0.10254143923521042,0.03222159296274185
at,0.2838611304759979,0.2074895054101944,0.21611805260181427,0.21788150072097778,0.3183255195617676,0.17470499873161316,0.203653946518898,0.2809189260005951,0.23534239828586578,0.21978627145290375
several,0.22446060180664062,0.4241659343242645,0.23570138216018677,0.25758257508277893,0.40009650588035583,0.20020051300525665,0.21183228492736816,0.1898295283317566,0.28788504004478455,0.15595775842666626
new,0.2130378633737564,0.1899496167898178,0.15541495382785797,0.13635335862636566,0.29177987575531006,0.10848899185657501,0.1703159064054489,0.21103782951831818,0.2586444020271301,0.14782847464084625
england,0.21399550139904022,0.1859399527311325,0.21990887820720673,0.24660681188106537,0.2558189034461975,0.18788161873817444,0.18761950731277466,0.19974005222320557,0.22477780282497406,0.13436897099018097
preparatory,0.1975819319486618,0.1588306725025177,0.3524734675884247,0.4085295796394348,0.19144874811172485,0.1999697983264923,0.14874206483364105,0.40795645117759705,0.23126310110092163,0.10992063581943512
schools,0.1820785105228424,0.30816179513931274,0.4158569872379303,1.0,0.2649109661579132,0.17633160948753357,0.13128969073295593,0.4599091112613678,0.18615397810935974,0.18349280953407288
.,0.3567904531955719,0.3452940285205841,0.2534593939781189,0.2752705216407776,0.4460422694683075,0.21931332349777222,0.35224834084510803,0.2443438172340393,0.300344854593277,0.4130953550338745
