,who,was,reintroduced,for,the,50th,anniversary,special,?
davies,0.24405889213085175,0.2509008049964905,0.11350780725479126,0.22298221290111542,0.22865624725818634,0.10712292045354843,0.14098098874092102,0.13729828596115112,0.12641099095344543
',0.22534559667110443,0.33675912022590637,0.20335744321346283,0.31184524297714233,0.474788099527359,0.07407621294260025,0.19279693067073822,0.2120349407196045,0.330942302942276
successor,0.1692478209733963,0.287630170583725,0.19963064789772034,0.08394116163253784,0.14193344116210938,-0.007666208781301975,0.13729068636894226,0.02282797172665596,0.0913006067276001
",",0.3365725874900818,0.45456063747406006,0.27687403559684753,0.4464869201183319,0.4933079481124878,0.1069522351026535,0.20396199822425842,0.23880577087402344,0.31091248989105225
steven,0.22480571269989014,0.2666833996772766,0.1656033992767334,0.203480064868927,0.21446210145950317,0.1553463488817215,0.1962904930114746,0.11298713088035583,0.10277901589870453
moffat,0.38597768545150757,0.3276302218437195,0.17095662653446198,0.269808828830719,0.3156551420688629,0.10097530484199524,0.1446077674627304,0.13759203255176544,0.18844567239284515
",",0.3365725874900818,0.45456063747406006,0.27687403559684753,0.4464869201183319,0.4933079481124878,0.1069522351026535,0.20396199822425842,0.23880577087402344,0.31091248989105225
has,0.2558172643184662,0.40313825011253357,0.19831885397434235,0.450642853975296,0.4177538752555847,0.08505652099847794,0.14328105747699738,0.2109246850013733,0.15994466841220856
continued,0.15470513701438904,0.40578481554985046,0.2556305229663849,0.2205924689769745,0.29953038692474365,0.07328832894563675,0.19284935295581818,0.14124757051467896,0.10404038429260254
the,0.3733934462070465,0.48711544275283813,0.30385175347328186,0.4739971458911896,1.0,0.19595111906528473,0.29318708181381226,0.3027077615261078,0.22068053483963013
trend,0.1646793931722641,0.19481132924556732,0.2139851301908493,0.21257634460926056,0.23692767322063446,0.17033185064792633,0.12595462799072266,0.1226954236626625,0.10325077921152115
by,0.39727845788002014,0.4752357602119446,0.2612573504447937,0.3248702883720398,0.4408751428127289,0.1403019279241562,0.22581592202186584,0.2578898072242737,0.17966607213020325
reviving,0.2671390175819397,0.325452595949173,0.27101001143455505,0.2706703841686249,0.3832961320877075,0.048127204179763794,0.25986695289611816,0.19991473853588104,0.09287013113498688
the,0.3733934462070465,0.48711544275283813,0.30385175347328186,0.4739971458911896,1.0,0.19595111906528473,0.29318708181381226,0.3027077615261078,0.22068053483963013
