,when,do,bathyctena,chuni,",",euplokamis,stationis,and,eurhamphaea,vexilligera,excrete,secretions,?
when,0.9999999403953552,0.28572237491607666,0.17183159291744232,0.2798309624195099,0.36674630641937256,0.2377782166004181,0.19590559601783752,0.4716290831565857,0.2422150820493698,0.22086726129055023,0.2675425708293915,0.24752415716648102,0.22841128706932068
some,0.386913925409317,0.4725562036037445,0.25768524408340454,0.2054784595966339,0.42400437593460083,0.2909409999847412,0.1938374787569046,0.5337774157524109,0.3276423513889313,0.297661691904068,0.32958874106407166,0.3361760973930359,0.2562315762042999
species,0.13816511631011963,0.20613440871238708,0.37759631872177124,0.21015238761901855,0.2223871648311615,0.3487008213996887,0.15128055214881897,0.23547904193401337,0.45109838247299194,0.32049402594566345,0.3803742825984955,0.33770084381103516,0.1957087516784668
",",0.36674630641937256,0.3283645510673523,0.2681700885295868,0.3081621527671814,1.0000001192092896,0.3234763443470001,0.2757765054702759,0.6633074283599854,0.35392409563064575,0.3515438437461853,0.2239675223827362,0.14944066107273102,0.31091248989105225
including,0.24633030593395233,0.18796655535697937,0.19526667892932892,0.18568110466003418,0.4127510190010071,0.24985677003860474,0.10270378738641739,0.5144438743591309,0.24703238904476166,0.31333601474761963,0.206531822681427,0.21822933852672577,0.1633303165435791
bathyctena,0.17183159291744232,0.21294203400611877,1.0000001192092896,0.3635779321193695,0.2681700885295868,0.45905426144599915,0.17585571110248566,0.20774227380752563,0.5105336308479309,0.4260644316673279,0.42640364170074463,0.2873868942260742,0.18231433629989624
chuni,0.2798309624195099,0.27883949875831604,0.3635779321193695,0.9999999403953552,0.3081621527671814,0.3413040339946747,0.21350982785224915,0.25167161226272583,0.3587506413459778,0.35141968727111816,0.2018709033727646,0.11974284052848816,0.2704649865627289
",",0.36674630641937256,0.3283645510673523,0.2681700885295868,0.3081621527671814,1.0000001192092896,0.3234763443470001,0.2757765054702759,0.6633074283599854,0.35392409563064575,0.3515438437461853,0.2239675223827362,0.14944066107273102,0.31091248989105225
euplokamis,0.2377782166004181,0.17650941014289856,0.45905426144599915,0.3413040339946747,0.3234763443470001,1.0000001192092896,0.29025232791900635,0.24560894072055817,0.5651368498802185,0.43110111355781555,0.2695066034793854,0.2437094897031784,0.29607975482940674
stationis,0.19590559601783752,0.1522151529788971,0.17585571110248566,0.21350982785224915,0.2757765054702759,0.29025232791900635,0.9999998807907104,0.2321716547012329,0.24580872058868408,0.29592782258987427,0.09597336500883102,0.04103918746113777,0.17356406152248383
and,0.4716290831565857,0.276123583316803,0.20774227380752563,0.25167161226272583,0.6633074283599854,0.24560894072055817,0.2321716547012329,1.0,0.34163931012153625,0.36649590730667114,0.30730608105659485,0.17575903236865997,0.20544172823429108
eurhamphaea,0.2422150820493698,0.24099501967430115,0.5105336308479309,0.3587506413459778,0.35392409563064575,0.5651368498802185,0.24580872058868408,0.34163931012153625,0.9999999403953552,0.39883488416671753,0.4504253566265106,0.33311063051223755,0.2590596079826355
