,what,are,some,advantages,of,hospital,pharmacies,?
hospital,0.14525319635868073,0.09803600609302521,0.15200968086719513,0.04831007868051529,0.20629651844501495,1.0,0.2866270840167999,0.12508831918239594
pharmacies,0.21324466168880463,0.3108147382736206,0.3485310673713684,0.2816440463066101,0.21392159163951874,0.2866270840167999,1.0000001192092896,0.13542459905147552
can,0.34502777457237244,0.5408529043197632,0.5319128632545471,0.36924540996551514,0.2603091299533844,0.13537375628948212,0.30782270431518555,0.3226337134838104
often,0.3849453330039978,0.5443448424339294,0.5903232097625732,0.31003665924072266,0.3351972997188568,0.15496334433555603,0.29759761691093445,0.23748154938220978
be,0.3929833769798279,0.5556803941726685,0.49956634640693665,0.3099220395088196,0.33904364705085754,0.14209602773189545,0.23543088138103485,0.3324260413646698
found,0.1796332150697708,0.2740558087825775,0.3385355472564697,0.1635519117116928,0.2982911467552185,0.16997304558753967,0.19760720431804657,0.16790300607681274
within,0.2498195916414261,0.3069663643836975,0.2974689304828644,0.24192267656326294,0.39594778418540955,0.18183425068855286,0.1727304756641388,0.1870293766260147
the,0.42745697498321533,0.40399202704429626,0.4566698372364044,0.2436356246471405,0.733189046382904,0.17318566143512726,0.2211688905954361,0.22068053483963013
premises,0.2831939160823822,0.26522982120513916,0.2679766118526459,0.23712722957134247,0.2692594528198242,0.20850038528442383,0.29759252071380615,0.17318350076675415
of,0.33290785551071167,0.39081433415412903,0.4300730526447296,0.22758880257606506,1.0,0.20629651844501495,0.21392159163951874,0.1826142966747284
the,0.42745697498321533,0.40399202704429626,0.4566698372364044,0.2436356246471405,0.733189046382904,0.17318566143512726,0.2211688905954361,0.22068053483963013
hospital,0.14525319635868073,0.09803600609302521,0.15200968086719513,0.04831007868051529,0.20629651844501495,1.0,0.2866270840167999,0.12508831918239594
.,0.3567904531955719,0.3452940285205841,0.40663889050483704,0.19399912655353546,0.5352458953857422,0.21275769174098969,0.2382737696170807,0.4130953550338745
,what,are,some,advantages,of,hospital,pharmacies,?
hospital,0.14525319635868073,0.09803600609302521,0.15200968086719513,0.04831007868051529,0.20629651844501495,1.0,0.2866270840167999,0.12508831918239594
pharmacies,0.21324466168880463,0.3108147382736206,0.3485310673713684,0.2816440463066101,0.21392159163951874,0.2866270840167999,1.0000001192092896,0.13542459905147552
usually,0.32521089911460876,0.5635237097740173,0.5402855277061462,0.33081892132759094,0.33931583166122437,0.11063653975725174,0.27045249938964844,0.19435347616672516
stock,0.13911938667297363,0.20452597737312317,0.2015923708677292,0.21708877384662628,0.20828957855701447,0.10999635607004166,0.2871853709220886,0.14784406125545502
a,0.3320399522781372,0.265255331993103,0.34539633989334106,0.27973857522010803,0.5052502155303955,0.23276586830615997,0.22259847819805145,0.23916715383529663
larger,0.23663538694381714,0.33036646246910095,0.3447200655937195,0.2935698926448822,0.32469573616981506,0.07667254656553268,0.187513530254364,0.1602165699005127
range,0.19613829255104065,0.31786245107650757,0.3333519399166107,0.2434873878955841,0.234999418258667,0.11527281254529953,0.16875773668289185,0.1204894632101059
of,0.33290785551071167,0.39081433415412903,0.4300730526447296,0.22758880257606506,1.0,0.20629651844501495,0.21392159163951874,0.1826142966747284
medications,0.2549620568752289,0.3704794943332672,0.39266762137413025,0.3360772132873535,0.25834259390830994,0.42632606625556946,0.5339306592941284,0.22114922106266022
",",0.3087472915649414,0.4062570035457611,0.42400437593460083,0.17778055369853973,0.4946078956127167,0.24744091928005219,0.2212837040424347,0.31091248989105225
including,0.18328791856765747,0.45025435090065,0.5296509861946106,0.21888525784015656,0.44195112586021423,0.1570519059896469,0.19902420043945312,0.1633303165435791
more,0.3484537899494171,0.4066504240036011,0.5524908900260925,0.3592480719089508,0.30478984117507935,0.15578009188175201,0.2319977581501007,0.27894994616508484
specialized,0.1963823437690735,0.39048901200294495,0.40386343002319336,0.32651466131210327,0.2455318421125412,0.25615793466567993,0.3286793828010559,0.14791558682918549
medications,0.2549620568752289,0.3704794943332672,0.39266762137413025,0.3360772132873535,0.25834259390830994,0.42632606625556946,0.5339306592941284,0.22114922106266022
",",0.3087472915649414,0.4062570035457611,0.42400437593460083,0.17778055369853973,0.4946078956127167,0.24744091928005219,0.2212837040424347,0.31091248989105225
than,0.29388150572776794,0.39206281304359436,0.46446433663368225,0.3654504418373108,0.33036211133003235,0.12457531690597534,0.21822133660316467,0.24917294085025787
would,0.45766422152519226,0.32024338841438293,0.43457192182540894,0.2699606418609619,0.3353942930698395,0.13219518959522247,0.18184325098991394,0.37178951501846313
be,0.3929833769798279,0.5556803941726685,0.49956634640693665,0.3099220395088196,0.33904364705085754,0.14209602773189545,0.23543088138103485,0.3324260413646698
feasible,0.3826617896556854,0.35777825117111206,0.3158824145793915,0.37633776664733887,0.2559953033924103,0.1104622483253479,0.19529910385608673,0.3960267901420593
in,0.30808621644973755,0.3841303884983063,0.4010399878025055,0.14844228327274323,0.5696388483047485,0.3125908672809601,0.23778970539569855,0.20430970191955566
the,0.42745697498321533,0.40399202704429626,0.4566698372364044,0.2436356246471405,0.733189046382904,0.17318566143512726,0.2211688905954361,0.22068053483963013
community,0.29032719135284424,0.2440178245306015,0.24749743938446045,0.15543006360530853,0.2367410808801651,0.20309008657932281,0.2255919873714447,0.2380419820547104
setting,0.287603497505188,0.1662043184041977,0.26038721203804016,0.2222609966993332,0.22114701569080353,0.12700150907039642,0.1790899634361267,0.16943378746509552
.,0.3567904531955719,0.3452940285205841,0.40663889050483704,0.19399912655353546,0.5352458953857422,0.21275769174098969,0.2382737696170807,0.4130953550338745
