,what,goods,were,sold,in,a,pharma,?
the,0.42745697498321533,0.2343561202287674,0.3906462490558624,0.21929198503494263,0.6662389636039734,0.5829201340675354,0.17171332240104675,0.22068053483963013
pharma,0.21262112259864807,0.2451499104499817,0.04006613790988922,0.21349860727787018,0.16335399448871613,0.23175419867038727,1.0000001192092896,0.19583392143249512
(,0.2411840260028839,0.09283968806266785,0.14743882417678833,0.1318512260913849,0.3087427020072937,0.3206180930137634,0.2255343645811081,0.40561532974243164
as,0.31749409437179565,0.2731567919254303,0.3025437891483307,0.2316816747188568,0.3887844979763031,0.39550232887268066,0.2009953260421753,0.27043893933296204
it,0.45803478360176086,0.24518129229545593,0.25487732887268066,0.2950914204120636,0.5130809545516968,0.5452592968940735,0.1775529533624649,0.25732165575027466
was,0.22111038863658905,0.20004962384700775,0.590133786201477,0.3255009949207306,0.45514053106307983,0.4508470594882965,0.17446446418762207,0.18412111699581146
referred,0.16724665462970734,0.2036833018064499,0.22545559704303741,0.2586684823036194,0.24766652286052704,0.2686276137828827,0.12471212446689606,0.06677805632352829
to,0.455847829580307,0.25561127066612244,0.31913647055625916,0.17380841076374054,0.45010748505592346,0.45503583550453186,0.1567985564470291,0.29463258385658264
),0.26259949803352356,0.09343671053647995,0.1566188633441925,0.15492770075798035,0.3326910734176636,0.3640355169773102,0.23090028762817383,0.42300865054130554
often,0.3849453330039978,0.3539196848869324,0.41229429841041565,0.22730763256549835,0.3380797803401947,0.3930865228176117,0.15838205814361572,0.23748154938220978
operated,0.12572449445724487,0.2228815257549286,0.23811937868595123,0.28768253326416016,0.24622488021850586,0.221764475107193,0.17674605548381805,0.12718230485916138
through,0.23167094588279724,0.2575944662094116,0.20187680423259735,0.14843815565109253,0.38533157110214233,0.3399752974510193,0.13385377824306488,0.16913433372974396
a,0.3320399522781372,0.22076524794101715,0.17203083634376526,0.2147083878517151,0.539380669593811,1.0,0.23175419867038727,0.23916715383529663
retail,0.14509697258472443,0.44154658913612366,0.18543148040771484,0.4959131181240082,0.2713564932346344,0.21012191474437714,0.17375114560127258,0.07912889122962952
shop,0.15783058106899261,0.36773258447647095,0.1877366006374359,0.3763043284416199,0.28132379055023193,0.26599082350730896,0.29804176092147827,0.1502307653427124
which,0.5261979103088379,0.2970770001411438,0.2807837128639221,0.20852339267730713,0.4840516746044159,0.56894451379776,0.1995452344417572,0.25814583897590637
",",0.3087472915649414,0.21030361950397491,0.36755475401878357,0.28121218085289,0.5201468467712402,0.427140474319458,0.19601216912269592,0.31091248989105225
in,0.30808621644973755,0.23178300261497498,0.3815755248069763,0.2828634977340698,1.0,0.539380669593811,0.16335399448871613,0.20430970191955566
addition,0.20643717050552368,0.17993810772895813,0.25986790657043457,0.22141088545322418,0.3033084571361542,0.2617819607257843,0.17143972218036652,0.19187232851982117
to,0.455847829580307,0.25561127066612244,0.31913647055625916,0.17380841076374054,0.45010748505592346,0.45503583550453186,0.1567985564470291,0.29463258385658264
ingredients,0.22846634685993195,0.3445205092430115,0.21699468791484833,0.32425445318222046,0.2011919617652893,0.225480854511261,0.3124430179595947,0.20117923617362976
for,0.3017193675041199,0.262317419052124,0.33592689037323,0.21817919611930847,0.4322226941585541,0.44038116931915283,0.19117453694343567,0.264628142118454
medicines,0.23498177528381348,0.2974388897418976,0.1951388716697693,0.21807950735092163,0.19450289011001587,0.1863824725151062,0.443511962890625,0.2156115472316742
",",0.3087472915649414,0.21030361950397491,0.36755475401878357,0.28121218085289,0.5201468467712402,0.427140474319458,0.19601216912269592,0.31091248989105225
sold,0.16570822894573212,0.3643965721130371,0.2960594594478607,1.0,0.2828634977340698,0.2147083878517151,0.21349860727787018,0.14943712949752808
tobacco,0.15306644141674042,0.39214059710502625,0.2209835648536682,0.3321997821331024,0.2557904124259949,0.1412636786699295,0.19821463525295258,0.11937496811151505
and,0.31309178471565247,0.2947494387626648,0.42175528407096863,0.21832405030727386,0.4954058527946472,0.3739250600337982,0.1868644654750824,0.20544172823429108
patent,0.17095203697681427,0.22429363429546356,0.12420301139354706,0.2352718859910965,0.18244080245494843,0.23810072243213654,0.23615242540836334,0.13298413157463074
medicines,0.23498177528381348,0.2974388897418976,0.1951388716697693,0.21807950735092163,0.19450289011001587,0.1863824725151062,0.443511962890625,0.2156115472316742
.,0.3567904531955719,0.17814435064792633,0.3378238379955292,0.31428393721580505,0.5591574311256409,0.50484299659729,0.21411724388599396,0.4130953550338745
