,turtles,and,jellyfish,can,eat,large,quantities,of,what,?
some,0.2625882029533386,0.5337774157524109,0.3016841411590576,0.5319128632545471,0.3497854769229889,0.3944830894470215,0.3715938925743103,0.4300730526447296,0.4491020441055298,0.2562315762042999
jellyfish,0.49036866426467896,0.23375780880451202,0.9999999403953552,0.2899419963359833,0.45387154817581177,0.29575052857398987,0.2581104636192322,0.19592024385929108,0.19957445561885834,0.16284534335136414
and,0.27277547121047974,1.0,0.23375780880451202,0.3675691485404968,0.27494877576828003,0.3404269814491272,0.30532482266426086,0.5116966962814331,0.31309178471565247,0.20544172823429108
turtles,1.0000001192092896,0.27277547121047974,0.49036866426467896,0.21404412388801575,0.32540860772132874,0.21644669771194458,0.17473803460597992,0.24072623252868652,0.18010659515857697,0.09554774314165115
eat,0.32540860772132874,0.27494877576828003,0.45387154817581177,0.33471569418907166,0.9999999403953552,0.2860969305038452,0.27207231521606445,0.22818823158740997,0.26042336225509644,0.2330920696258545
large,0.21644669771194458,0.3404269814491272,0.29575052857398987,0.30512937903404236,0.2860969305038452,1.0000001192092896,0.3687227964401245,0.3569655418395996,0.2017821967601776,0.1355665624141693
quantities,0.17473803460597992,0.30532482266426086,0.2581104636192322,0.40619778633117676,0.27207231521606445,0.3687227964401245,1.0,0.29088422656059265,0.22645783424377441,0.18230070173740387
of,0.24072623252868652,0.5116966962814331,0.19592024385929108,0.2603091299533844,0.22818823158740997,0.3569655418395996,0.29088422656059265,1.0,0.33290785551071167,0.1826142966747284
ctenophores,0.4713498055934906,0.20973104238510132,0.607650101184845,0.3193504512310028,0.3753615617752075,0.32397639751434326,0.36146414279937744,0.2626190483570099,0.2505159080028534,0.2054179310798645
",",0.23733381927013397,0.6633074283599854,0.19076992571353912,0.3139454126358032,0.27748003602027893,0.2263888567686081,0.24184036254882812,0.4946078956127167,0.3087472915649414,0.31091248989105225
and,0.27277547121047974,1.0,0.23375780880451202,0.3675691485404968,0.27494877576828003,0.3404269814491272,0.30532482266426086,0.5116966962814331,0.31309178471565247,0.20544172823429108
jellyfish,0.49036866426467896,0.23375780880451202,0.9999999403953552,0.2899419963359833,0.45387154817581177,0.29575052857398987,0.2581104636192322,0.19592024385929108,0.19957445561885834,0.16284534335136414
may,0.15047627687454224,0.34598252177238464,0.18316377699375153,0.43584567308425903,0.20651863515377045,0.17708203196525574,0.25225475430488586,0.26447007060050964,0.25739946961402893,0.2768254578113556
temporarily,0.11001747846603394,0.25509530305862427,0.13390569388866425,0.2830513119697571,0.12172701209783554,0.2618315517902374,0.1665741503238678,0.24215073883533478,0.2163034975528717,0.11896703392267227
wipe,0.17111621797084808,0.25542882084846497,0.1905542016029358,0.3133493959903717,0.30068859457969666,0.23583157360553741,0.2538073658943176,0.2209414839744568,0.3113201856613159,0.2617027163505554
out,0.1812678873538971,0.3881998062133789,0.2130463570356369,0.33329886198043823,0.2141091376543045,0.24965140223503113,0.22697395086288452,0.34176841378211975,0.3633197546005249,0.22020699083805084
ctenophore,0.4453524053096771,0.19002923369407654,0.604741632938385,0.31543269753456116,0.35920044779777527,0.31969401240348816,0.3143133521080017,0.2790392339229584,0.2381439507007599,0.2190871685743332
populations,0.303836464881897,0.26962190866470337,0.284312903881073,0.24503934383392334,0.24406929314136505,0.3290034234523773,0.3714894950389862,0.2561377286911011,0.19647875428199768,0.17519071698188782
.,0.2452167123556137,0.588965117931366,0.24503003060817719,0.35783761739730835,0.3032529056072235,0.2304532378911972,0.22739656269550323,0.5352458953857422,0.3567904531955719,0.4130953550338745
