,when,was,montreal,captured,?
these,0.3811454772949219,0.19784674048423767,0.10993067920207977,0.16216956079006195,0.2571668326854706
dates,0.22044897079467773,0.23610089719295502,0.14423777163028717,0.09365387260913849,0.2331625074148178
do,0.28572237491607666,0.11523093283176422,0.11099663376808167,0.09924671798944473,0.4093979299068451
not,0.4799930453300476,0.2888734042644501,0.13562101125717163,0.15911519527435303,0.41942933201789856
correspond,0.21424080431461334,0.1781671792268753,0.12587076425552368,0.1643710732460022,0.1509012132883072
with,0.5075214505195618,0.27411898970603943,0.22356709837913513,0.19738993048667908,0.2433311939239502
the,0.5091903209686279,0.48711544275283813,0.23631100356578827,0.2944179177284241,0.22068053483963013
fighting,0.25825873017311096,0.2350539267063141,0.12238895893096924,0.35871103405952454,0.15496447682380676
on,0.37706470489501953,0.3909217119216919,0.2437213957309723,0.20104572176933289,0.2714994251728058
mainland,0.2004815936088562,0.27667051553726196,0.17700745165348053,0.3208961486816406,0.1326279491186142
north,0.21003669500350952,0.29020047187805176,0.17687048017978668,0.2687748670578003,0.11829731613397598
america,0.21924224495887756,0.2850865423679352,0.2049948126077652,0.13772092759609222,0.19333907961845398
",",0.36674630641937256,0.45456063747406006,0.24191880226135254,0.27242976427078247,0.31091248989105225
where,0.5747735500335693,0.20731619000434875,0.23168504238128662,0.23845304548740387,0.24793872237205505
the,0.5091903209686279,0.48711544275283813,0.23631100356578827,0.2944179177284241,0.22068053483963013
fighting,0.25825873017311096,0.2350539267063141,0.12238895893096924,0.35871103405952454,0.15496447682380676
between,0.38258615136146545,0.24048170447349548,0.10545626282691956,0.18317250907421112,0.12887074053287506
the,0.5091903209686279,0.48711544275283813,0.23631100356578827,0.2944179177284241,0.22068053483963013
two,0.3743424117565155,0.27166637778282166,0.14126969873905182,0.23240967094898224,0.19645625352859497
colonial,0.2143167406320572,0.2549057900905609,0.21746104955673218,0.29917025566101074,0.10191229730844498
powers,0.252159982919693,0.1728597730398178,0.05383850634098053,0.15140339732170105,0.17269276082515717
was,0.37326499819755554,1.0000001192092896,0.2454766184091568,0.31488236784935,0.18412111699581146
largely,0.2664821743965149,0.307300329208374,0.12211981415748596,0.17982852458953857,0.08185246586799622
concluded,0.22413310408592224,0.25460392236709595,0.11137674748897552,0.20580896735191345,0.13595789670944214
in,0.4431333839893341,0.45514053106307983,0.18092122673988342,0.27827006578445435,0.20430970191955566
six,0.28502458333969116,0.3042767345905304,0.15175379812717438,0.228343665599823,0.15298804640769958
years,0.3409145474433899,0.35855233669281006,0.2180793583393097,0.23709307610988617,0.1914375126361847
",",0.36674630641937256,0.45456063747406006,0.24191880226135254,0.27242976427078247,0.31091248989105225
from,0.405669629573822,0.31171464920043945,0.1743229627609253,0.2057633250951767,0.19969791173934937
the,0.5091903209686279,0.48711544275283813,0.23631100356578827,0.2944179177284241,0.22068053483963013
battle,0.15145152807235718,0.23319749534130096,0.16548946499824524,0.4238587021827698,0.1680624783039093
of,0.3757161796092987,0.4069072902202606,0.1613161563873291,0.2722737491130829,0.1826142966747284
jumonville,0.22794754803180695,0.33623990416526794,0.38638371229171753,0.28824666142463684,0.15539926290512085
glen,0.10240188241004944,0.15153281390666962,0.30466681718826294,0.11974087357521057,0.08093680441379547
in,0.4431333839893341,0.45514053106307983,0.18092122673988342,0.27827006578445435,0.20430970191955566
1754,0.028150534257292747,0.09897935390472412,0.19908222556114197,0.19110338389873505,0.1399500072002411
to,0.5423505902290344,0.3636345863342285,0.1455131322145462,0.22367680072784424,0.29463258385658264
the,0.5091903209686279,0.48711544275283813,0.23631100356578827,0.2944179177284241,0.22068053483963013
capture,0.2154914140701294,0.19458261132240295,0.12214741855859756,0.8150180578231812,0.12945853173732758
of,0.3757161796092987,0.4069072902202606,0.1613161563873291,0.2722737491130829,0.1826142966747284
montreal,0.1483740210533142,0.2454766184091568,1.0,0.13393628597259521,0.13639995455741882
in,0.4431333839893341,0.45514053106307983,0.18092122673988342,0.27827006578445435,0.20430970191955566
1760,0.11862466484308243,-0.008521330542862415,0.1363859623670578,0.10471992194652557,0.12722811102867126
.,0.475719153881073,0.40146201848983765,0.22505514323711395,0.28043997287750244,0.4130953550338745
