,lake,constance,separates,the,german,state,bavaria,from,what,other,one,?
specifically,0.10770876705646515,0.10013218969106674,0.16216999292373657,0.3760298490524292,0.15628434717655182,0.2612990736961365,0.14977003633975983,0.22877824306488037,0.37581726908683777,0.3460177779197693,0.2762916386127472,0.2063003033399582
",",0.2802521586418152,0.3135715425014496,0.2734232246875763,0.4933079481124878,0.2478695809841156,0.29481780529022217,0.2002691924571991,0.39760664105415344,0.3087472915649414,0.4446498453617096,0.3696635365486145,0.31091248989105225
its,0.16622896492481232,0.18877826631069183,0.28172165155410767,0.559237003326416,0.13400864601135254,0.3171643614768982,0.1375504732131958,0.32706040143966675,0.30393704771995544,0.29483991861343384,0.42848992347717285,0.15103481709957123
shorelines,0.47986140847206116,0.27236315608024597,0.39283084869384766,0.34449177980422974,0.10780759900808334,0.28454869985580444,0.22660289704799652,0.21210995316505432,0.21401512622833252,0.29012516140937805,0.17851391434669495,0.13851986825466156
lie,0.20335951447486877,0.20656515657901764,0.19504861533641815,0.2676851153373718,0.1839483231306076,0.090488962829113,0.17570780217647552,0.12952877581119537,0.22219514846801758,0.16717559099197388,0.2403118759393692,0.13703542947769165
in,0.260087251663208,0.2223079651594162,0.29497718811035156,0.6662389636039734,0.21098364889621735,0.33316072821617126,0.22604535520076752,0.4274188280105591,0.30808621644973755,0.39989137649536133,0.4129433035850525,0.20430970191955566
the,0.24325428903102875,0.23177717626094818,0.3609418272972107,1.0,0.256483793258667,0.3097178041934967,0.22919172048568726,0.40150508284568787,0.42745697498321533,0.44152235984802246,0.5514441132545471,0.22068053483963013
german,0.12599600851535797,0.32786792516708374,0.1084911897778511,0.256483793258667,1.0000001192092896,0.17963019013404846,0.49724090099334717,0.18661607801914215,0.1960553526878357,0.15382464230060577,0.19753603637218475,0.13978645205497742
states,0.2057606428861618,0.13959050178527832,0.1927020102739334,0.3463578522205353,0.19740509986877441,0.5370627045631409,0.23409120738506317,0.24283263087272644,0.21526020765304565,0.28788650035858154,0.2856254577636719,0.16272737085819244
of,0.23993153870105743,0.28979653120040894,0.3228248953819275,0.733189046382904,0.2122138887643814,0.34253445267677307,0.25521156191825867,0.4249346852302551,0.33290785551071167,0.38583824038505554,0.4999135136604309,0.1826142966747284
bavaria,0.21773968636989594,0.3685237467288971,0.13664789497852325,0.22919172048568726,0.49724090099334717,0.2684840261936188,1.0,0.18570421636104584,0.18992218375205994,0.14134076237678528,0.14527197182178497,0.1707097887992859
and,0.234501451253891,0.30396533012390137,0.31766200065612793,0.5171257257461548,0.25850871205329895,0.2653750479221344,0.1721828430891037,0.3601827025413513,0.31309178471565247,0.5504306554794312,0.42438167333602905,0.20544172823429108
baden-württemberg,0.2141343504190445,0.3870994746685028,0.16767142713069916,0.25437474250793457,0.5286268591880798,0.3056950569152832,0.703855037689209,0.20164592564105988,0.1892915517091751,0.18156304955482483,0.2176220417022705,0.14803138375282288
",",0.2802521586418152,0.3135715425014496,0.2734232246875763,0.4933079481124878,0.2478695809841156,0.29481780529022217,0.2002691924571991,0.39760664105415344,0.3087472915649414,0.4446498453617096,0.3696635365486145,0.31091248989105225
the,0.24325428903102875,0.23177717626094818,0.3609418272972107,1.0,0.256483793258667,0.3097178041934967,0.22919172048568726,0.40150508284568787,0.42745697498321533,0.44152235984802246,0.5514441132545471,0.22068053483963013
austrian,0.15239588916301727,0.24399656057357788,0.04155414551496506,0.23007287085056305,0.595115602016449,0.12147574126720428,0.4809224605560303,0.14102227985858917,0.1206708550453186,0.10326410830020905,0.1854664385318756,0.10452693700790405
state,0.18612776696681976,0.2056269347667694,0.19437231123447418,0.3097178041934967,0.17963019013404846,1.0,0.2684840261936188,0.29024070501327515,0.24273863434791565,0.25314825773239136,0.23717761039733887,0.1160883978009224
of,0.23993153870105743,0.28979653120040894,0.3228248953819275,0.733189046382904,0.2122138887643814,0.34253445267677307,0.25521156191825867,0.4249346852302551,0.33290785551071167,0.38583824038505554,0.4999135136604309,0.1826142966747284
vorarlberg,0.26399555802345276,0.2984723448753357,0.17085899412631989,0.3350174129009247,0.4971398413181305,0.26736873388290405,0.5879501700401306,0.2082688808441162,0.161793515086174,0.23137877881526947,0.2591167390346527,0.1471826434135437
",",0.2802521586418152,0.3135715425014496,0.2734232246875763,0.4933079481124878,0.2478695809841156,0.29481780529022217,0.2002691924571991,0.39760664105415344,0.3087472915649414,0.4446498453617096,0.3696635365486145,0.31091248989105225
and,0.234501451253891,0.30396533012390137,0.31766200065612793,0.5171257257461548,0.25850871205329895,0.2653750479221344,0.1721828430891037,0.3601827025413513,0.31309178471565247,0.5504306554794312,0.42438167333602905,0.20544172823429108
the,0.24325428903102875,0.23177717626094818,0.3609418272972107,1.0,0.256483793258667,0.3097178041934967,0.22919172048568726,0.40150508284568787,0.42745697498321533,0.44152235984802246,0.5514441132545471,0.22068053483963013
swiss,0.16483141481876373,0.25038084387779236,0.0832454115152359,0.17452241480350494,0.48001304268836975,0.0657656192779541,0.37495043873786926,0.10785173624753952,0.06743662059307098,0.12492024153470993,0.14862275123596191,0.11023817211389542
cantons,0.171308696269989,0.22437559068202972,0.22768856585025787,0.2826148569583893,0.25984880328178406,0.14006377756595612,0.21086253225803375,0.11605265736579895,0.18137581646442413,0.2342817634344101,0.24637562036514282,0.15848033130168915
of,0.23993153870105743,0.28979653120040894,0.3228248953819275,0.733189046382904,0.2122138887643814,0.34253445267677307,0.25521156191825867,0.4249346852302551,0.33290785551071167,0.38583824038505554,0.4999135136604309,0.1826142966747284
thurgau,0.27390024065971375,0.361071914434433,0.22116565704345703,0.31738653779029846,0.34444543719291687,0.25429004430770874,0.4787602722644806,0.1546141356229782,0.1871296465396881,0.1917991042137146,0.17540904879570007,0.11823231726884842
and,0.234501451253891,0.30396533012390137,0.31766200065612793,0.5171257257461548,0.25850871205329895,0.2653750479221344,0.1721828430891037,0.3601827025413513,0.31309178471565247,0.5504306554794312,0.42438167333602905,0.20544172823429108
st.,0.12430965155363083,0.2528262734413147,0.12156648933887482,0.18141359090805054,0.2788151204586029,0.11079590022563934,0.18490159511566162,0.1564422845840454,0.10219959169626236,0.134363055229187,0.16169856488704681,0.13592876493930817
gallen,0.32506313920021057,0.3662125766277313,0.20357313752174377,0.33370739221572876,0.3094730079174042,0.18095731735229492,0.32826295495033264,0.18125319480895996,0.08783864229917526,0.19767801463603973,0.22960165143013,0.1468873918056488
