,how,many,barrels,of,oil,is,it,estimated,kenya,has,?
tullow,0.20305763185024261,0.2379298061132431,0.29087764024734497,0.22272922098636627,0.14519290626049042,0.18604028224945068,0.1683366894721985,0.1824236810207367,0.1969061642885208,0.2134781926870346,0.13445644080638885
oil,0.13798584043979645,0.19348452985286713,0.35883262753486633,0.22900764644145966,1.0,0.20966008305549622,0.21307015419006348,0.21519164741039276,0.18213626742362976,0.1250557154417038,0.14867261052131653
estimates,0.2778623700141907,0.2849331796169281,0.3059651553630829,0.27648961544036865,0.17589960992336273,0.22289325296878815,0.2193966805934906,0.8650909066200256,0.17505981028079987,0.19494423270225525,0.19916187226772308
kenya,0.17591707408428192,0.21882791817188263,0.1430569738149643,0.22226637601852417,0.18213626742362976,0.17591087520122528,0.11538690328598022,0.17585888504981995,1.0,0.18851779401302338,0.17197901010513306
's,-0.026164190843701363,0.01698932610452175,-0.06091495230793953,-0.03817026689648628,-0.08246297389268875,0.02396530658006668,0.06608816236257553,-0.008634808473289013,-0.02908705547451973,-0.040683966130018234,-0.023395681753754616
oil,0.13798584043979645,0.19348452985286713,0.35883262753486633,0.22900764644145966,1.0,0.20966008305549622,0.21307015419006348,0.21519164741039276,0.18213626742362976,0.1250557154417038,0.14867261052131653
reserves,0.12628169357776642,0.17497192323207855,0.18485252559185028,0.2623094618320465,0.37341752648353577,0.29675084352493286,0.22235651314258575,0.24970893561840057,0.239606112241745,0.26381367444992065,0.09854976832866669
to,0.44169697165489197,0.40243685245513916,0.21020838618278503,0.41548454761505127,0.1619214415550232,0.42745086550712585,0.513711154460907,0.2046545445919037,0.17769291996955872,0.3619994819164276,0.29463258385658264
be,0.4158933162689209,0.3961109519004822,0.2544631361961365,0.33904364705085754,0.22906209528446198,0.4819129705429077,0.5203388929367065,0.21316911280155182,0.11485160887241364,0.3863394856452942,0.3324260413646698
around,0.3297552764415741,0.4112928509712219,0.29281070828437805,0.3296394646167755,0.17480146884918213,0.286477267742157,0.4002610445022583,0.3511907160282135,0.10516288876533508,0.3532881736755371,0.14729668200016022
10,0.09177426248788834,0.3056783974170685,-0.03406062349677086,0.2777891755104065,0.009159293957054615,0.1865890771150589,0.1906311810016632,0.11107072979211807,0.17473411560058594,0.1565546989440918,0.022911956533789635
billion,0.2582297921180725,0.27396708726882935,0.31113553047180176,0.19335569441318512,0.2441488802433014,0.16068704426288605,0.22730697691440582,0.54930579662323,0.1964888572692871,0.19310425221920013,0.25791820883750916
barrels,0.18835468590259552,0.24902808666229248,1.0,0.161979079246521,0.35883262753486633,0.13069860637187958,0.17153003811836243,0.33622464537620544,0.1430569738149643,0.15676014125347137,0.19082021713256836
.,0.3287222981452942,0.3974229395389557,0.20729681849479675,0.5352458953857422,0.22117017209529877,0.4569662809371948,0.5593622326850891,0.23778799176216125,0.24234211444854736,0.4105546176433563,0.4130953550338745
