,what,are,the,two,major,subsystems,of,the,immune,system,?
in,0.30808621644973755,0.3841303884983063,0.6662389636039734,0.36463531851768494,0.3249945342540741,0.2271067500114441,0.5696388483047485,0.6662389636039734,0.14682820439338684,0.21978288888931274,0.20430970191955566
many,0.36131182312965393,0.5655534863471985,0.4335206151008606,0.5147606730461121,0.2907782793045044,0.34059667587280273,0.37253960967063904,0.4335206151008606,0.2700537145137787,0.2631138563156128,0.2124512493610382
species,0.14617158472537994,0.3297041952610016,0.2522439956665039,0.22015008330345154,0.1309969574213028,0.38984552025794983,0.23307405412197113,0.2522439956665039,0.24525220692157745,0.19142989814281464,0.1957087516784668
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.35859420895576477,0.29355156421661377,0.25366538763046265,0.4946078956127167,0.4933079481124878,0.15102852880954742,0.18439900875091553,0.31091248989105225
the,0.42745697498321533,0.40399202704429626,1.0,0.43858039379119873,0.31775903701782227,0.30377060174942017,0.733189046382904,1.0,0.21364226937294006,0.3233085572719574,0.22068053483963013
immune,0.2410416603088379,0.23878547549247742,0.21364226937294006,0.15377098321914673,0.13008464872837067,0.3601576089859009,0.16620753705501556,0.21364226937294006,1.0,0.3962631821632385,0.16080476343631744
system,0.23557309806346893,0.21917270123958588,0.3233085572719574,0.14671745896339417,0.19242970645427704,0.6591464877128601,0.25597915053367615,0.3233085572719574,0.3962631821632385,1.0000001192092896,0.15556083619594574
can,0.34502777457237244,0.5408529043197632,0.312528520822525,0.282000333070755,0.12592005729675293,0.43811699748039246,0.2603091299533844,0.312528520822525,0.2696937620639801,0.25937724113464355,0.3226337134838104
be,0.3929833769798279,0.5556803941726685,0.4248143136501312,0.28515341877937317,0.1488431692123413,0.37627121806144714,0.33904364705085754,0.4248143136501312,0.24360142648220062,0.24878063797950745,0.3324260413646698
classified,0.16493408381938934,0.3116118311882019,0.24516408145427704,0.232509046792984,0.20658907294273376,0.3309380114078522,0.1888706386089325,0.24516408145427704,0.16418202221393585,0.2568553388118744,0.1583244353532791
into,0.2180619090795517,0.2930682599544525,0.39493247866630554,0.34175926446914673,0.19816605746746063,0.22230547666549683,0.32255905866622925,0.39493247866630554,0.11432289332151413,0.219827339053154,0.15662476420402527
subsystems,0.24752198159694672,0.37556418776512146,0.30377060174942017,0.21587757766246796,0.259701132774353,1.0,0.2675829231739044,0.30377060174942017,0.3601576089859009,0.6591464877128601,0.23699964582920074
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.35859420895576477,0.29355156421661377,0.25366538763046265,0.4946078956127167,0.4933079481124878,0.15102852880954742,0.18439900875091553,0.31091248989105225
