,what,does,the,u.s.,economic,and,social,model,have,substantial,levels,of,?
in,0.30808621644973755,0.214483380317688,0.6662389636039734,-0.003064807504415512,0.22027181088924408,0.4954058527946472,0.23382627964019775,0.2267826348543167,0.36843645572662354,0.248609721660614,0.2418597936630249,0.5696388483047485,0.20430970191955566
an,0.2821882665157318,0.29477936029434204,0.4207492768764496,-0.004288777709007263,0.15034084022045135,0.2838519215583801,0.1521279513835907,0.18839088082313538,0.22897054255008698,0.2349427044391632,0.1761990785598755,0.32280945777893066,0.19793890416622162
analysis,0.2842639982700348,0.1962430626153946,0.24241644144058228,-0.08384370803833008,0.3483000695705414,0.23574496805667877,0.26292940974235535,0.2379208505153656,0.2486189603805542,0.2943190336227417,0.2353273630142212,0.24679350852966309,0.15352053940296173
of,0.33290785551071167,0.3119818866252899,0.733189046382904,0.011562774889171124,0.3030148148536682,0.5116966962814331,0.2605111300945282,0.18271391093730927,0.3802283704280853,0.30609557032585144,0.23668165504932404,1.0,0.1826142966747284
the,0.42745697498321533,0.35928019881248474,1.0,0.06592652946710587,0.282455176115036,0.5171257257461548,0.21797899901866913,0.14028635621070862,0.40389683842658997,0.32639044523239136,0.286034494638443,0.733189046382904,0.22068053483963013
effects,0.22572848200798035,0.2582561671733856,0.25316479802131653,-0.14796136319637299,0.25325119495391846,0.26666516065597534,0.257942795753479,0.07732485234737396,0.30499693751335144,0.28792011737823486,0.3222961127758026,0.21244898438453674,0.16749060153961182
of,0.33290785551071167,0.3119818866252899,0.733189046382904,0.011562774889171124,0.3030148148536682,0.5116966962814331,0.2605111300945282,0.18271391093730927,0.3802283704280853,0.30609557032585144,0.23668165504932404,1.0,0.1826142966747284
intensive,0.2517683506011963,0.23359264433383942,0.22356298565864563,-0.08079007267951965,0.3390992283821106,0.29796016216278076,0.3206619918346405,0.14073432981967926,0.24044927954673767,0.350444495677948,0.2719752788543701,0.28086864948272705,0.11987068504095078
anglo-american,0.22647079825401306,0.15533515810966492,0.35784050822257996,0.05416708067059517,0.2332495152950287,0.3504338562488556,0.2645374536514282,0.21038779616355896,0.25494104623794556,0.22461627423763275,0.108172208070755,0.32769104838371277,0.20568329095840454
liberal,0.20277564227581024,0.12395790964365005,0.17276059091091156,0.0011793447192758322,0.32452383637428284,0.2580231726169586,0.4940359592437744,0.08369530737400055,0.15606917440891266,0.22520712018013,0.11661314964294434,0.21689234673976898,0.13139645755290985
policies,0.37312451004981995,0.3155811131000519,0.22566401958465576,0.02420300431549549,0.3956981301307678,0.2788451910018921,0.35458898544311523,0.2061329483985901,0.299193799495697,0.3135198950767517,0.19966498017311096,0.210641011595726,0.2969106435775757
in,0.30808621644973755,0.214483380317688,0.6662389636039734,-0.003064807504415512,0.22027181088924408,0.4954058527946472,0.23382627964019775,0.2267826348543167,0.36843645572662354,0.248609721660614,0.2418597936630249,0.5696388483047485,0.20430970191955566
comparison,0.272602915763855,0.20718583464622498,0.2772393822669983,-0.024739792570471764,0.2230491191148758,0.2685045301914215,0.17773336172103882,0.1728447675704956,0.2800878584384918,0.2360110878944397,0.18499022722244263,0.2909576892852783,0.20726710557937622
to,0.455847829580307,0.4391997456550598,0.535392165184021,0.09732837975025177,0.26856908202171326,0.48971283435821533,0.19684761762619019,0.187554731965065,0.4544740617275238,0.31344684958457947,0.29053324460983276,0.41548454761505127,0.29463258385658264
