,what,does,the,beroe,eat,?
the,0.42745697498321533,0.35928019881248474,1.0,0.2654626965522766,0.23500721156597137,0.22068053483963013
later,0.2517229914665222,0.15885840356349945,0.4060266613960266,0.26654303073883057,0.16474545001983643,0.1417175978422165
accidental,0.23869869112968445,0.19006644189357758,0.25876864790916443,0.18912778794765472,0.1306580752134323,0.2016049474477768
introduction,0.2245079129934311,0.18062648177146912,0.2808631956577301,0.1697728931903839,0.13837066292762756,0.27021539211273193
of,0.33290785551071167,0.3119818866252899,0.733189046382904,0.24126726388931274,0.22818823158740997,0.1826142966747284
beroe,0.14043943583965302,0.14422236382961273,0.2654626965522766,1.0,0.22184012830257416,0.1766621172428131
helped,0.1926339715719223,0.24357034265995026,0.3108886480331421,0.09948977828025818,0.10185611993074417,0.16572049260139465
to,0.455847829580307,0.4391997456550598,0.535392165184021,0.25716209411621094,0.2744981348514557,0.29463258385658264
mitigate,0.3666277825832367,0.3686521351337433,0.2710644602775574,0.2346133589744568,0.27918270230293274,0.27815142273902893
the,0.42745697498321533,0.35928019881248474,1.0,0.2654626965522766,0.23500721156597137,0.22068053483963013
problem,0.42183366417884827,0.27746546268463135,0.24928659200668335,0.11734925210475922,0.19291482865810394,0.3762950301170349
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.2364800125360489,0.27748003602027893,0.31091248989105225
as,0.31749409437179565,0.31202155351638794,0.48381632566452026,0.18605926632881165,0.21427258849143982,0.27043893933296204
beroe,0.14043943583965302,0.14422236382961273,0.2654626965522766,1.0,0.22184012830257416,0.1766621172428131
preys,0.18803857266902924,0.1911843866109848,0.3032260835170746,0.24983792006969452,0.48696574568748474,0.15644221007823944
on,0.34226128458976746,0.2568802833557129,0.5107308030128479,0.16552194952964783,0.1781669408082962,0.2714994251728058
other,0.341873437166214,0.2947014272212982,0.44152235984802246,0.2074064165353775,0.3072587847709656,0.24682199954986572
ctenophores,0.2505159080028534,0.2655069828033447,0.2543465793132782,0.31527823209762573,0.3753615617752075,0.2054179310798645
.,0.3567904531955719,0.3022993505001068,0.5934505462646484,0.24944455921649933,0.3032529056072235,0.4130953550338745
