,who,wrote,the,eulogy,?
on,0.2340552806854248,0.23949672281742096,0.5107308030128479,0.13610543310642242,0.2714994251728058
10,0.2045697718858719,0.05439719930291176,0.2880653440952301,-0.047248803079128265,0.022911956533789635
january,0.20979668200016022,0.20855756103992462,0.2467057853937149,0.2303588092327118,0.28608936071395874
1943,-0.02317202277481556,-0.009499247185885906,0.09359575062990189,0.07409687340259552,-0.08025530725717545
",",0.3365725874900818,0.27225261926651,0.4933079481124878,0.24504157900810242,0.31091248989105225
new,0.2378052920103073,0.16065242886543274,0.3845241069793701,0.15607832372188568,0.14782847464084625
york,0.23077517747879028,0.21811996400356293,0.3034006953239441,0.24419815838336945,0.15262620151042938
city,0.21073515713214874,0.12127821147441864,0.35769423842430115,0.18574827909469604,0.13423943519592285
mayor,0.2059774100780487,0.11797726154327393,0.21459873020648956,0.24852271378040314,0.10846361517906189
fiorello,0.26773566007614136,0.19817423820495605,0.19664517045021057,0.22613418102264404,0.15846684575080872
la,0.08889032155275345,0.20595477521419525,0.23999373614788055,0.15781539678573608,0.16701938211917877
guardia,0.1803075224161148,0.23073934018611908,0.21979369223117828,0.22281424701213837,0.14969564974308014
read,0.28330934047698975,0.413878470659256,0.25299927592277527,0.29352664947509766,0.30917879939079285
a,0.36608949303627014,0.232523575425148,0.5829201340675354,0.22252477705478668,0.23916715383529663
eulogy,0.2730545401573181,0.3144148886203766,0.21980726718902588,1.0000001192092896,0.1991807222366333
written,0.26459524035453796,0.6132748126983643,0.2582438886165619,0.24722039699554443,0.21451954543590546
by,0.39727845788002014,0.2766735553741455,0.4408751428127289,0.1898978352546692,0.17966607213020325
slovene-american,0.2956579327583313,0.2592988610267639,0.34690237045288086,0.18742285668849945,0.20735394954681396
author,0.23989170789718628,0.4487803876399994,0.199458509683609,0.24653670191764832,0.14162757992744446
louis,0.25727662444114685,0.14605115354061127,0.22078758478164673,0.22742141783237457,0.09819188714027405
adamic,0.2778926193714142,0.2304866462945938,0.33418920636177063,0.2739868760108948,0.20605801045894623
live,0.21460703015327454,0.17314952611923218,0.2995128035545349,0.13678200542926788,0.19481121003627777
over,0.316001296043396,0.14226634800434113,0.39856547117233276,0.13406617939472198,0.25742942094802856
the,0.3733934462070465,0.2426944375038147,1.0,0.21980726718902588,0.22068053483963013
wnyc,0.1797833889722824,0.005777878686785698,0.18114043772220612,0.18652284145355225,0.3041139841079712
radio,0.20289050042629242,0.18934068083763123,0.23511973023414612,0.15840430557727814,0.08763375133275986
while,0.4068111777305603,0.15880511701107025,0.39804592728614807,0.20202581584453583,0.21076419949531555
violin,0.19736461341381073,0.30037203431129456,0.13756419718265533,0.24612079560756683,0.17786607146263123
pieces,0.229774609208107,0.33185818791389465,0.2676405906677246,0.12091697007417679,0.12758022546768188
``,0.02397952415049076,0.0734158530831337,0.029072100296616554,0.026599232107400894,0.0685480609536171
ave,0.07879038900136948,0.27123066782951355,0.19607670605182648,0.27248284220695496,0.137253537774086
maria,0.20343798398971558,0.2641083300113678,0.15531538426876068,0.16282126307487488,0.16458186507225037
'',0.024401003494858742,0.019677795469760895,0.041273195296525955,-0.0010899320477619767,0.018684765323996544
and,0.41279885172843933,0.2975862920284271,0.5171257257461548,0.1908867359161377,0.20544172823429108
``,0.02397952415049076,0.0734158530831337,0.029072100296616554,0.026599232107400894,0.0685480609536171
tamo,0.23759886622428894,0.21089212596416473,0.19906362891197205,0.09974804520606995,0.17138159275054932
daleko,0.3311448097229004,0.12110091000795364,0.3270701766014099,0.1898224651813507,0.19430828094482422
'',0.024401003494858742,0.019677795469760895,0.041273195296525955,-0.0010899320477619767,0.018684765323996544
were,0.3188014328479767,0.3381096124649048,0.3906462490558624,0.17695605754852295,0.17890112102031708
played,0.26104769110679626,0.27665984630584717,0.2603478729724884,0.18049046397209167,0.14096300303936005
in,0.2792111933231354,0.2898900806903839,0.6662389636039734,0.2079765945672989,0.20430970191955566
the,0.3733934462070465,0.2426944375038147,1.0,0.21980726718902588,0.22068053483963013
background,0.18880468606948853,0.11375023424625397,0.2008458375930786,0.11249856650829315,0.18481217324733734
.,0.3541337847709656,0.2480330765247345,0.5934505462646484,0.20092971622943878,0.4130953550338745
