,when,did,kenya,reach,the,semi-finals,?
they,0.5090266466140747,0.4879390597343445,0.19487014412879944,0.2810121476650238,0.49925389885902405,0.25933316349983215,0.2753053903579712
upset,0.3742595613002777,0.3283829092979431,0.11924928426742554,0.16953973472118378,0.257834255695343,0.3117368519306183,0.22988133132457733
some,0.386913925409317,0.42553430795669556,0.16114766895771027,0.2265619933605194,0.4566698372364044,0.2032618373632431,0.2562315762042999
of,0.3757161796092987,0.2513895630836487,0.22226637601852417,0.20552729070186615,0.733189046382904,0.14520832896232605,0.1826142966747284
the,0.5091903209686279,0.34736719727516174,0.21657514572143555,0.31808504462242126,1.0,0.24127274751663208,0.22068053483963013
world,0.23794586956501007,0.1944720596075058,0.19910317659378052,0.17137561738491058,0.33604270219802856,0.2525566816329956,0.17579582333564758
's,-0.03368149697780609,0.05069678649306297,-0.02908705547451973,0.019294504076242447,-0.01540423184633255,0.03150889277458191,-0.023395681753754616
best,0.15734568238258362,0.25550925731658936,0.12862178683280945,0.1834876388311386,0.3134109377861023,0.18579813838005066,0.2799045741558075
teams,0.21796108782291412,0.18786492943763733,0.13896974921226501,0.18223930895328522,0.3164927661418915,0.45403534173965454,0.11150168627500534
and,0.4716290831565857,0.34479495882987976,0.20742860436439514,0.25625354051589966,0.5171257257461548,0.2339833527803421,0.20544172823429108
reached,0.22692134976387024,0.24863581359386444,0.13314424455165863,0.6885289549827576,0.29860952496528625,0.31217899918556213,0.1518019139766693
semi-finals,0.1888534426689148,0.2004082053899765,0.21419969201087952,0.2946091294288635,0.24127274751663208,1.0,0.16140052676200867
of,0.3757161796092987,0.2513895630836487,0.22226637601852417,0.20552729070186615,0.733189046382904,0.14520832896232605,0.1826142966747284
the,0.5091903209686279,0.34736719727516174,0.21657514572143555,0.31808504462242126,1.0,0.24127274751663208,0.22068053483963013
2003,-0.2741066515445709,-0.1555103063583374,-0.21256312727928162,-0.14525233209133148,-0.14761915802955627,-0.15448889136314392,-0.17560148239135742
tournament,0.21166858077049255,0.1493084579706192,0.11291080713272095,0.13927224278450012,0.23608733713626862,0.531376302242279,0.160465806722641
.,0.475719153881073,0.35288307070732117,0.24234211444854736,0.2684406638145447,0.5934505462646484,0.21821369230747223,0.4130953550338745
