,le,grand,asks,for,a,variance,of,what,three,terms,?
he,0.18077747523784637,0.21114638447761536,0.26805177330970764,0.4540175199508667,0.4393508732318878,0.12249939143657684,0.38706058263778687,0.3114890456199646,0.2872912287712097,0.20974694192409515,0.2089974731206894
encourages,0.2054423838853836,0.11851424723863602,0.3441675007343292,0.29752254486083984,0.2281419038772583,0.2188698649406433,0.2592395544052124,0.27430662512779236,0.0868159830570221,0.23994261026382446,0.24308010935783386
a,0.21668682992458344,0.22816790640354156,0.2615271806716919,0.44038116931915283,1.0,0.3360942304134369,0.5052502155303955,0.3320399522781372,0.3025658130645752,0.2931654751300812,0.23916715383529663
distinction,0.08408252149820328,0.16300876438617706,0.04965526983141899,0.30443647503852844,0.3092878758907318,0.3959888517856598,0.30949485301971436,0.33474257588386536,0.23885218799114227,0.39646852016448975,0.15412788093090057
between,0.12451037764549255,0.14777736365795135,0.12677599489688873,0.24671313166618347,0.29385313391685486,0.280151903629303,0.3737983703613281,0.2462156116962433,0.3260507881641388,0.2733614444732666,0.12887074053287506
lawful,0.09137634932994843,0.15251921117305756,0.30057626962661743,0.23538939654827118,0.219623401761055,0.23743481934070587,0.23920580744743347,0.3231540322303772,0.19265449047088623,0.28039830923080444,0.19633424282073975
protest,0.10260220617055893,0.10100003331899643,0.18184880912303925,0.24352872371673584,0.25490954518318176,0.0732438713312149,0.24564224481582642,0.20248152315616608,0.1686188131570816,0.12786608934402466,0.1878921240568161
demonstration,0.08886875957250595,0.10448979586362839,0.15348578989505768,0.3196171522140503,0.26581549644470215,0.2687220573425293,0.24823273718357086,0.19416043162345886,0.18513408303260803,0.1282719224691391,0.13217706978321075
",",0.1742672175168991,0.29582488536834717,0.21464002132415771,0.4464869201183319,0.427140474319458,0.25044354796409607,0.4946078956127167,0.3087472915649414,0.3347506821155548,0.26854002475738525,0.31091248989105225
nonviolent,0.12036479264497757,0.05741273611783981,0.2507299482822418,0.2900647819042206,0.2690187394618988,0.20727121829986572,0.2696565091609955,0.27531832456588745,0.2070140689611435,0.2771996259689331,0.23365403711795807
civil,0.1424577683210373,0.11512083560228348,0.16148078441619873,0.1685788929462433,0.21693918108940125,0.10114101320505142,0.24698495864868164,0.15091551840305328,0.13412731885910034,0.1765539050102234,0.1494513899087906
disobedience,0.2099427580833435,0.2076214998960495,0.3079849183559418,0.23370130360126495,0.25352153182029724,0.22683246433734894,0.31932318210601807,0.3298627436161041,0.1897863894701004,0.2191861867904663,0.19890835881233215
",",0.1742672175168991,0.29582488536834717,0.21464002132415771,0.4464869201183319,0.427140474319458,0.25044354796409607,0.4946078956127167,0.3087472915649414,0.3347506821155548,0.26854002475738525,0.31091248989105225
and,0.15070271492004395,0.24639178812503815,0.26610857248306274,0.5064792633056641,0.3739250600337982,0.24466301500797272,0.5116966962814331,0.31309178471565247,0.3826501965522766,0.26477551460266113,0.20544172823429108
violent,0.08941787481307983,0.07824394851922989,0.17718824744224548,0.1996546983718872,0.2523633539676666,0.1071491688489914,0.23184357583522797,0.20861265063285828,0.19116243720054626,0.21616478264331818,0.1652229279279709
civil,0.1424577683210373,0.11512083560228348,0.16148078441619873,0.1685788929462433,0.21693918108940125,0.10114101320505142,0.24698495864868164,0.15091551840305328,0.13412731885910034,0.1765539050102234,0.1494513899087906
disobedience,0.2099427580833435,0.2076214998960495,0.3079849183559418,0.23370130360126495,0.25352153182029724,0.22683246433734894,0.31932318210601807,0.3298627436161041,0.1897863894701004,0.2191861867904663,0.19890835881233215
.,0.17469188570976257,0.22995266318321228,0.2312052994966507,0.4726039469242096,0.50484299659729,0.2562597692012787,0.5352458953857422,0.3567904531955719,0.34968629479408264,0.24108539521694183,0.4130953550338745
