,what,was,roaring,as,newcastle,was,stormed,?
in,0.30808621644973755,0.45514053106307983,0.2976304888725281,0.3887844979763031,0.19270820915699005,0.45514053106307983,0.2887636721134186,0.20430970191955566
1644,0.2488797903060913,0.18825776875019073,0.16923053562641144,0.17899230122566223,-0.03550080955028534,0.18825776875019073,0.014421474188566208,0.018858235329389572
the,0.42745697498321533,0.48711544275283813,0.28155672550201416,0.48381632566452026,0.2253497689962387,0.48711544275283813,0.3113177418708801,0.22068053483963013
city,0.17493832111358643,0.3188765048980713,0.22440125048160553,0.21195319294929504,0.32860881090164185,0.3188765048980713,0.20907720923423767,0.13423943519592285
was,0.22111038863658905,1.0000001192092896,0.18065688014030457,0.3677520453929901,0.25710436701774597,1.0000001192092896,0.3513807952404022,0.18412111699581146
then,0.4072686731815338,0.27044644951820374,0.18730959296226501,0.375661164522171,0.16450317203998566,0.27044644951820374,0.26370733976364136,0.2884598970413208
besieged,0.1401807814836502,0.3674296736717224,0.20098692178726196,0.20862257480621338,0.27664002776145935,0.3674296736717224,0.43374720215797424,0.0884506106376648
for,0.3017193675041199,0.3863949179649353,0.23315681517124176,0.44774648547172546,0.2425866425037384,0.3863949179649353,0.18091106414794922,0.264628142118454
many,0.36131182312965393,0.260356068611145,0.24797742068767548,0.4070141911506653,0.17336907982826233,0.260356068611145,0.16199816763401031,0.2124512493610382
months,0.24954822659492493,0.30324822664260864,0.2504097521305084,0.22191749513149261,0.1815248429775238,0.30324822664260864,0.25389277935028076,0.2804218530654907
and,0.31309178471565247,0.3740963041782379,0.2799844741821289,0.49487000703811646,0.20204751193523407,0.3740963041782379,0.2892721891403198,0.20544172823429108
was,0.22111038863658905,1.0000001192092896,0.18065688014030457,0.3677520453929901,0.25710436701774597,1.0000001192092896,0.3513807952404022,0.18412111699581146
eventually,0.28470873832702637,0.35699570178985596,0.20997001230716705,0.31215140223503113,0.15103664994239807,0.35699570178985596,0.30604732036590576,0.13642115890979767
stormed,0.1656641960144043,0.3513807952404022,0.20721817016601562,0.16204877197742462,0.19193889200687408,0.3513807952404022,0.9999999403953552,0.12033271044492722
(,0.2411840260028839,0.2980341613292694,0.13540421426296234,0.32029855251312256,0.13896974921226501,0.2980341613292694,0.17919069528579712,0.40561532974243164
'with,0.3243809640407562,0.2933228015899658,0.2209770232439041,0.37146398425102234,0.21313999593257904,0.2933228015899658,0.2412727326154709,0.3508557975292206
roaring,0.28464275598526,0.18065688014030457,0.9999999403953552,0.20907722413539886,0.3453284204006195,0.18065688014030457,0.20721817016601562,0.18387706577777863
drummes,0.15367741882801056,0.227787584066391,0.2342064380645752,0.2597860097885132,0.16689035296440125,0.227787584066391,0.20521703362464905,0.18642966449260712
',0.3245812654495239,0.33675912022590637,0.1882828325033188,0.41391023993492126,0.17393088340759277,0.33675912022590637,0.19138197600841522,0.330942302942276
),0.26259949803352356,0.3267642855644226,0.15628580749034882,0.32161882519721985,0.15254424512386322,0.3267642855644226,0.20792396366596222,0.42300865054130554
and,0.31309178471565247,0.3740963041782379,0.2799844741821289,0.49487000703811646,0.20204751193523407,0.3740963041782379,0.2892721891403198,0.20544172823429108
sacked,0.13868024945259094,0.32993462681770325,0.14165262877941132,0.1766921728849411,0.2912513315677643,0.32993462681770325,0.41520166397094727,0.07766196876764297
by,0.2455483376979828,0.4752357602119446,0.13842536509037018,0.3815547823905945,0.1767825335264206,0.4752357602119446,0.30809885263442993,0.17966607213020325
cromwell,0.18330208957195282,0.25696972012519836,0.21129174530506134,0.24196602404117584,0.29272782802581787,0.25696972012519836,0.22531606256961823,0.19627612829208374
's,0.02692362666130066,0.008974763564765453,0.11368323862552643,-0.05775856226682663,-0.017262522131204605,0.008974763564765453,0.05428996682167053,-0.023395681753754616
allies,0.1844111829996109,0.28652453422546387,0.22714351117610931,0.17164653539657593,0.1818709671497345,0.28652453422546387,0.3318747282028198,0.16798950731754303
.,0.3567904531955719,0.40146201848983765,0.22457897663116455,0.515582263469696,0.2714749276638031,0.40146201848983765,0.2731311321258545,0.4130953550338745
