,where,can,aeolian,sand,with,a,number,of,dunes,be,found,?
there,0.5016061663627625,0.36423051357269287,0.23336158692836761,0.21303200721740723,0.37390366196632385,0.4214206337928772,0.35469454526901245,0.44397735595703125,0.24160133302211761,0.41019052267074585,0.34913212060928345,0.29405656456947327
are,0.32389864325523376,0.5408529043197632,0.2109951674938202,0.24431867897510529,0.38996943831443787,0.265255331993103,0.3537501394748688,0.39081433415412903,0.24322836101055145,0.5556803941726685,0.2740558087825775,0.24591213464736938
several,0.32044100761413574,0.32839062809944153,0.19241167604923248,0.20425914227962494,0.3401424288749695,0.29992109537124634,0.39566636085510254,0.3271615505218506,0.18473462760448456,0.3049358129501343,0.22822192311286926,0.15595775842666626
levels,0.25454944372177124,0.376473605632782,0.2286602258682251,0.1444813311100006,0.21957921981811523,0.21465790271759033,0.2455245554447174,0.23668165504932404,0.2803913652896881,0.3238581120967865,0.17855443060398102,0.1541307419538498
of,0.38066378235816956,0.2603091299533844,0.26256412267684937,0.22869873046875,0.41827285289764404,0.5052502155303955,0.2778518795967102,1.0,0.18988412618637085,0.33904364705085754,0.2982911467552185,0.1826142966747284
the,0.5003893971443176,0.312528520822525,0.2556084096431732,0.23732955753803253,0.4223487675189972,0.5829201340675354,0.35145696997642517,0.733189046382904,0.211519256234169,0.4248143136501312,0.3452354073524475,0.22068053483963013
plain,0.25798678398132324,0.167292520403862,0.21389348804950714,0.2803327739238739,0.22437560558319092,0.25566592812538147,0.15559904277324677,0.2280387431383133,0.3071439266204834,0.2430391162633896,0.2273503839969635,0.17552430927753448
vistula,0.21437188982963562,0.1640746146440506,0.14313003420829773,0.27554553747177124,0.18995487689971924,0.219985231757164,0.13268032670021057,0.2898311913013458,0.2360885590314865,0.15479253232479095,0.19259896874427795,0.1677311211824417
terraces,0.2613924443721771,0.20481207966804504,0.3667922616004944,0.3421897292137146,0.22649456560611725,0.2344791144132614,0.18031343817710876,0.2573932707309723,0.46226784586906433,0.2178497165441513,0.18109577894210815,0.07399796694517136
(,0.1970011591911316,0.22726960480213165,0.18664665520191193,0.19799156486988068,0.29503780603408813,0.3206180930137634,0.16158060729503632,0.35032153129577637,0.15151406824588776,0.2349044382572174,0.1583331823348999,0.40561532974243164
flooded,0.24427981674671173,0.14064690470695496,0.28731849789619446,0.2720555067062378,0.18064191937446594,0.18305498361587524,0.20409898459911346,0.2416752129793167,0.38980698585510254,0.21207593381404877,0.25235122442245483,0.22428427636623383
as,0.35409465432167053,0.3245031237602234,0.17815735936164856,0.18836627900600433,0.40387406945228577,0.39550232887268066,0.26786008477211,0.3886612355709076,0.18810291588306427,0.5230465531349182,0.20543651282787323,0.27043893933296204
well,0.4122413992881775,0.35096636414527893,0.16348418593406677,0.21203216910362244,0.37264955043792725,0.320642352104187,0.26705461740493774,0.3343164324760437,0.2620095908641815,0.4045031666755676,0.22523817420005798,0.24815571308135986
as,0.35409465432167053,0.3245031237602234,0.17815735936164856,0.18836627900600433,0.40387406945228577,0.39550232887268066,0.26786008477211,0.3886612355709076,0.18810291588306427,0.5230465531349182,0.20543651282787323,0.27043893933296204
former,0.2055155634880066,0.08565124124288559,0.11284102499485016,0.13285446166992188,0.16752652823925018,0.2562483549118042,0.16078965365886688,0.30415382981300354,0.04011563956737518,0.1074891984462738,0.14623598754405975,0.10570605844259262
flooded,0.24427981674671173,0.14064690470695496,0.28731849789619446,0.2720555067062378,0.18064191937446594,0.18305498361587524,0.20409898459911346,0.2416752129793167,0.38980698585510254,0.21207593381404877,0.25235122442245483,0.22428427636623383
once,0.43585678935050964,0.36088305711746216,0.22636233270168304,0.20400498807430267,0.38511526584625244,0.4225178360939026,0.19823184609413147,0.2879956364631653,0.20286224782466888,0.41816776990890503,0.22823017835617065,0.17750471830368042
),0.20711064338684082,0.23216170072555542,0.1873214691877365,0.19198761880397797,0.3069596290588379,0.3640355169773102,0.19318018853664398,0.3680361211299896,0.1331614851951599,0.24578070640563965,0.16750772297382355,0.42300865054130554
and,0.43859338760375977,0.3675691485404968,0.24474823474884033,0.3195117712020874,0.5477725267410278,0.3739250600337982,0.28545793890953064,0.5116966962814331,0.30310049653053284,0.41766801476478577,0.27978911995887756,0.20544172823429108
only,0.46093058586120605,0.43433451652526855,0.2232242077589035,0.17748954892158508,0.367427259683609,0.47549712657928467,0.39694860577583313,0.49632513523101807,0.126261368393898,0.46042704582214355,0.32691848278045654,0.2767370045185089
small,0.33669906854629517,0.304699569940567,0.288830041885376,0.28001686930656433,0.28140774369239807,0.41262131929397583,0.29091721773147583,0.353353351354599,0.18969056010246277,0.2888108789920807,0.2775862216949463,0.13914890587329865
part,0.3328706920146942,0.1665269285440445,0.20851559937000275,0.13372142612934113,0.294111043214798,0.3994528353214264,0.21476125717163086,0.452393114566803,0.0926092341542244,0.24258971214294434,0.18659669160842896,0.08557961881160736
and,0.43859338760375977,0.3675691485404968,0.24474823474884033,0.3195117712020874,0.5477725267410278,0.3739250600337982,0.28545793890953064,0.5116966962814331,0.30310049653053284,0.41766801476478577,0.27978911995887756,0.20544172823429108
not,0.3820744752883911,0.49270012974739075,0.19254650175571442,0.1446375548839569,0.3409014642238617,0.3791346549987793,0.30033785104751587,0.3307090103626251,0.13984322547912598,0.5788898468017578,0.23683975636959076,0.41942933201789856
