,what,is,the,english,translation,of,kunskapsskolan,?
for,0.3017193675041199,0.43268078565597534,0.4739971458911896,0.2594873905181885,0.2431381344795227,0.4185989499092102,0.23914265632629395,0.264628142118454
instance,0.3862040638923645,0.33154773712158203,0.3539782464504242,0.24210774898529053,0.25298845767974854,0.3011147379875183,0.16786286234855652,0.30205854773521423
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.3339248597621918,0.2429160475730896,0.4946078956127167,0.3854314386844635,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,1.0,0.23982001841068268,0.26402729749679565,0.733189046382904,0.33107176423072815,0.22068053483963013
biggest,0.1501782387495041,0.3216690123081207,0.3799763321876526,0.0730915293097496,0.06462739408016205,0.35091954469680786,0.21747472882270813,0.11438456177711487
school,0.18774057924747467,0.19488026201725006,0.22953221201896667,0.22081100940704346,0.12556083500385284,0.2391800880432129,0.2705797255039215,0.15091250836849213
chain,0.14724448323249817,0.20325429737567902,0.2761823236942291,0.07541997730731964,0.12022776901721954,0.19438005983829498,0.1460324376821518,0.09208294749259949
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.3339248597621918,0.2429160475730896,0.4946078956127167,0.3854314386844635,0.31091248989105225
kunskapsskolan,0.19754616916179657,0.289568156003952,0.33107176423072815,0.19671863317489624,0.215682715177536,0.3190321624279022,1.0,0.16704556345939636
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.3194602429866791,0.2620614171028137,0.35032153129577637,0.2938951849937439,0.40561532974243164
“,-0.009074612520635128,-0.040780652314424515,-0.004561804234981537,0.10489396005868912,0.048713136464357376,0.006646031979471445,-0.005665081553161144,-0.043535903096199036
the,0.42745697498321533,0.5823672413825989,1.0,0.23982001841068268,0.26402729749679565,0.733189046382904,0.33107176423072815,0.22068053483963013
knowledge,0.3869657814502716,0.18001945316791534,0.22194717824459076,0.26922541856765747,0.31765589118003845,0.25563913583755493,0.18662461638450623,0.2853184640407562
school,0.18774057924747467,0.19488026201725006,0.22953221201896667,0.22081100940704346,0.12556083500385284,0.2391800880432129,0.2705797255039215,0.15091250836849213
”,-0.08669018000364304,-0.03237918019294739,-0.13169695436954498,0.06038760393857956,0.037316977977752686,-0.06583167612552643,0.04089396446943283,0.014230710454285145
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.32298287749290466,0.2564658224582672,0.3680361211299896,0.3253677487373352,0.42300865054130554
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.3339248597621918,0.2429160475730896,0.4946078956127167,0.3854314386844635,0.31091248989105225
offers,0.1298302859067917,0.2611624300479889,0.21389935910701752,0.14401376247406006,0.23841983079910278,0.22654089331626892,0.22513553500175476,0.1211681216955185
30,-0.04443084076046944,0.01582122966647148,0.0730796679854393,-0.007926220074295998,0.014947635121643543,0.003304550424218178,0.03919849172234535,-0.08261742442846298
schools,0.1820785105228424,0.2022145688533783,0.22905772924423218,0.21713261306285858,0.17520028352737427,0.265506386756897,0.17807544767856598,0.18349280953407288
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.3409043252468109,0.2206902801990509,0.5116966962814331,0.33618101477622986,0.20544172823429108
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.21707510948181152,0.21946357190608978,0.5052502155303955,0.3131978511810303,0.23916715383529663
web-based,0.3280489146709442,0.3002185821533203,0.35429540276527405,0.29088252782821655,0.2927555739879608,0.34365564584732056,0.31047943234443665,0.29991838335990906
environment,0.213022843003273,0.2787531912326813,0.25819888710975647,0.14572246372699738,0.15849827229976654,0.2659151554107666,0.13961058855056763,0.19478057324886322
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.3339248597621918,0.2429160475730896,0.4946078956127167,0.3854314386844635,0.31091248989105225
has,0.20338068902492523,0.5668748617172241,0.4177538752555847,0.18010249733924866,0.11783986538648605,0.3909035325050354,0.2765798568725586,0.15994466841220856
700,0.10991482436656952,-0.048697639256715775,0.022243324667215347,0.1725236475467682,0.17934423685073853,0.012074376456439495,0.09622965008020401,0.1795072853565216
employees,0.2089136689901352,0.1804000735282898,0.204413041472435,0.1395481377840042,0.1799001693725586,0.2026711106300354,0.1976311057806015,0.2076551467180252
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.3409043252468109,0.2206902801990509,0.5116966962814331,0.33618101477622986,0.20544172823429108
teaches,0.26125696301460266,0.2536129355430603,0.2156836986541748,0.1800696700811386,0.19273415207862854,0.274461567401886,0.2875572443008423,0.2008351981639862
nearly,0.21304303407669067,0.268917441368103,0.3409946858882904,0.19454139471054077,0.11954551935195923,0.3455437123775482,0.22795478999614716,0.11670064926147461
"10,000",-0.08757107704877853,-0.00011738140892703086,-0.07657112926244736,0.007110566832125187,0.07191929966211319,-0.024864796549081802,0.22591596841812134,0.10342991352081299
pupils,0.180222749710083,0.1490861177444458,0.161826953291893,0.17998090386390686,0.10227734595537186,0.17450828850269318,0.235025092959404,0.06499303877353668
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2881386876106262,0.2109805941581726,0.5352458953857422,0.3301883637905121,0.4130953550338745
