,what,is,the,hypersensitive,response,of,a,plant,immune,system,?
plants,0.25144460797309875,0.2423158437013626,0.29499560594558716,0.2967947721481323,0.1561051905155182,0.29386165738105774,0.21329157054424286,0.8344468474388123,0.26676440238952637,0.24697130918502808,0.1473488062620163
have,0.39808809757232666,0.3613572418689728,0.40389683842658997,0.38756513595581055,0.29600051045417786,0.3802283704280853,0.338716596364975,0.23837271332740784,0.2992585301399231,0.27033093571662903,0.32991164922714233
two,0.23363454639911652,0.2315155267715454,0.43858039379119873,0.19608770310878754,0.17834842205047607,0.37726253271102905,0.3289857804775238,0.18409229815006256,0.15377098321914673,0.14671745896339417,0.19645625352859497
main,0.2344268560409546,0.3009335994720459,0.38631999492645264,0.1203032061457634,0.16954851150512695,0.3177044689655304,0.27217230200767517,0.12201356142759323,0.16125424206256866,0.13672471046447754,0.1665669083595276
immune,0.2410416603088379,0.2092347890138626,0.21364226937294006,0.39120569825172424,0.43541768193244934,0.16620753705501556,0.20466765761375427,0.22660516202449799,1.0,0.3962631821632385,0.16080476343631744
responses—the,0.4435657262802124,0.27781033515930176,0.3459297716617584,0.393420934677124,0.89070725440979,0.2760092318058014,0.29387202858924866,0.304501473903656,0.4814133644104004,0.3688611388206482,0.2793213725090027
hypersensitive,0.2850120961666107,0.2567732632160187,0.2105095088481903,1.0,0.309619665145874,0.21087519824504852,0.2703949213027954,0.28364884853363037,0.39120569825172424,0.23974210023880005,0.22263620793819427
response,0.3532308340072632,0.21022158861160278,0.28909924626350403,0.309619665145874,1.0000001192092896,0.21864040195941925,0.25924429297447205,0.18086710572242737,0.43541768193244934,0.2933112382888794,0.2007838636636734
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2157571166753769,0.24039098620414734,0.4946078956127167,0.427140474319458,0.25194862484931946,0.15102852880954742,0.18439900875091553,0.31091248989105225
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.15399357676506042,0.20744606852531433,0.5696388483047485,0.539380669593811,0.2597269117832184,0.14682820439338684,0.21978288888931274,0.20430970191955566
which,0.5261979103088379,0.4457404911518097,0.6521818041801453,0.37450361251831055,0.33102378249168396,0.5011631846427917,0.56894451379776,0.29031169414520264,0.3153325319290161,0.37390631437301636,0.25814583897590637
infected,0.18830068409442902,0.16576501727104187,0.2435249239206314,0.4109438955783844,0.25866904854774475,0.24511770904064178,0.24732835590839386,0.26818981766700745,0.47535911202430725,0.21950584650039673,0.17761120200157166
cells,0.1758001297712326,0.1644774079322815,0.19095487892627716,0.3600298762321472,0.30744311213493347,0.21305565536022186,0.2297232300043106,0.3855547606945038,0.5300963521003723,0.29856014251708984,0.1898086667060852
seal,0.08656835556030273,0.2498227208852768,0.2316584438085556,0.14524264633655548,0.10344921052455902,0.23927870392799377,0.24342581629753113,0.08324173092842102,0.10323929041624069,0.13851994276046753,0.1086806133389473
themselves,0.34807315468788147,0.16502061486244202,0.3444426357746124,0.2602182924747467,0.2023787498474121,0.2638634443283081,0.19371497631072998,0.19317346811294556,0.24309468269348145,0.16336627304553986,0.20170879364013672
off,0.2350364625453949,0.20147104561328888,0.2773582935333252,0.1513068526983261,0.17005516588687897,0.20023372769355774,0.2788178026676178,0.1539907157421112,0.1921665519475937,0.14044292271137238,0.12937544286251068
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.27272966504096985,0.21754570305347443,0.5116966962814331,0.3739250600337982,0.2409428209066391,0.14400269091129303,0.231138214468956,0.20544172823429108
undergo,0.20737503468990326,0.17841188609600067,0.21054203808307648,0.37526142597198486,0.3280022442340851,0.2243548482656479,0.25324106216430664,0.29465943574905396,0.31631699204444885,0.31902021169662476,0.15837688744068146
programmed,0.30422917008399963,0.2166057527065277,0.23688580095767975,0.32021215558052063,0.23206453025341034,0.15505735576152802,0.26782310009002686,0.16512878239154816,0.2888527810573578,0.2966447174549103,0.24696937203407288
