,what,football,program,was,debuted,by,abc,in,1970,?
in,0.30808621644973755,0.2378888875246048,0.1994907110929489,0.45514053106307983,0.25110283493995667,0.370934396982193,0.1697147786617279,1.0,0.052265819162130356,0.20430970191955566
1970,-0.04533620923757553,0.016656825318932533,-0.05503978952765465,0.08790356665849686,-0.03084051050245762,-0.11369822919368744,-0.1339404284954071,0.052265819162130356,1.0,-0.007446378003805876
",",0.3087472915649414,0.25483596324920654,0.17760658264160156,0.45456063747406006,0.23864160478115082,0.3680937886238098,0.2097204476594925,0.5201468467712402,0.10338303446769714,0.31091248989105225
abc,0.1317344456911087,0.17121970653533936,0.28949791193008423,0.21565799415111542,0.27247121930122375,0.17600902915000916,1.0000001192092896,0.1697147786617279,-0.1339404284954071,0.19065172970294952
debuted,0.08543460816144943,0.1971091479063034,0.22954562306404114,0.3357197344303131,0.9999999403953552,0.20822018384933472,0.27247121930122375,0.25110283493995667,-0.03084051050245762,0.12089905142784119
monday,0.2309933304786682,0.22461774945259094,0.24175584316253662,0.20968683063983917,0.2709360420703888,0.11682796478271484,0.32618746161460876,0.20201818645000458,0.00610079150646925,0.21348176896572113
night,0.20251014828681946,0.12548060715198517,0.21970747411251068,0.21724213659763336,0.2687590420246124,0.1654970496892929,0.21145369112491608,0.24847309291362762,0.015164341777563095,0.13794848322868347
football,0.21136903762817383,0.9999999403953552,0.11330968886613846,0.23601193726062775,0.1971091479063034,0.13458865880966187,0.17121970653533936,0.2378888875246048,0.016656825318932533,0.14957410097122192
as,0.31749409437179565,0.17312440276145935,0.19883424043655396,0.3677520453929901,0.14402928948402405,0.3815547823905945,0.2286096066236496,0.3887844979763031,0.012811446562409401,0.27043893933296204
part,0.3476244807243347,0.1834224909543991,0.20924174785614014,0.3407018780708313,0.1900562047958374,0.28271573781967163,0.13526929914951324,0.4499994218349457,0.012308472767472267,0.08557961881160736
of,0.33290785551071167,0.2184123694896698,0.17376001179218292,0.4069072902202606,0.18094587326049805,0.3646814823150635,0.14607268571853638,0.5696388483047485,0.12830553948879242,0.1826142966747284
its,0.30393704771995544,0.13360072672367096,0.22245895862579346,0.3518870174884796,0.14871901273727417,0.24398943781852722,0.19045390188694,0.3793783485889435,-0.022174492478370667,0.15103481709957123
monday,0.2309933304786682,0.22461774945259094,0.24175584316253662,0.20968683063983917,0.2709360420703888,0.11682796478271484,0.32618746161460876,0.20201818645000458,0.00610079150646925,0.21348176896572113
prime,0.15586113929748535,0.20983277261257172,0.12939992547035217,0.21048103272914886,0.22092489898204803,0.1702890843153,0.16913822293281555,0.18097394704818726,0.046054448932409286,0.11276303976774216
time,0.36319252848625183,0.13766008615493774,0.2290326952934265,0.3641340136528015,0.2211022526025772,0.26502725481987,0.17553414404392242,0.3431483507156372,-0.000834654550999403,0.27391523122787476
schedule,0.22513388097286224,0.09571406245231628,0.32127419114112854,0.21744026243686676,0.16820171475410461,0.17196571826934814,0.24818992614746094,0.20525701344013214,0.055158574134111404,0.16743622720241547
;,0.10986888408660889,0.030621366575360298,-0.059939730912446976,0.0754367932677269,0.08609592169523239,0.10469875484704971,-0.0012340332614257932,0.092739537358284,0.02640453912317753,0.10349778085947037
the,0.42745697498321533,0.18794101476669312,0.22986935079097748,0.48711544275283813,0.28418588638305664,0.4408751428127289,0.2068762183189392,0.6662389636039734,0.013761552982032299,0.22068053483963013
program,0.25047802925109863,0.11330968886613846,1.0,0.1849333792924881,0.22954562306404114,0.19954828917980194,0.28949791193008423,0.1994907110929489,-0.05503978952765465,0.1440187245607376
