,what,does,man,'s,justification,depend,on,in,faith,?
roman,0.17852471768856049,0.12155745178461075,0.15608349442481995,0.11189179122447968,0.22169576585292816,0.10649852454662323,0.15509356558322906,0.24986636638641357,0.21058061718940735,0.1663191318511963
catholic,0.1882777214050293,0.14667953550815582,0.09393732249736786,0.06979791074991226,0.2925703823566437,0.11272052675485611,0.14063064754009247,0.26313918828964233,0.35558444261550903,0.16609853506088257
theology,0.322174996137619,0.15633484721183777,0.13973724842071533,0.020489903166890144,0.3884885013103485,0.13097894191741943,0.1613156795501709,0.23190923035144806,0.4377717077732086,0.1560962051153183
stated,0.3668954074382782,0.2997897267341614,0.20483388006687164,0.014573756605386734,0.3259197473526001,0.2071688324213028,0.3053775131702423,0.24313503503799438,0.26120251417160034,0.24280361831188202
that,0.6297725439071655,0.4764937460422516,0.25507083535194397,0.04397977516055107,0.4210440516471863,0.33055636286735535,0.42569106817245483,0.435920387506485,0.29499298334121704,0.32716336846351624
faith,0.3120079040527344,0.20944759249687195,0.15997576713562012,0.07204221934080124,0.4467911124229431,0.11459729820489883,0.237689808011055,0.16146141290664673,1.0,0.2833177447319031
alone,0.3431425094604492,0.2488425225019455,0.24477601051330566,0.03210477530956268,0.32520633935928345,0.2853753864765167,0.3542509973049164,0.24454614520072937,0.27674219012260437,0.25589054822921753
",",0.3087472915649414,0.28617382049560547,0.26654794812202454,-0.0016132977325469255,0.28414639830589294,0.20705392956733704,0.49057599902153015,0.5201468467712402,0.3190833032131195,0.31091248989105225
whether,0.5516265630722046,0.39905500411987305,0.20557032525539398,0.03314889967441559,0.39872273802757263,0.43815264105796814,0.2535785734653473,0.24645471572875977,0.22606158256530762,0.3150278329849243
fiduciary,0.28259482979774475,0.2880750894546509,0.24094490706920624,0.004229435231536627,0.3604399263858795,0.2587398290634155,0.2300039529800415,0.26940369606018066,0.26615163683891296,0.2270248830318451
or,0.33867141604423523,0.4248845875263214,0.2590550482273102,0.06871571391820908,0.34312984347343445,0.42839938402175903,0.2897229492664337,0.3586423695087433,0.20490938425064087,0.32389625906944275
dogmatic,0.4108916223049164,0.285513699054718,0.20094022154808044,-0.047658227384090424,0.45311763882637024,0.24796460568904877,0.24168412387371063,0.22862717509269714,0.420669823884964,0.3081045150756836
",",0.3087472915649414,0.28617382049560547,0.26654794812202454,-0.0016132977325469255,0.28414639830589294,0.20705392956733704,0.49057599902153015,0.5201468467712402,0.3190833032131195,0.31091248989105225
can,0.34502777457237244,0.5156301856040955,0.198351189494133,-0.02075597457587719,0.27477312088012695,0.48961061239242554,0.2772369682788849,0.26527702808380127,0.14275698363780975,0.3226337134838104
not,0.5449194312095642,0.6355478763580322,0.2755829691886902,0.002583299996331334,0.3944041132926941,0.3934189975261688,0.3516409695148468,0.3403114080429077,0.2913705110549927,0.41942933201789856
justify,0.4040449857711792,0.29760998487472534,0.20797541737556458,0.005273730959743261,0.6909223794937134,0.2493113875389099,0.21842265129089355,0.14288990199565887,0.4142420291900635,0.3789809048175812
man,0.21916821599006653,0.2741798758506775,1.0,-0.04544515535235405,0.19782815873622894,0.10660845041275024,0.2439323514699936,0.19554144144058228,0.15997576713562012,0.2528940737247467
;,0.10986888408660889,0.0650511160492897,0.10107897222042084,0.006909397430717945,0.03526108339428902,-0.0004401640617288649,-0.017878999933600426,0.092739537358284,0.01333590503782034,0.10349778085947037
justification,0.41217631101608276,0.3330012857913971,0.19782815873622894,0.0015965171623975039,1.0,0.2497609704732895,0.27333176136016846,0.18786969780921936,0.4467911124229431,0.4005378186702728
rather,0.3923804461956024,0.39748668670654297,0.2454625964164734,0.08959644287824631,0.36383476853370667,0.355126291513443,0.2960607409477234,0.26646825671195984,0.22988756000995636,0.3053998053073883
depends,0.3503915071487427,0.4312375783920288,0.1363164782524109,-0.04156423360109329,0.2695574462413788,0.8619752526283264,0.31481608748435974,0.23358918726444244,0.12445893883705139,0.18496274948120117
only,0.41415658593177795,0.45203697681427,0.2223711907863617,0.08984304964542389,0.37650057673454285,0.3385482728481293,0.38586410880088806,0.42992329597473145,0.223905548453331,0.2767370045185089
on,0.34226128458976746,0.2568802833557129,0.2439323514699936,0.0026888418942689896,0.27333176136016846,0.30157047510147095,0.9999999403953552,0.46853652596473694,0.237689808011055,0.2714994251728058
such,0.23989605903625488,0.2787191867828369,0.2070872038602829,0.05073437839746475,0.2960822284221649,0.31512102484703064,0.3181164264678955,0.2704046070575714,0.16677984595298767,0.17851735651493073
faith,0.3120079040527344,0.20944759249687195,0.15997576713562012,0.07204221934080124,0.4467911124229431,0.11459729820489883,0.237689808011055,0.16146141290664673,1.0,0.2833177447319031
as,0.31749409437179565,0.31202155351638794,0.19683623313903809,-0.05775856226682663,0.26791077852249146,0.24897968769073486,0.36047765612602234,0.3887844979763031,0.25178882479667664,0.27043893933296204
is,0.28837618231773376,0.4403602182865143,0.2326623499393463,0.02396530658006668,0.2093798965215683,0.2675020098686218,0.3635730445384979,0.5394441485404968,0.2154717594385147,0.22961433231830597
active,0.2610722482204437,0.19193916022777557,0.09615521132946014,0.023876376450061798,0.2896893322467804,0.17448295652866364,0.20644070208072662,0.2698204517364502,0.1914345920085907,0.20374006032943726
in,0.30808621644973755,0.214483380317688,0.19554144144058228,-0.037580832839012146,0.18786969780921936,0.20353147387504578,0.46853652596473694,1.0,0.16146141290664673,0.20430970191955566
charity,0.2074352502822876,0.19432567059993744,0.13419146835803986,0.055543091148138046,0.2438141256570816,0.21999873220920563,0.23976825177669525,0.18565869331359863,0.34043335914611816,0.17256353795528412
and,0.31309178471565247,0.3461615741252899,0.22261469066143036,0.06895173341035843,0.22579629719257355,0.24564869701862335,0.4077630043029785,0.4954058527946472,0.2653059959411621,0.20544172823429108
good,0.3916934132575989,0.33198118209838867,0.22020266950130463,0.09279277920722961,0.34688931703567505,0.2716095745563507,0.2569187879562378,0.2152448445558548,0.46130460500717163,0.3187684714794159
works,0.2418437898159027,0.3256840407848358,0.23916098475456238,0.04286740720272064,0.22785568237304688,0.21087993681430817,0.18736502528190613,0.2656683027744293,0.17393045127391815,0.19597402215003967
