,how,many,hymns,did,luther,write,based,on,the,ten,commandments,?
he,0.2594625651836395,0.3483840227127075,0.20989593863487244,0.3292143940925598,0.2454872578382492,0.2696007788181305,0.1603626310825348,0.32403138279914856,0.4571082592010498,0.21205320954322815,0.19484801590442657,0.2089974731206894
wrote,0.23136702179908752,0.283401757478714,0.448446661233902,0.3485160768032074,0.24184277653694153,0.6017370820045471,0.2618362307548523,0.23949672281742096,0.2426944375038147,0.2086162567138672,0.28790977597236633,0.19322504103183746
two,0.2499001920223236,0.5147606730461121,0.18504799902439117,0.2755576968193054,0.18037931621074677,0.21635955572128296,0.21177002787590027,0.3205535411834717,0.43858039379119873,0.5112890601158142,0.21973416209220886,0.19645625352859497
hymns,0.15583862364292145,0.268799364566803,1.0000001192092896,0.1506377011537552,0.30894896388053894,0.34182026982307434,0.12815019488334656,0.1558539718389511,0.1660911738872528,0.21578438580036163,0.44572097063064575,0.17695237696170807
on,0.32655060291290283,0.32520127296447754,0.1558539718389511,0.2670976221561432,0.19090485572814941,0.2189130336046219,0.36055147647857666,0.9999999403953552,0.5107308030128479,0.3009583055973053,0.26223358511924744,0.2714994251728058
the,0.33890387415885925,0.4335206151008606,0.1660911738872528,0.34736719727516174,0.1759674996137619,0.23380951583385468,0.29860720038414,0.5107308030128479,1.0,0.3256247341632843,0.3037950396537781,0.22068053483963013
ten,0.26821833848953247,0.340677946805954,0.21578438580036163,0.22550487518310547,0.15128806233406067,0.22511430084705353,0.17453491687774658,0.3009583055973053,0.3256247341632843,0.9999999403953552,0.4070856273174286,0.14471080899238586
commandments,0.3212631344795227,0.3083404004573822,0.44572097063064575,0.2503615617752075,0.2768189609050751,0.23648813366889954,0.2022603154182434,0.26223358511924744,0.3037950396537781,0.4070856273174286,1.0,0.25463607907295227
",",0.22659391164779663,0.40610817074775696,0.2567901313304901,0.3015086054801941,0.23255878686904907,0.24658997356891632,0.27976205945014954,0.49057599902153015,0.4933079481124878,0.23681947588920593,0.26035192608833313,0.31091248989105225
``,-0.01591024175286293,0.012824942357838154,0.05567716434597969,-0.029888948425650597,-0.013964727520942688,0.12880288064479828,-0.05678893253207207,-0.03274054825305939,0.029072100296616554,0.06299120932817459,0.07203581929206848,0.0685480609536171
