,what,was,the,result,of,the,disobedience,protesting,the,nuclear,site,?
at,0.2838611304759979,0.36707764863967896,0.457212895154953,0.177230566740036,0.42558613419532776,0.457212895154953,0.1749800592660904,0.2439677119255066,0.457212895154953,0.1934584230184555,0.27583423256874084,0.21978627145290375
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.2767398953437805,0.5052502155303955,0.5829201340675354,0.25352153182029724,0.2591511309146881,0.5829201340675354,0.20050431787967682,0.21085289120674133,0.23916715383529663
pre-arranged,0.27579379081726074,0.24330785870552063,0.3283517360687256,0.22633010149002075,0.3765663504600525,0.3283517360687256,0.3292106091976166,0.27120664715766907,0.3283517360687256,0.2312600463628769,0.053848303854465485,0.20747339725494385
announced,0.09249057620763779,0.34205326437950134,0.2277132272720337,0.1970823109149933,0.22339491546154022,0.2277132272720337,0.13616742193698883,0.2600405216217041,0.2277132272720337,0.20140981674194336,0.22385193407535553,0.17416009306907654
time,0.36319252848625183,0.3641340136528015,0.43061500787734985,0.27054765820503235,0.35127586126327515,0.43061500787734985,0.21126213669776917,0.18390341103076935,0.43061500787734985,0.17806901037693024,0.22203277051448822,0.27391523122787476
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.23341737687587738,0.4946078956127167,0.4933079481124878,0.2878543734550476,0.3004133105278015,0.4933079481124878,0.23752127587795258,0.2036259025335312,0.31091248989105225
one,0.376489520072937,0.3752199709415436,0.5514441132545471,0.2606547176837921,0.4999135136604309,0.5514441132545471,0.20541732013225555,0.2446364462375641,0.5514441132545471,0.20785637199878693,0.1953033059835434,0.2673267424106598
at,0.2838611304759979,0.36707764863967896,0.457212895154953,0.177230566740036,0.42558613419532776,0.457212895154953,0.1749800592660904,0.2439677119255066,0.457212895154953,0.1934584230184555,0.27583423256874084,0.21978627145290375
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.2767398953437805,0.5052502155303955,0.5829201340675354,0.25352153182029724,0.2591511309146881,0.5829201340675354,0.20050431787967682,0.21085289120674133,0.23916715383529663
time,0.36319252848625183,0.3641340136528015,0.43061500787734985,0.27054765820503235,0.35127586126327515,0.43061500787734985,0.21126213669776917,0.18390341103076935,0.43061500787734985,0.17806901037693024,0.22203277051448822,0.27391523122787476
they,0.4431931674480438,0.3300964832305908,0.49925389885902405,0.20959198474884033,0.3426007330417633,0.49925389885902405,0.3148254156112671,0.3305584192276001,0.49925389885902405,0.201315239071846,0.18765343725681305,0.2753053903579712
stepped,0.23179006576538086,0.34069979190826416,0.21326327323913574,0.10842932760715485,0.18398289382457733,0.21326327323913574,0.15442481637001038,0.2627471387386322,0.21326327323913574,0.13479582965373993,0.10402608662843704,0.17302168905735016
across,0.24809791147708893,0.20413610339164734,0.3816230297088623,0.1338723599910736,0.2936134934425354,0.3816230297088623,0.1508701741695404,0.2691084146499634,0.3816230297088623,0.1587216705083847,0.12341102957725525,0.17034576833248138
the,0.42745697498321533,0.48711544275283813,1.0,0.27778977155685425,0.733189046382904,1.0,0.30963727831840515,0.30172768235206604,1.0,0.23911187052726746,0.288954496383667,0.22068053483963013
``,0.008517155423760414,-0.012679691426455975,0.029072100296616554,0.13586843013763428,0.06780257821083069,0.029072100296616554,0.06214885041117668,0.04836064204573631,0.029072100296616554,-0.04986165836453438,-0.13355310261249542,0.0685480609536171
line,0.2245367169380188,0.1765366792678833,0.29789501428604126,0.17363005876541138,0.23765452206134796,0.29789501428604126,0.14623317122459412,0.10611476749181747,0.29789501428604126,0.14350183308124542,0.147632896900177,0.16271452605724335
'',0.08143015950918198,0.04456103965640068,0.041273195296525955,0.030314194038510323,0.13035868108272552,0.041273195296525955,0.003403886454179883,-0.10576131939888,0.041273195296525955,0.052731405943632126,-0.057915568351745605,0.018684765323996544
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.27436327934265137,0.5116966962814331,0.5171257257461548,0.3041999638080597,0.2742563486099243,0.5171257257461548,0.20250080525875092,0.19108152389526367,0.20544172823429108
were,0.22298263013362885,0.590133786201477,0.3906462490558624,0.21311920881271362,0.34038281440734863,0.3906462490558624,0.28859755396842957,0.3083820343017578,0.3906462490558624,0.1748192310333252,0.2008490264415741,0.17890112102031708
immediately,0.3574325740337372,0.28622254729270935,0.39876270294189453,0.27224788069725037,0.27121785283088684,0.39876270294189453,0.3349209427833557,0.2981679141521454,0.39876270294189453,0.16070081293582916,0.12203294038772583,0.21004259586334229
arrested,0.1624409258365631,0.3498801589012146,0.18817131221294403,0.09025361388921738,0.2085658311843872,0.18817131221294403,0.4290798604488373,0.5006895065307617,0.18817131221294403,0.1682383269071579,0.10450081527233124,0.15566205978393555
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.31092435121536255,0.5352458953857422,0.5934505462646484,0.2603943943977356,0.2967488765716553,0.5934505462646484,0.2137570083141327,0.22011229395866394,0.4130953550338745
,what,was,the,result,of,the,disobedience,protesting,the,nuclear,site,?
when,0.4700249433517456,0.37326499819755554,0.5091903209686279,0.32054403424263,0.3757161796092987,0.5091903209686279,0.2761690020561218,0.28598475456237793,0.5091903209686279,0.23526926338672638,0.15652912855148315,0.22841128706932068
the,0.42745697498321533,0.48711544275283813,1.0,0.27778977155685425,0.733189046382904,1.0,0.30963727831840515,0.30172768235206604,1.0,0.23911187052726746,0.288954496383667,0.22068053483963013
committee,0.18195343017578125,0.25449851155281067,0.24322165548801422,0.12444572895765305,0.2920650243759155,0.24322165548801422,0.27660366892814636,0.27913710474967957,0.24322165548801422,0.20869384706020355,0.25319159030914307,0.12144632637500763
for,0.3017193675041199,0.3863949179649353,0.4739971458911896,0.2445775717496872,0.4185989499092102,0.4739971458911896,0.23370130360126495,0.2588774561882019,0.4739971458911896,0.1918945014476776,0.26506415009498596,0.264628142118454
non-violent,0.25295090675354004,0.25566768646240234,0.294251412153244,0.23457904160022736,0.29068154096603394,0.294251412153244,0.48103633522987366,0.4461054503917694,0.294251412153244,0.29638734459877014,0.1646028310060501,0.21288378536701202
action,0.30170392990112305,0.17610664665699005,0.28415048122406006,0.17524254322052002,0.23570318520069122,0.28415048122406006,0.31685182452201843,0.18169209361076355,0.28415048122406006,0.15472157299518585,0.12618450820446014,0.250188946723938
sponsored,0.11231818050146103,0.26169130206108093,0.2539086937904358,0.11169568449258804,0.21318376064300537,0.2539086937904358,0.20933279395103455,0.32525286078453064,0.2539086937904358,0.18392448127269745,0.21141646802425385,0.12262218445539474
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.2767398953437805,0.5052502155303955,0.5829201340675354,0.25352153182029724,0.2591511309146881,0.5829201340675354,0.20050431787967682,0.21085289120674133,0.23916715383529663
protest,0.20248152315616608,0.274395227432251,0.25126034021377563,0.19383542239665985,0.24564224481582642,0.25126034021377563,0.5334797501564026,0.8452185988426208,0.25126034021377563,0.34669825434684753,0.13595819473266602,0.1878921240568161
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.25670310854911804,0.5696388483047485,0.6662389636039734,0.3054615259170532,0.32945486903190613,0.6662389636039734,0.2580479681491852,0.20704983174800873,0.20430970191955566
august,0.2305731326341629,0.42620858550071716,0.22689028084278107,0.1852651834487915,0.1712995171546936,0.22689028084278107,0.16296613216400146,0.21392513811588287,0.22689028084278107,0.1341497153043747,0.17576566338539124,0.3006744682788849
1957,-0.006660523824393749,-0.17015549540519714,-0.091727614402771,-0.1348572075366974,-0.03177386894822121,-0.091727614402771,-0.15266633033752441,-0.09551671147346497,-0.091727614402771,-0.0957251638174057,0.005700643174350262,-0.11977791041135788
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.23341737687587738,0.4946078956127167,0.4933079481124878,0.2878543734550476,0.3004133105278015,0.4933079481124878,0.23752127587795258,0.2036259025335312,0.31091248989105225
at,0.2838611304759979,0.36707764863967896,0.457212895154953,0.177230566740036,0.42558613419532776,0.457212895154953,0.1749800592660904,0.2439677119255066,0.457212895154953,0.1934584230184555,0.27583423256874084,0.21978627145290375
the,0.42745697498321533,0.48711544275283813,1.0,0.27778977155685425,0.733189046382904,1.0,0.30963727831840515,0.30172768235206604,1.0,0.23911187052726746,0.288954496383667,0.22068053483963013
camp,0.17394784092903137,0.22106777131557465,0.22520290315151215,0.15127511322498322,0.1889391541481018,0.22520290315151215,0.24189157783985138,0.22804678976535797,0.22520290315151215,0.12164945155382156,0.274162620306015,0.13359582424163818
mercury,0.15752404928207397,0.2121867835521698,0.2059478461742401,0.079851433634758,0.19711527228355408,0.2059478461742401,0.11381227523088455,0.10746036469936371,0.2059478461742401,0.1644245684146881,0.16178284585475922,0.10977116972208023
nuclear,0.23862333595752716,0.16506333649158478,0.23911187052726746,0.21763454377651215,0.2591283917427063,0.23911187052726746,0.26883620023727417,0.37374013662338257,0.23911187052726746,1.0000001192092896,0.19558307528495789,0.1865687519311905
test,0.2596650719642639,0.13941486179828644,0.19235259294509888,0.22168532013893127,0.164191335439682,0.19235259294509888,0.20443956553936005,0.25245779752731323,0.19235259294509888,0.30596083402633667,0.17509596049785614,0.19832737743854523
site,0.21561308205127716,0.24460934102535248,0.288954496383667,0.15215733647346497,0.24291633069515228,0.288954496383667,0.11523351818323135,0.17320451140403748,0.288954496383667,0.19558307528495789,1.0000001192092896,0.2014765441417694
near,0.19414293766021729,0.1933041363954544,0.2879819869995117,0.20692650973796844,0.2651676535606384,0.2879819869995117,0.10289318859577179,0.20634491741657257,0.2879819869995117,0.20345431566238403,0.24022218585014343,0.10734958201646805
las,0.09016381949186325,0.17434439063072205,0.1904275119304657,0.09807319939136505,0.17134152352809906,0.1904275119304657,0.11422811448574066,0.15872526168823242,0.1904275119304657,0.08271913975477219,0.15736401081085205,0.14319516718387604
vegas,0.1308882087469101,0.20325374603271484,0.17570072412490845,0.08375027030706406,0.13028457760810852,0.17570072412490845,0.11949899047613144,0.19945359230041504,0.17570072412490845,0.14005962014198303,0.16154195368289948,0.16835808753967285
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.23341737687587738,0.4946078956127167,0.4933079481124878,0.2878543734550476,0.3004133105278015,0.4933079481124878,0.23752127587795258,0.2036259025335312,0.31091248989105225
nevada,0.13643212616443634,0.20915456116199493,0.22916007041931152,0.13162711262702942,0.21896293759346008,0.22916007041931152,0.11204078793525696,0.2694820165634155,0.22916007041931152,0.2392682135105133,0.2633602023124695,0.14885103702545166
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.23341737687587738,0.4946078956127167,0.4933079481124878,0.2878543734550476,0.3004133105278015,0.4933079481124878,0.23752127587795258,0.2036259025335312,0.31091248989105225
13,-0.0796622633934021,0.020193999633193016,-0.007407139986753464,0.08702541142702103,0.019282439723610878,-0.007407139986753464,0.06192437931895256,0.014730370603501797,-0.007407139986753464,0.11292767524719238,0.004713316448032856,-0.11384815722703934
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.231380432844162,1.0,0.733189046382904,0.31932318210601807,0.31025201082229614,0.733189046382904,0.2591283917427063,0.24291633069515228,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,1.0,0.27778977155685425,0.733189046382904,1.0,0.30963727831840515,0.30172768235206604,1.0,0.23911187052726746,0.288954496383667,0.22068053483963013
protesters,0.16313575208187103,0.2658044397830963,0.2494657039642334,0.14803162217140198,0.2199576050043106,0.2494657039642334,0.4898046851158142,0.8245431780815125,0.2494657039642334,0.32622188329696655,0.13021895289421082,0.16273485124111176
attempted,0.16848506033420563,0.29312843084335327,0.2688039243221283,0.22740325331687927,0.2567136883735657,0.2688039243221283,0.31331881880760193,0.26339268684387207,0.2688039243221283,0.18709786236286163,0.11169307678937912,0.11123745888471603
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.23653174936771393,0.41548454761505127,0.535392165184021,0.30665844678878784,0.2454739362001419,0.535392165184021,0.21461482346057892,0.2310456782579422,0.29463258385658264
enter,0.2278345823287964,0.1587110310792923,0.3499310314655304,0.2314557284116745,0.23793351650238037,0.3499310314655304,0.22052277624607086,0.21217972040176392,0.3499310314655304,0.0918404832482338,0.1264147013425827,0.11047764122486115
the,0.42745697498321533,0.48711544275283813,1.0,0.27778977155685425,0.733189046382904,1.0,0.30963727831840515,0.30172768235206604,1.0,0.23911187052726746,0.288954496383667,0.22068053483963013
test,0.2596650719642639,0.13941486179828644,0.19235259294509888,0.22168532013893127,0.164191335439682,0.19235259294509888,0.20443956553936005,0.25245779752731323,0.19235259294509888,0.30596083402633667,0.17509596049785614,0.19832737743854523
site,0.21561308205127716,0.24460934102535248,0.288954496383667,0.15215733647346497,0.24291633069515228,0.288954496383667,0.11523351818323135,0.17320451140403748,0.288954496383667,0.19558307528495789,1.0000001192092896,0.2014765441417694
knowing,0.5129591822624207,0.22063079476356506,0.30492687225341797,0.23273679614067078,0.2829365134239197,0.30492687225341797,0.311983585357666,0.2643798291683197,0.30492687225341797,0.13349562883377075,0.15767644345760345,0.3560667932033539
that,0.6297725439071655,0.33670201897621155,0.5473989248275757,0.3031747341156006,0.41498205065727234,0.5473989248275757,0.3551425039768219,0.31985118985176086,0.5473989248275757,0.19523723423480988,0.19933675229549408,0.32716336846351624
they,0.4431931674480438,0.3300964832305908,0.49925389885902405,0.20959198474884033,0.3426007330417633,0.49925389885902405,0.3148254156112671,0.3305584192276001,0.49925389885902405,0.201315239071846,0.18765343725681305,0.2753053903579712
faced,0.1428881287574768,0.3024119436740875,0.29245710372924805,0.21156267821788788,0.2725057005882263,0.29245710372924805,0.23864339292049408,0.23979319632053375,0.29245710372924805,0.19579768180847168,0.13086290657520294,0.12312540411949158
arrest,0.19790410995483398,0.2724606692790985,0.20406219363212585,0.13149859011173248,0.21176666021347046,0.20406219363212585,0.39447519183158875,0.4315588176250458,0.20406219363212585,0.16151081025600433,0.10717836767435074,0.1830197125673294
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.31092435121536255,0.5352458953857422,0.5934505462646484,0.2603943943977356,0.2967488765716553,0.5934505462646484,0.2137570083141327,0.22011229395866394,0.4130953550338745
,what,was,the,result,of,the,disobedience,protesting,the,nuclear,site,?
they,0.4431931674480438,0.3300964832305908,0.49925389885902405,0.20959198474884033,0.3426007330417633,0.49925389885902405,0.3148254156112671,0.3305584192276001,0.49925389885902405,0.201315239071846,0.18765343725681305,0.2753053903579712
were,0.22298263013362885,0.590133786201477,0.3906462490558624,0.21311920881271362,0.34038281440734863,0.3906462490558624,0.28859755396842957,0.3083820343017578,0.3906462490558624,0.1748192310333252,0.2008490264415741,0.17890112102031708
put,0.3330543637275696,0.24684612452983856,0.34150463342666626,0.24438926577568054,0.3247257471084595,0.34150463342666626,0.2445174753665924,0.25117313861846924,0.34150463342666626,0.1435147523880005,0.21234701573848724,0.2993032932281494
on,0.34226128458976746,0.3909217119216919,0.5107308030128479,0.22479186952114105,0.3966929316520691,0.5107308030128479,0.2194652408361435,0.24460086226463318,0.5107308030128479,0.19012509286403656,0.24843932688236237,0.2714994251728058
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.2767398953437805,0.5052502155303955,0.5829201340675354,0.25352153182029724,0.2591511309146881,0.5829201340675354,0.20050431787967682,0.21085289120674133,0.23916715383529663
bus,0.17615832388401031,0.16818593442440033,0.19768238067626953,0.1458035260438919,0.15900543332099915,0.19768238067626953,0.17833656072616577,0.22908616065979004,0.19768238067626953,0.10651019215583801,0.14584428071975708,0.10113320499658585
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.27436327934265137,0.5116966962814331,0.5171257257461548,0.3041999638080597,0.2742563486099243,0.5171257257461548,0.20250080525875092,0.19108152389526367,0.20544172823429108
taken,0.26014965772628784,0.27550867199897766,0.3309854567050934,0.21659676730632782,0.2889742851257324,0.3309854567050934,0.20292720198631287,0.2738693058490753,0.3309854567050934,0.1350393295288086,0.1754334717988968,0.17662954330444336
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.23653174936771393,0.41548454761505127,0.535392165184021,0.30665844678878784,0.2454739362001419,0.535392165184021,0.21461482346057892,0.2310456782579422,0.29463258385658264
the,0.42745697498321533,0.48711544275283813,1.0,0.27778977155685425,0.733189046382904,1.0,0.30963727831840515,0.30172768235206604,1.0,0.23911187052726746,0.288954496383667,0.22068053483963013
nye,0.26233023405075073,0.241788849234581,0.2039688676595688,0.05155052989721298,0.18514157831668854,0.2039688676595688,0.23029105365276337,0.24144570529460907,0.2039688676595688,0.21660976111888885,0.11629974097013474,0.2658374607563019
county,0.16114220023155212,0.19700802862644196,0.21715226769447327,0.13813872635364532,0.2393190860748291,0.21715226769447327,0.19552916288375854,0.1640278846025467,0.21715226769447327,0.14445573091506958,0.15229560434818268,0.07680056244134903
seat,0.1103479340672493,0.2532924711704254,0.24530775845050812,0.14752279222011566,0.2283020317554474,0.24530775845050812,0.13851851224899292,0.13410066068172455,0.24530775845050812,0.09904150664806366,0.17140164971351624,0.06630133837461472
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.231380432844162,1.0,0.733189046382904,0.31932318210601807,0.31025201082229614,0.733189046382904,0.2591283917427063,0.24291633069515228,0.1826142966747284
tonopah,0.2649972438812256,0.1843053251504898,0.23528020083904266,0.2028556615114212,0.19536010921001434,0.23528020083904266,0.3407680094242096,0.28162962198257446,0.23528020083904266,0.21287751197814941,0.10160723328590393,0.2984897792339325
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.23341737687587738,0.4946078956127167,0.4933079481124878,0.2878543734550476,0.3004133105278015,0.4933079481124878,0.23752127587795258,0.2036259025335312,0.31091248989105225
nevada,0.13643212616443634,0.20915456116199493,0.22916007041931152,0.13162711262702942,0.21896293759346008,0.22916007041931152,0.11204078793525696,0.2694820165634155,0.22916007041931152,0.2392682135105133,0.2633602023124695,0.14885103702545166
