,what,caused,the,separation,of,the,methodists,in,the,american,colonies,?
though,0.4089210331439972,0.3072788119316101,0.38776206970214844,0.3223860263824463,0.37307101488113403,0.38776206970214844,0.275840699672699,0.3193182945251465,0.38776206970214844,0.2064286321401596,0.2503562569618225,0.3188856542110443
john,0.18237407505512238,0.10003715008497238,0.2230520099401474,0.15112243592739105,0.2407056987285614,0.2230520099401474,0.2546778619289398,0.22177861630916595,0.2230520099401474,0.30900317430496216,0.18395856022834778,0.13162356615066528
wesley,0.15380223095417023,0.1383007913827896,0.1425647884607315,0.1301746815443039,0.18802838027477264,0.1425647884607315,0.41978904604911804,0.14970102906227112,0.1425647884607315,0.30035799741744995,0.08887667953968048,0.1662333607673645
originally,0.2645323872566223,0.09796202182769775,0.36820849776268005,0.19754479825496674,0.21349623799324036,0.36820849776268005,0.2363930642604828,0.3191297650337219,0.36820849776268005,0.18924707174301147,0.19834361970424652,0.07821967452764511
wanted,0.3579951524734497,0.2654668390750885,0.3011050522327423,0.2435491979122162,0.28092440962791443,0.3011050522327423,0.26741135120391846,0.2556442320346832,0.3011050522327423,0.25954023003578186,0.25670918822288513,0.24342651665210724
the,0.42745697498321533,0.24990202486515045,1.0,0.3541176915168762,0.733189046382904,1.0,0.25832629203796387,0.6662389636039734,1.0,0.24562937021255493,0.30451729893684387,0.22068053483963013
methodists,0.2476986199617386,0.20544306933879852,0.25832629203796387,0.33438897132873535,0.3035426437854767,0.25832629203796387,1.0,0.24642148613929749,0.25832629203796387,0.24238646030426025,0.29903945326805115,0.1608453392982483
to,0.455847829580307,0.2414499819278717,0.535392165184021,0.2912817597389221,0.41548454761505127,0.535392165184021,0.27666956186294556,0.45010748505592346,0.535392165184021,0.16338081657886505,0.2835637629032135,0.29463258385658264
stay,0.30565327405929565,0.20526979863643646,0.2869375944137573,0.2573850452899933,0.20201723277568817,0.2869375944137573,0.2138383388519287,0.23382514715194702,0.2869375944137573,0.07947198301553726,0.22273683547973633,0.22141321003437042
within,0.2498195916414261,0.24631278216838837,0.39827480912208557,0.3166431784629822,0.39594778418540955,0.39827480912208557,0.2715011537075043,0.40576374530792236,0.39827480912208557,0.051192279905080795,0.25748732686042786,0.1870293766260147
the,0.42745697498321533,0.24990202486515045,1.0,0.3541176915168762,0.733189046382904,1.0,0.25832629203796387,0.6662389636039734,1.0,0.24562937021255493,0.30451729893684387,0.22068053483963013
church,0.1944202184677124,0.12579825520515442,0.23846197128295898,0.255332350730896,0.3079429268836975,0.23846197128295898,0.5860596895217896,0.2493300437927246,0.23846197128295898,0.11863381415605545,0.21760191023349762,0.18081501126289368
of,0.33290785551071167,0.29665443301200867,0.733189046382904,0.39037173986434937,1.0,0.733189046382904,0.3035426437854767,0.5696388483047485,0.733189046382904,0.22180068492889404,0.2890703082084656,0.1826142966747284
england,0.21399550139904022,0.13502338528633118,0.28280043601989746,0.19893497228622437,0.24624483287334442,0.28280043601989746,0.31331464648246765,0.33311840891838074,0.28280043601989746,0.2086387425661087,0.3046415150165558,0.13436897099018097
",",0.3087472915649414,0.2600580155849457,0.4933079481124878,0.2796529531478882,0.4946078956127167,0.4933079481124878,0.2727557420730591,0.5201468467712402,0.4933079481124878,0.3048616647720337,0.23384660482406616,0.31091248989105225
the,0.42745697498321533,0.24990202486515045,1.0,0.3541176915168762,0.733189046382904,1.0,0.25832629203796387,0.6662389636039734,1.0,0.24562937021255493,0.30451729893684387,0.22068053483963013
