,who,did,bskyb,compete,with,initially,?
key,0.10147488117218018,0.14891697466373444,0.19594372808933258,0.04572399705648422,0.17490454018115997,0.17102544009685516,0.18782930076122284
selling,0.19307442009449005,0.24011237919330597,0.1450648158788681,0.23578377068042755,0.2150118052959442,0.18617282807826996,0.13581715524196625
points,0.16272501647472382,0.2069225311279297,0.1855492740869522,0.23715238273143768,0.2832765281200409,0.13596153259277344,0.11006313562393188
were,0.3188014328479767,0.4162326455116272,0.13574530184268951,0.3143390119075775,0.3179011940956116,0.3423236906528473,0.17890112102031708
the,0.3733934462070465,0.34736719727516174,0.20915858447551727,0.28425246477127075,0.4223487675189972,0.2997018098831177,0.22068053483963013
improvement,0.1683027446269989,0.25637286901474,0.213899165391922,0.17157520353794098,0.2520376145839691,0.22863955795764923,0.29089033603668213
in,0.2792111933231354,0.2593238651752472,0.22606848180294037,0.2251034528017044,0.4080928862094879,0.2391221970319748,0.20430970191955566
picture,0.1816292554140091,0.20334172248840332,0.20135881006717682,0.10332364588975906,0.17992547154426575,0.06053594499826431,0.24607865512371063
and,0.41279885172843933,0.34479495882987976,0.2175528109073639,0.24350401759147644,0.5477725267410278,0.3013203740119934,0.20544172823429108
sound,0.1928756684064865,0.20087504386901855,0.18471156060695648,0.13964462280273438,0.16087709367275238,0.1441705822944641,0.1954098343849182
quality,0.1722307652235031,0.21685834228992462,0.08746002614498138,0.22473683953285217,0.25434571504592896,0.20570628345012665,0.23524069786071777
",",0.3365725874900818,0.3015086054801941,0.2852807641029358,0.23752278089523315,0.4120737314224243,0.23403345048427582,0.31091248989105225
increased,0.16127434372901917,0.20765343308448792,0.12646733224391937,0.16450607776641846,0.2477453649044037,0.31386029720306396,0.09587585180997849
number,0.21304799616336823,0.19046731293201447,0.16110524535179138,0.14057685434818268,0.2513769268989563,0.15711985528469086,0.19256845116615295
of,0.2827862501144409,0.2513895630836487,0.16413870453834534,0.24771372973918915,0.41827285289764404,0.21367986500263214,0.1826142966747284
channels,0.13797876238822937,0.0628243163228035,0.1449941098690033,0.13580060005187988,0.1873491257429123,0.216910257935524,0.19657258689403534
