,what,recent,decade,saw,brightening,of,the,perception,of,genghis,khan,in,mongolia,?
in,0.30808621644973755,0.2857761085033417,0.2119923084974289,0.24892163276672363,0.19828513264656067,0.5696388483047485,0.6662389636039734,0.21692068874835968,0.5696388483047485,0.224680557847023,0.1527150720357895,1.0,0.22565330564975739,0.20430970191955566
the,0.42745697498321533,0.31046223640441895,0.2552448511123657,0.318278044462204,0.2609405517578125,0.733189046382904,1.0,0.2696559429168701,0.733189046382904,0.3448939025402069,0.21067845821380615,0.6662389636039734,0.26887956261634827,0.22068053483963013
early,0.2454567849636078,0.3513147234916687,0.24078704416751862,0.251946359872818,0.3270236551761627,0.30937549471855164,0.34442198276519775,0.18738998472690582,0.30937549471855164,0.28915494680404663,0.18470795452594757,0.34672921895980835,0.21871715784072876,0.15272949635982513
1990s,0.05660831928253174,-0.06405747681856155,-0.07694884389638901,0.022497523576021194,-0.13342010974884033,-0.1590232104063034,-0.09473290294408798,-0.05189160257577896,-0.1590232104063034,0.027531743049621582,0.1013425812125206,-0.1172933429479599,-0.03206726163625717,0.11282819509506226
the,0.42745697498321533,0.31046223640441895,0.2552448511123657,0.318278044462204,0.2609405517578125,0.733189046382904,1.0,0.2696559429168701,0.733189046382904,0.3448939025402069,0.21067845821380615,0.6662389636039734,0.26887956261634827,0.22068053483963013
memory,0.20690667629241943,0.20979757606983185,0.14016544818878174,0.1298685222864151,0.2785397171974182,0.17919406294822693,0.1785092055797577,0.33969929814338684,0.17919406294822693,0.08634961396455765,0.06910277158021927,0.2039261907339096,0.1464480310678482,0.1397676020860672
of,0.33290785551071167,0.2896444797515869,0.15614621341228485,0.28204935789108276,0.24242720007896423,1.0,0.733189046382904,0.28601542115211487,1.0,0.2938849925994873,0.17124508321285248,0.5696388483047485,0.24969549477100372,0.1826142966747284
genghis,0.24369274079799652,0.16755834221839905,0.17009301483631134,0.16285446286201477,0.20551830530166626,0.2938849925994873,0.3448939025402069,0.14070633053779602,0.2938849925994873,1.0,0.5896923542022705,0.224680557847023,0.4294305145740509,0.18813461065292358
khan,0.16476042568683624,0.1676541268825531,0.11113002151250839,0.07976312190294266,0.0882546678185463,0.17124508321285248,0.21067845821380615,0.07928454130887985,0.17124508321285248,0.5896923542022705,1.0,0.1527150720357895,0.37883228063583374,0.12862591445446014
with,0.2464839518070221,0.2035779356956482,0.17215004563331604,0.2560844421386719,0.19850245118141174,0.41827285289764404,0.4223487675189972,0.2491716593503952,0.41827285289764404,0.18149495124816895,0.12498863786458969,0.4080928862094879,0.20320406556129456,0.2433311939239502
the,0.42745697498321533,0.31046223640441895,0.2552448511123657,0.318278044462204,0.2609405517578125,0.733189046382904,1.0,0.2696559429168701,0.733189046382904,0.3448939025402069,0.21067845821380615,0.6662389636039734,0.26887956261634827,0.22068053483963013
mongolian,0.15557456016540527,0.17610709369182587,0.13959604501724243,0.10041087120771408,0.12704883515834808,0.22608324885368347,0.2657795250415802,0.10993235558271408,0.22608324885368347,0.463535338640213,0.4463278353214264,0.1663515418767929,0.875663697719574,0.13122369349002838
national,0.16882304847240448,0.1478641778230667,0.19807201623916626,0.07833465933799744,0.1387568712234497,0.3314673602581024,0.32739606499671936,0.08941040933132172,0.3314673602581024,0.14723339676856995,0.09047383815050125,0.28915393352508545,0.27295050024986267,0.15643028914928436
identity,0.24968291819095612,0.19014498591423035,0.2152867317199707,0.1492902636528015,0.24838636815547943,0.14822673797607422,0.22824928164482117,0.2842296361923218,0.14822673797607422,0.1218135803937912,0.13910876214504242,0.19517956674098969,0.153391495347023,0.1520950198173523
has,0.20338068902492523,0.3722807466983795,0.20074307918548584,0.21533991396427155,0.18092119693756104,0.3909035325050354,0.4177538752555847,0.19205421209335327,0.3909035325050354,0.1842109113931656,0.14842554926872253,0.4173259735107422,0.2049003392457962,0.15994466841220856
had,0.23849567770957947,0.3217255771160126,0.238636776804924,0.4690132439136505,0.1725917011499405,0.37755560874938965,0.3875846862792969,0.19180606305599213,0.37755560874938965,0.2616504430770874,0.1740240752696991,0.385026752948761,0.1835673451423645,0.20728366076946259
a,0.3320399522781372,0.2685950994491577,0.17141307890415192,0.2244260609149933,0.26682204008102417,0.5052502155303955,0.5829201340675354,0.22886209189891815,0.5052502155303955,0.194350928068161,0.1743650734424591,0.539380669593811,0.17644062638282776,0.23916715383529663
powerful,0.20215895771980286,0.18605966866016388,0.1005115658044815,0.19905036687850952,0.25287845730781555,0.2867213189601898,0.3115491271018982,0.1391201615333557,0.2867213189601898,0.32227399945259094,0.16561688482761383,0.17873525619506836,0.1329270601272583,0.12160622328519821
revival,0.17674529552459717,0.19810213148593903,0.1888759285211563,0.15013335645198822,0.27126750349998474,0.2109367549419403,0.30452626943588257,0.22023457288742065,0.2109367549419403,0.19162146747112274,0.13157662749290466,0.2631177604198456,0.13971690833568573,0.09967152029275894
partly,0.2688411772251129,0.17580628395080566,0.10162065923213959,0.16037458181381226,0.24025022983551025,0.28944599628448486,0.30254924297332764,0.3253023028373718,0.28944599628448486,0.14060808718204498,0.03204130753874779,0.261019229888916,0.13267414271831512,0.12213768810033798
because,0.46729007363319397,0.3012041747570038,0.2093094140291214,0.3419121503829956,0.3208558261394501,0.4075504541397095,0.44596394896507263,0.31909358501434326,0.4075504541397095,0.192069411277771,0.14214344322681427,0.37423941493034363,0.19569650292396545,0.2528740465641022
of,0.33290785551071167,0.2896444797515869,0.15614621341228485,0.28204935789108276,0.24242720007896423,1.0,0.733189046382904,0.28601542115211487,1.0,0.2938849925994873,0.17124508321285248,0.5696388483047485,0.24969549477100372,0.1826142966747284
his,0.26976513862609863,0.2371923178434372,0.18947188556194305,0.282370001077652,0.21948076784610748,0.38364991545677185,0.4394008219242096,0.22311049699783325,0.38364991545677185,0.3744826912879944,0.26570460200309753,0.3598145842552185,0.11397407203912735,0.18075084686279297
perception,0.34251677989959717,0.24556323885917664,0.16819700598716736,0.21008749306201935,0.43368294835090637,0.28601542115211487,0.2696559429168701,1.0,0.28601542115211487,0.14070633053779602,0.07928454130887985,0.21692068874835968,0.09373670071363449,0.1807376742362976
