,how,many,of,the,remaining,launches,were,successful,?
budget,0.20068088173866272,0.14717645943164825,0.19846364855766296,0.22188150882720947,0.17486701905727386,0.21098029613494873,0.1529514193534851,0.2184651494026184,0.14098747074604034
cuts,0.24370871484279633,0.22550538182258606,0.22674372792243958,0.2583007514476776,0.1187797263264656,0.1523410677909851,0.14789170026779175,0.1761314421892166,0.10833697766065598
forced,0.23831938207149506,0.2377408891916275,0.27082350850105286,0.2571122944355011,0.35384923219680786,0.24734467267990112,0.2805345952510834,0.1220870316028595,0.17547516524791718
the,0.33890387415885925,0.4335206151008606,0.733189046382904,1.0,0.45105910301208496,0.26606911420822144,0.3906462490558624,0.31354787945747375,0.22068053483963013
cancellation,0.22374019026756287,0.228904590010643,0.2086039036512375,0.31099793314933777,0.24180394411087036,0.28965333104133606,0.2078196108341217,0.263034850358963,0.1732192039489746
of,0.2480744868516922,0.37253960967063904,1.0,0.733189046382904,0.3693024218082428,0.22261865437030792,0.34038281440734863,0.2304827868938446,0.1826142966747284
three,0.23807744681835175,0.4501400589942932,0.3844621181488037,0.43452659249305725,0.3728506565093994,0.14173732697963715,0.38429051637649536,0.22171202301979065,0.20928427577018738
of,0.2480744868516922,0.37253960967063904,1.0,0.733189046382904,0.3693024218082428,0.22261865437030792,0.34038281440734863,0.2304827868938446,0.1826142966747284
these,0.41104358434677124,0.7077717185020447,0.42684608697891235,0.49086877703666687,0.3599858283996582,0.17994773387908936,0.587685227394104,0.2239314466714859,0.2571668326854706
.,0.3287222981452942,0.3974229395389557,0.5352458953857422,0.5934505462646484,0.27891913056373596,0.19127623736858368,0.3378238379955292,0.361310213804245,0.4130953550338745
,how,many,of,the,remaining,launches,were,successful,?
five,0.20553050935268402,0.41084155440330505,0.3980514109134674,0.41977158188819885,0.3639843761920929,0.16522885859012604,0.37460240721702576,0.21556144952774048,0.18342848122119904
of,0.2480744868516922,0.37253960967063904,1.0,0.733189046382904,0.3693024218082428,0.22261865437030792,0.34038281440734863,0.2304827868938446,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.733189046382904,1.0,0.45105910301208496,0.26606911420822144,0.3906462490558624,0.31354787945747375,0.22068053483963013
remaining,0.1792374700307846,0.27315303683280945,0.3693024218082428,0.45105910301208496,1.0,0.17362381517887115,0.3991833031177521,0.1969275176525116,0.16961920261383057
six,0.20644865930080414,0.37673795223236084,0.3317931592464447,0.3614266812801361,0.344409704208374,0.20181965827941895,0.3701136112213135,0.24315737187862396,0.15298804640769958
missions,0.20489740371704102,0.3181447684764862,0.2598918080329895,0.26288601756095886,0.17663581669330597,0.4968336522579193,0.30557745695114136,0.21019022166728973,0.21422071754932404
achieved,0.15523116290569305,0.24349969625473022,0.2701522707939148,0.2821090817451477,0.21751955151557922,0.17559708654880524,0.21083861589431763,0.3695140779018402,0.17008265852928162
successful,0.17852677404880524,0.28810474276542664,0.2304827868938446,0.31354787945747375,0.1969275176525116,0.3051812946796417,0.24574939906597137,1.0,0.1132197454571724
landings,0.14376729726791382,0.20674660801887512,0.2141752690076828,0.26410871744155884,0.26706168055534363,0.42146459221839905,0.25770819187164307,0.23300571739673615,0.09511345624923706
",",0.22659391164779663,0.40610817074775696,0.4946078956127167,0.4933079481124878,0.2946331799030304,0.18217921257019043,0.36755475401878357,0.28826844692230225,0.31091248989105225
but,0.43101516366004944,0.46599987149238586,0.39942997694015503,0.4859698414802551,0.4204164445400238,0.15901517868041992,0.38291117548942566,0.2666237950325012,0.27921953797340393
the,0.33890387415885925,0.4335206151008606,0.733189046382904,1.0,0.45105910301208496,0.26606911420822144,0.3906462490558624,0.31354787945747375,0.22068053483963013
apollo,0.13699254393577576,0.13721908628940582,0.1786269098520279,0.2169172167778015,0.1146380603313446,0.3553328514099121,0.183358833193779,0.22294922173023224,0.191528782248497
13,-0.02601788192987442,0.04598686099052429,0.019282439723610878,-0.007407139986753464,-0.007446847856044769,0.003162092063575983,-0.020879270508885384,0.02515326254069805,-0.11384815722703934
landing,0.09343604743480682,0.1812470257282257,0.22376328706741333,0.24055521190166473,0.24287644028663635,0.43942850828170776,0.20515987277030945,0.21590983867645264,0.11133739352226257
was,0.16678167879581451,0.260356068611145,0.4069072902202606,0.48711544275283813,0.27740269899368286,0.2099534422159195,0.590133786201477,0.3046294152736664,0.18412111699581146
prevented,0.26693618297576904,0.29875534772872925,0.296178936958313,0.3256615996360779,0.32279306650161743,0.22372213006019592,0.29961344599723816,0.17281903326511383,0.21836411952972412
by,0.34370526671409607,0.3409687578678131,0.3646814823150635,0.4408751428127289,0.23750489950180054,0.16594932973384857,0.4406847059726715,0.1869579404592514,0.17966607213020325
an,0.2520636022090912,0.2465583086013794,0.32280945777893066,0.4207492768764496,0.13080903887748718,0.16293294727802277,0.08893381804227829,0.2901456952095032,0.19793890416622162
oxygen,0.21928748488426208,0.21045979857444763,0.16848602890968323,0.20428593456745148,0.22322045266628265,0.18464946746826172,0.15995736420154572,0.2283477932214737,0.16786395013332367
tank,0.08982845395803452,0.16455239057540894,0.2132720649242401,0.28027960658073425,0.2599797546863556,0.3068322241306305,0.21705645322799683,0.14444568753242493,0.09334904700517654
