,what,happened,in,1901,?
in,0.30808621644973755,0.3302023410797119,1.0,-0.01662074401974678,0.20430970191955566
december,0.19304980337619781,0.267941951751709,0.25854936242103577,0.005056601949036121,0.2480352818965912
1901,-0.07605163753032684,-0.0171315036714077,-0.01662074401974678,1.0000001192092896,-0.041070252656936646
",",0.3087472915649414,0.3230119049549103,0.5201468467712402,0.02599540539085865,0.31091248989105225
marconi,0.14023901522159576,0.13936205208301544,0.16926077008247375,0.0015658617485314608,0.09038416296243668
successfully,0.20084762573242188,0.1756518930196762,0.2983573377132416,-0.07531480491161346,0.0971045047044754
transmitted,0.1978447586297989,0.13076548278331757,0.1705920398235321,0.051059603691101074,0.15801244974136353
the,0.42745697498321533,0.3589572608470917,0.6662389636039734,0.01573479175567627,0.22068053483963013
letter,0.18726862967014313,0.11666753888130188,0.184263214468956,-0.08105673640966415,0.14808706939220428
s,0.3634900748729706,0.23608343303203583,0.3340029716491699,0.01658743992447853,0.25130221247673035
from,0.2737620174884796,0.21165096759796143,0.4274188280105591,0.07685615122318268,0.19969791173934937
england,0.21399550139904022,0.22142161428928375,0.33311840891838074,0.048368923366069794,0.13436897099018097
to,0.455847829580307,0.2299996316432953,0.45010748505592346,-0.024875154718756676,0.29463258385658264
newfoundland,0.19349335134029388,0.23986007273197174,0.20314879715442657,-0.04619542136788368,0.12898945808410645
",",0.3087472915649414,0.3230119049549103,0.5201468467712402,0.02599540539085865,0.31091248989105225
terminating,0.24104955792427063,0.19941161572933197,0.24917744100093842,-0.04714992269873619,0.14861193299293518
tesla,0.23221199214458466,0.11394373327493668,0.17097744345664978,0.013134386390447617,0.10250775516033173
's,0.02692362666130066,-0.012165569700300694,-0.037580832839012146,0.09739921987056732,-0.023395681753754616
relationship,0.24358563125133514,0.22324524819850922,0.20233847200870514,-0.07171150296926498,0.11361731588840485
with,0.2464839518070221,0.1670946180820465,0.4080928862094879,-0.09958472847938538,0.2433311939239502
morgan,0.12385152280330658,0.11843802034854889,0.1914260983467102,-0.003501254366710782,0.09039338678121567
.,0.3567904531955719,0.29012542963027954,0.5591574311256409,0.004086941480636597,0.4130953550338745
