,what,radio,station,is,located,at,103.5fm,on,the,dial,in,denver,?
in,0.30808621644973755,0.22625693678855896,0.21784305572509766,0.5394441485404968,0.35149815678596497,0.4374977946281433,-0.05948103591799736,0.46853652596473694,0.6662389636039734,0.22036170959472656,1.0,0.2221570909023285,0.20430970191955566
denver,0.1275133192539215,0.18599461019039154,0.1971181184053421,0.14918014407157898,0.13928161561489105,0.18947194516658783,0.02829800918698311,0.1561855524778366,0.2052404284477234,0.17550763487815857,0.2221570909023285,1.0,0.1520889848470688
",",0.3087472915649414,0.25251123309135437,0.2482491284608841,0.4691906273365021,0.2678719460964203,0.38314947485923767,0.05745328590273857,0.49057599902153015,0.4933079481124878,0.12829570472240448,0.5201468467712402,0.25173696875572205,0.31091248989105225
koa,0.17689424753189087,0.10345469415187836,0.13286900520324707,0.19015094637870789,0.16525156795978546,0.1786617487668991,0.1505100131034851,0.17749689519405365,0.1781366765499115,0.10258033126592636,0.13041676580905914,0.107217937707901,0.1694706827402115
(,0.2411840260028839,0.22948305308818817,0.15589678287506104,0.35393038392066956,0.21025894582271576,0.23315078020095825,0.06636223196983337,0.28656116127967834,0.33289089798927307,0.12430841475725174,0.3087427020072937,0.23238550126552582,0.40561532974243164
850,0.17409735918045044,0.061674583703279495,0.05228853225708008,0.01805681176483631,0.06354861706495285,0.07711374759674072,0.0632980689406395,0.08255124092102051,0.10638400912284851,0.1327960044145584,0.13669835031032562,0.057951733469963074,0.09615745395421982
am,0.25965139269828796,0.2271493375301361,0.16691645979881287,0.2976684868335724,0.12798026204109192,0.24745427072048187,0.16123199462890625,0.30180373787879944,0.18601742386817932,0.16874882578849792,0.16754312813282013,0.11767572909593582,0.3437723219394684
),0.26259949803352356,0.21417279541492462,0.16818374395370483,0.37732169032096863,0.19755883514881134,0.23338089883327484,0.06339282542467117,0.29937487840652466,0.3456730246543884,0.15408895909786224,0.3326910734176636,0.2208423912525177,0.42300865054130554
and,0.31309178471565247,0.2658638060092926,0.19091129302978516,0.3859752118587494,0.24183952808380127,0.3571503460407257,0.05994120612740517,0.4077630043029785,0.5171257257461548,0.1801082193851471,0.4954058527946472,0.20625516772270203,0.20544172823429108
krfx,0.18891382217407227,0.28945618867874146,0.26804596185684204,0.23784558475017548,0.20635755360126495,0.22825293242931366,0.1924864798784256,0.2567254900932312,0.2546996474266052,0.18452733755111694,0.2803616523742676,0.2759806215763092,0.29467079043388367
(,0.2411840260028839,0.22948305308818817,0.15589678287506104,0.35393038392066956,0.21025894582271576,0.23315078020095825,0.06636223196983337,0.28656116127967834,0.33289089798927307,0.12430841475725174,0.3087427020072937,0.23238550126552582,0.40561532974243164
103.5,0.0471857450902462,-0.08593279123306274,-0.09194245934486389,-0.07851748168468475,-0.05510581284761429,-0.08247663080692291,0.0077309138141572475,-0.1598096489906311,-0.059553276747465134,0.005032437387853861,-0.14234763383865356,-0.10810257494449615,-0.11392628401517868
fm,0.12007185071706772,0.5416761040687561,0.39660394191741943,0.13060927391052246,0.19831176102161407,0.2202756255865097,0.42991432547569275,0.1838369071483612,0.1839628368616104,0.16388258337974548,0.1521582156419754,0.1659637689590454,0.1004299446940422
),0.26259949803352356,0.21417279541492462,0.16818374395370483,0.37732169032096863,0.19755883514881134,0.23338089883327484,0.06339282542467117,0.29937487840652466,0.3456730246543884,0.15408895909786224,0.3326910734176636,0.2208423912525177,0.42300865054130554
will,0.3510494530200958,0.14596246182918549,0.1797148883342743,0.3723262846469879,0.12029515206813812,0.26192525029182434,0.09803846478462219,0.3240351676940918,0.3635469079017639,0.17029573023319244,0.2580665349960327,0.17842401564121246,0.35046905279159546
carry,0.22239743173122406,0.18107746541500092,0.21776524186134338,0.1959557831287384,0.10988832265138626,0.12196363508701324,0.07602193206548691,0.22389066219329834,0.26752355694770813,0.22166012227535248,0.19860897958278656,0.17884160578250885,0.17171701788902283
the,0.42745697498321533,0.23511973023414612,0.23609806597232819,0.5823672413825989,0.407527357339859,0.457212895154953,-0.06210919842123985,0.5107308030128479,1.0,0.245383158326149,0.6662389636039734,0.2052404284477234,0.22068053483963013
game,0.2246788740158081,0.22439733147621155,0.20115497708320618,0.21222543716430664,0.06946636736392975,0.18453927338123322,0.14545157551765442,0.22967135906219482,0.285271555185318,0.20323362946510315,0.23986028134822845,0.18653830885887146,0.1829071193933487
",",0.3087472915649414,0.25251123309135437,0.2482491284608841,0.4691906273365021,0.2678719460964203,0.38314947485923767,0.05745328590273857,0.49057599902153015,0.4933079481124878,0.12829570472240448,0.5201468467712402,0.25173696875572205,0.31091248989105225
