,colonies,were,a,sign,of,what,amongst,european,countries,?
[,0.021199887618422508,0.039956651628017426,0.03893941268324852,0.09310796856880188,0.010817250236868858,0.010752761736512184,0.07487713545560837,0.09159127622842789,0.14278030395507812,0.011015460826456547
verification,0.14388038218021393,0.1330685168504715,0.26120680570602417,0.18987219035625458,0.20014625787734985,0.35388150811195374,0.20684561133384705,0.18191108107566833,0.13925392925739288,0.41242319345474243
needed,0.21578827500343323,0.2625837028026581,0.2915569543838501,0.18165703117847443,0.27215874195098877,0.3631289601325989,0.17410869896411896,0.1629386991262436,0.20794127881526947,0.2863257825374603
],-0.009109367616474628,-0.03362284600734711,-0.049516137689352036,-0.05637391284108162,-0.035044461488723755,-0.03775298595428467,0.059730641543865204,0.02098952792584896,-0.05285241827368736,-0.0022520492784678936
bismarck,0.2041803002357483,0.20305387675762177,0.19426235556602478,-0.020525667816400528,0.29108160734176636,0.1867537647485733,0.1867513209581375,0.16142484545707703,0.24633580446243286,0.1326347440481186
was,0.21739500761032104,0.590133786201477,0.4508470594882965,0.10542256385087967,0.4069072902202606,0.22111038863658905,0.15412168204784393,0.22463937103748322,0.24139733612537384,0.18412111699581146
aware,0.1755787432193756,0.25059157609939575,0.2506013810634613,0.20215971767902374,0.24307499825954437,0.4334154725074768,0.2722499668598175,0.14655177295207977,0.16363301873207092,0.2840334475040436
that,0.21322624385356903,0.35517072677612305,0.47537946701049805,0.26780781149864197,0.41498205065727234,0.6297725439071655,0.3011114001274109,0.2049320936203003,0.31063947081565857,0.32716336846351624
public,0.16029855608940125,0.16988693177700043,0.19607044756412506,0.15239059925079346,0.2391265481710434,0.1729622185230255,0.14406903088092804,0.1656303107738495,0.2709273099899292,0.19872993230819702
opinion,0.17224642634391785,0.2285766303539276,0.270957887172699,0.18406037986278534,0.20495454967021942,0.41087794303894043,0.24851694703102112,0.1924358457326889,0.20773941278457642,0.38472914695739746
had,0.2382207065820694,0.6150832772254944,0.34897568821907043,0.18895873427391052,0.37755560874938965,0.23849567770957947,0.2411523312330246,0.2071351706981659,0.2774714231491089,0.20728366076946259
started,0.1528392732143402,0.3347722291946411,0.29961374402046204,0.18776831030845642,0.22928385436534882,0.21609699726104736,0.13436482846736908,0.2258993685245514,0.22842064499855042,0.19447724521160126
to,0.2835637629032135,0.31913647055625916,0.45503583550453186,0.25379011034965515,0.41548454761505127,0.455847829580307,0.2415056824684143,0.21011990308761597,0.3111797273159027,0.29463258385658264
demand,0.17700986564159393,0.18873341381549835,0.2180943340063095,0.1796974539756775,0.2345065176486969,0.2007312774658203,0.17694906890392303,0.13068409264087677,0.307096391916275,0.13359291851520538
colonies,1.0,0.32270577549934387,0.20623989403247833,0.09978500753641129,0.2890703082084656,0.20822033286094666,0.22206057608127594,0.2748645544052124,0.42132991552352905,0.07886616140604019
for,0.19675298035144806,0.33592689037323,0.44038116931915283,0.20212827622890472,0.4185989499092102,0.3017193675041199,0.2812219262123108,0.2838500738143921,0.299202024936676,0.264628142118454
reasons,0.21563218533992767,0.29966098070144653,0.29420214891433716,0.19337098300457,0.28044363856315613,0.3640104830265045,0.2573517858982086,0.20363231003284454,0.3308649957180023,0.248102068901062
of,0.2890703082084656,0.34038281440734863,0.5052502155303955,0.201818585395813,1.0,0.33290785551071167,0.29788947105407715,0.2507138252258301,0.2800094783306122,0.1826142966747284
german,0.1303519457578659,0.21041691303253174,0.23789440095424652,0.10651679337024689,0.2122138887643814,0.1960553526878357,0.17793725430965424,0.28448235988616943,0.2556065618991852,0.13978645205497742
prestige,0.20186686515808105,0.16714434325695038,0.17336396872997284,0.06226760521531105,0.19719675183296204,0.12985387444496155,0.30414703488349915,0.23895423114299774,0.1887107491493225,0.10047686100006104
.,0.27309566736221313,0.3378238379955292,0.50484299659729,0.25322678685188293,0.5352458953857422,0.3567904531955719,0.24300502240657806,0.2095622420310974,0.27938392758369446,0.4130953550338745
