,what,kind,of,disorders,occur,when,part,of,the,immune,system,is,n't,active,?
immunodeficiencies,0.2602003216743469,0.27114734053611755,0.24343223869800568,0.5631034970283508,0.4065108299255371,0.29838478565216064,0.17563502490520477,0.24343223869800568,0.26293301582336426,0.707856297492981,0.4071617126464844,0.2548711597919464,0.009193724021315575,0.2619606554508209,0.2416703701019287
occur,0.2129514068365097,0.29181501269340515,0.24223870038986206,0.29357123374938965,1.0,0.2505786716938019,0.19655542075634003,0.24223870038986206,0.26611819863319397,0.28991711139678955,0.2386063188314438,0.24761207401752472,-0.007911017164587975,0.2133788913488388,0.17999543249607086
when,0.4700249433517456,0.23813094198703766,0.3757161796092987,0.23144584894180298,0.2505786716938019,0.9999999403953552,0.35435768961906433,0.3757161796092987,0.5091903209686279,0.2670612335205078,0.27706024050712585,0.3471449911594391,-0.12935540080070496,0.2615574598312378,0.22841128706932068
one,0.376489520072937,0.3653089106082916,0.4999135136604309,0.20248229801654816,0.2851044833660126,0.38307374715805054,0.38682618737220764,0.4999135136604309,0.5514441132545471,0.18161426484584808,0.2139107882976532,0.4544198513031006,-0.10062701255083084,0.27078112959861755,0.2673267424106598
or,0.33867141604423523,0.4102349579334259,0.3792596757411957,0.2930621802806854,0.394203245639801,0.417120099067688,0.28093159198760986,0.3792596757411957,0.4174870550632477,0.26729732751846313,0.32710888981819153,0.41870999336242676,-0.056045327335596085,0.1998855471611023,0.32389625906944275
more,0.3484537899494171,0.30637308955192566,0.30478984117507935,0.2832354009151459,0.2921336889266968,0.359977662563324,0.2521849572658539,0.30478984117507935,0.39758381247520447,0.2423422783613205,0.24080024659633636,0.2946030795574188,-0.07450203597545624,0.28202614188194275,0.27894994616508484
of,0.33290785551071167,0.2285657674074173,1.0,0.2104933112859726,0.24223870038986206,0.3757161796092987,0.452393114566803,1.0,0.733189046382904,0.16620753705501556,0.25597915053367615,0.4854315221309662,-0.021397603675723076,0.23132829368114471,0.1826142966747284
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.23239798843860626,0.26611819863319397,0.5091903209686279,0.527681291103363,0.733189046382904,1.0,0.21364226937294006,0.3233085572719574,0.5823672413825989,-0.11449059844017029,0.2376219779253006,0.22068053483963013
components,0.20314843952655792,0.29044803977012634,0.28973057866096497,0.2457936555147171,0.24865016341209412,0.2153128981590271,0.30408889055252075,0.28973057866096497,0.30344057083129883,0.2999272644519806,0.33694854378700256,0.2754068970680237,-0.08467890322208405,0.23366369307041168,0.12744711339473724
of,0.33290785551071167,0.2285657674074173,1.0,0.2104933112859726,0.24223870038986206,0.3757161796092987,0.452393114566803,1.0,0.733189046382904,0.16620753705501556,0.25597915053367615,0.4854315221309662,-0.021397603675723076,0.23132829368114471,0.1826142966747284
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.23239798843860626,0.26611819863319397,0.5091903209686279,0.527681291103363,0.733189046382904,1.0,0.21364226937294006,0.3233085572719574,0.5823672413825989,-0.11449059844017029,0.2376219779253006,0.22068053483963013
immune,0.2410416603088379,0.2694495916366577,0.16620753705501556,0.3924263119697571,0.28991711139678955,0.2670612335205078,0.165080264210701,0.16620753705501556,0.21364226937294006,1.0,0.3962631821632385,0.2092347890138626,0.012366925366222858,0.20743826031684875,0.16080476343631744
system,0.23557309806346893,0.22309651970863342,0.25597915053367615,0.2879990339279175,0.2386063188314438,0.27706024050712585,0.2814725935459137,0.25597915053367615,0.3233085572719574,0.3962631821632385,1.0000001192092896,0.2282046526670456,-0.0648522898554802,0.20806671679019928,0.15556083619594574
are,0.29724663496017456,0.296465665102005,0.39081433415412903,0.2665407061576843,0.3900270164012909,0.29873907566070557,0.3086032569408417,0.39081433415412903,0.40399202704429626,0.23878547549247742,0.21917270123958588,0.5330929756164551,-0.1517762839794159,0.3039647042751312,0.24591213464736938
inactive,0.290734201669693,0.13513964414596558,0.21608267724514008,0.18777526915073395,0.21552620828151703,0.29569628834724426,0.18342316150665283,0.21608267724514008,0.2152579128742218,0.2689417600631714,0.23014238476753235,0.15365438163280487,0.01889440231025219,0.6807448267936707,0.29285570979118347
.,0.3567904531955719,0.21254374086856842,0.5352458953857422,0.22621037065982819,0.21290622651576996,0.475719153881073,0.32817673683166504,0.5352458953857422,0.5934505462646484,0.18267881870269775,0.2277725487947464,0.4569662809371948,0.01884327083826065,0.2863844931125641,0.4130953550338745
