,common,sense,realism,of,what,scottish,philosophers,did,agassiz,incorporate,in,his,dual,view,of,knowedge,?
this,0.3251335918903351,0.3790910542011261,0.2638711631298065,0.45148900151252747,0.5489566326141357,0.20456062257289886,0.26540669798851013,0.3609912693500519,0.19804328680038452,0.30465245246887207,0.45205554366111755,0.3549620509147644,0.19495312869548798,0.2545258402824402,0.45148900151252747,0.3873303532600403,0.3155723512172699
dual,0.1645381897687912,0.11417417973279953,0.11573871225118637,0.19118990004062653,0.19368243217468262,0.21682050824165344,0.1452362984418869,0.12214221805334091,0.08272933959960938,0.24279284477233887,0.1443561315536499,0.13552331924438477,1.0,0.041787825524806976,0.19118990004062653,0.19592563807964325,0.14500975608825684
view,0.1631746143102646,0.200370192527771,0.24544163048267365,0.21446028351783752,0.2818201184272766,0.11727941036224365,0.21546809375286102,0.15928705036640167,0.11878438293933868,0.12401296198368073,0.17477142810821533,0.1316186636686325,0.041787825524806976,1.0,0.21446028351783752,0.22959934175014496,0.17672975361347198
of,0.2949881851673126,0.19666431844234467,0.20264233648777008,1.0,0.33290785551071167,0.1698460429906845,0.2105230838060379,0.2513895630836487,0.2634037733078003,0.2722231447696686,0.5696388483047485,0.38364991545677185,0.19118990004062653,0.21446028351783752,1.0,0.30374667048454285,0.1826142966747284
knowledge,0.20387770235538483,0.371106892824173,0.3260067105293274,0.25563913583755493,0.3869657814502716,0.1443762332201004,0.39617958664894104,0.25804615020751953,0.15461742877960205,0.2867855727672577,0.14916929602622986,0.2538539469242096,0.11051815003156662,0.288151353597641,0.25563913583755493,0.5567889213562012,0.2853184640407562
was,0.0880795493721962,0.11603791266679764,0.18362382054328918,0.4069072902202606,0.22111038863658905,0.20229777693748474,0.2098495066165924,0.41399896144866943,0.22349900007247925,0.14862464368343353,0.45514053106307983,0.4405253231525421,0.11013288050889969,0.1727466583251953,0.4069072902202606,0.34279894828796387,0.18412111699581146
in,0.23149342834949493,0.19032785296440125,0.1951829195022583,0.5696388483047485,0.30808621644973755,0.16512006521224976,0.22073392570018768,0.2593238651752472,0.18513235449790955,0.24667415022850037,1.0,0.3598145842552185,0.1443561315536499,0.17477142810821533,0.5696388483047485,0.2576567530632019,0.20430970191955566
concert,0.018030056729912758,0.15823914110660553,0.1351601928472519,0.19607828557491302,0.1645229160785675,0.1879536211490631,0.13421674072742462,0.21977341175079346,0.13407832384109497,0.18925100564956665,0.3091392517089844,0.24419300258159637,0.12893934547901154,0.11602101475000381,0.19607828557491302,0.20790784060955048,0.16734014451503754
with,0.26739466190338135,0.2295229434967041,0.19005967676639557,0.41827285289764404,0.2464839518070221,0.20394033193588257,0.20632649958133698,0.25472134351730347,0.1656159609556198,0.21407005190849304,0.4080928862094879,0.33836179971694946,0.2399195432662964,0.1253322958946228,0.41827285289764404,0.35465574264526367,0.2433311939239502
the,0.2705984115600586,0.23180550336837769,0.18624071776866913,0.733189046382904,0.42745697498321533,0.21724988520145416,0.21667663753032684,0.34736719727516174,0.19301146268844604,0.2866564989089966,0.6662389636039734,0.4394008219242096,0.18420051038265228,0.25610461831092834,0.733189046382904,0.3946232497692108,0.22068053483963013
