,what,are,the,stages,in,a,compound,engine,called,?
these,0.4164220690727234,0.7107698917388916,0.49086877703666687,0.3341009318828583,0.3791837692260742,0.24380075931549072,0.25301557779312134,0.1962309181690216,0.4124293625354767,0.2571668326854706
stages,0.18274828791618347,0.26579415798187256,0.29316213726997375,1.0000001192092896,0.25691351294517517,0.24129167199134827,0.12168247252702713,0.22898422181606293,0.24303682148456573,0.12672165036201477
were,0.22298263013362885,0.6489362716674805,0.3906462490558624,0.20913328230381012,0.3815755248069763,0.17203083634376526,0.12354930490255356,0.164800226688385,0.30364301800727844,0.17890112102031708
called,0.3235960602760315,0.3676711618900299,0.489897221326828,0.24303682148456573,0.40847352147102356,0.4868806302547455,0.21286223828792572,0.1479010432958603,1.0,0.18963319063186646
expansions,0.24984155595302582,0.22081948816776276,0.30108970403671265,0.263008177280426,0.21610671281814575,0.21020196378231049,0.16398130357265472,0.23149560391902924,0.19280178844928741,0.20206446945667267
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.24272145330905914,0.5201468467712402,0.427140474319458,0.19082562625408173,0.19789794087409973,0.26549121737480164,0.31091248989105225
with,0.2464839518070221,0.38996943831443787,0.4223487675189972,0.15601323544979095,0.4080928862094879,0.3783375024795532,0.21534183621406555,0.1990211457014084,0.3139074146747589,0.2433311939239502
double,0.16209302842617035,0.20160768926143646,0.21355170011520386,0.19439378380775452,0.1451583355665207,0.2448195219039917,0.17481961846351624,0.1247008740901947,0.15876372158527374,0.10017921775579453
and,0.31309178471565247,0.48576638102531433,0.5171257257461548,0.207217738032341,0.4954058527946472,0.3739250600337982,0.21241717040538788,0.18437977135181427,0.3251761794090271,0.20544172823429108
triple,0.1699010133743286,0.14917704463005066,0.23220868408679962,0.15978610515594482,0.18327002227306366,0.2620505690574646,0.1646374613046646,0.08910412341356277,0.1617029756307602,0.10550399124622345
expansion,0.2671823799610138,0.1472935825586319,0.31353142857551575,0.2172745317220688,0.20021484792232513,0.21807987987995148,0.1342833936214447,0.2244432121515274,0.17007233202457428,0.18286365270614624
engines,0.1634974628686905,0.21946673095226288,0.2245008647441864,0.27338987588882446,0.18084456026554108,0.20574161410331726,0.2556358277797699,0.8767010569572449,0.17459313571453094,0.18940703570842743
being,0.3760843276977539,0.4656608998775482,0.419739305973053,0.14404341578483582,0.33162933588027954,0.3727131485939026,0.22741343080997467,0.22076764702796936,0.2137337476015091,0.26743772625923157
common,0.19989867508411407,0.3463647663593292,0.2705984115600586,0.17846167087554932,0.23149342834949493,0.29638534784317017,0.3030253052711487,0.1584010273218155,0.2879287302494049,0.20434872806072235
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.24272145330905914,0.5201468467712402,0.427140474319458,0.19082562625408173,0.19789794087409973,0.26549121737480164,0.31091248989105225
especially,0.3590192496776581,0.4819037914276123,0.39420849084854126,0.18436947464942932,0.3526567816734314,0.3264579772949219,0.16513042151927948,0.09284202754497528,0.36621907353401184,0.19751401245594025
in,0.30808621644973755,0.3841303884983063,0.6662389636039734,0.25691351294517517,1.0,0.539380669593811,0.20910684764385223,0.18885408341884613,0.40847352147102356,0.20430970191955566
shipping,0.165150985121727,0.18906031548976898,0.2677045166492462,0.06378141790628433,0.22993473708629608,0.19071458280086517,0.12057819217443466,0.22651761770248413,0.12877090275287628,0.1596645563840866
where,0.4457937180995941,0.32389864325523376,0.5003893971443176,0.20736932754516602,0.5344807505607605,0.40997210144996643,0.20554523169994354,0.1442544013261795,0.3857341706752777,0.24793872237205505
efficiency,0.1758391559123993,0.19233524799346924,0.18687312304973602,0.2772926986217499,0.1609385907649994,0.17706015706062317,0.2073228806257248,0.39888638257980347,0.11748585104942322,0.14680004119873047
was,0.22111038863658905,0.3076191842556,0.48711544275283813,0.18915748596191406,0.45514053106307983,0.4508470594882965,0.11856551468372345,0.205611914396286,0.33927658200263977,0.18412111699581146
important,0.31164905428886414,0.33294984698295593,0.39348116517066956,0.18507391214370728,0.3796374499797821,0.2963852882385254,0.23749154806137085,0.08463074266910553,0.3316391706466675,0.17812499403953552
to,0.455847829580307,0.3504326641559601,0.535392165184021,0.1880870908498764,0.45010748505592346,0.45503583550453186,0.23539909720420837,0.20794793963432312,0.2987143397331238,0.29463258385658264
reduce,0.18258237838745117,0.24856437742710114,0.2735816240310669,0.22248560190200806,0.22053970396518707,0.22714994847774506,0.23403431475162506,0.27207472920417786,0.21265609562397003,0.1462220549583435
the,0.42745697498321533,0.40399202704429626,1.0,0.29316213726997375,0.6662389636039734,0.5829201340675354,0.18848907947540283,0.21651263535022736,0.489897221326828,0.22068053483963013
weight,0.20223349332809448,0.19613094627857208,0.19469641149044037,0.14633601903915405,0.14912216365337372,0.2418769896030426,0.22357262670993805,0.23946811258792877,0.1251102238893509,0.18111222982406616
of,0.33290785551071167,0.39081433415412903,0.733189046382904,0.27978867292404175,0.5696388483047485,0.5052502155303955,0.23397859930992126,0.17095594108104706,0.4222904443740845,0.1826142966747284
coal,0.15859243273735046,0.21059530973434448,0.23263108730316162,0.20229943096637726,0.25431546568870544,0.21951504051685333,0.24622343480587006,0.2546955347061157,0.17596405744552612,0.10339318215847015
carried,0.17649970948696136,0.23732225596904755,0.31854987144470215,0.20444971323013306,0.22688958048820496,0.21944114565849304,0.15233995020389557,0.1640525609254837,0.3179894685745239,0.1305524855852127
.,0.3567904531955719,0.3452940285205841,0.5934505462646484,0.2273997664451599,0.5591574311256409,0.50484299659729,0.20561864972114563,0.21814921498298645,0.300344854593277,0.4130953550338745
