,how,can,pyrenoids,replicate,?
pyrenoids,0.24091574549674988,0.3441446125507355,1.0,0.36543747782707214,0.22295637428760529
can,0.49246567487716675,1.0,0.3441446125507355,0.40157070755958557,0.3226337134838104
divide,0.25173529982566833,0.29248014092445374,0.2768223285675049,0.2993658781051636,0.152328222990036
to,0.44169697165489197,0.4979398250579834,0.303986132144928,0.3117429316043854,0.29463258385658264
form,0.1948026418685913,0.3206974267959595,0.27416348457336426,0.3216323256492615,0.1463010311126709
new,0.20832711458206177,0.22821471095085144,0.1230807676911354,0.16789966821670532,0.14782847464084625
pyrenoids,0.24091574549674988,0.3441446125507355,1.0,0.36543747782707214,0.22295637428760529
",",0.22659391164779663,0.3139454126358032,0.2490740418434143,0.1797264814376831,0.31091248989105225
or,0.3378981947898865,0.5614996552467346,0.34422212839126587,0.3215707540512085,0.32389625906944275
be,0.4158933162689209,0.5791122913360596,0.27324602007865906,0.3715682923793793,0.3324260413646698
produced,0.17719948291778564,0.1629219800233841,0.17839767038822174,0.17393732070922852,0.1623450517654419
``,-0.01591024175286293,0.12428006529808044,0.23086032271385193,0.058026861399412155,0.0685480609536171
de,0.10241838544607162,0.12570792436599731,0.27851006388664246,0.1078527644276619,0.11064168810844421
novo,0.07740781456232071,0.12114480137825012,0.19063347578048706,0.13513626158237457,0.17305323481559753
'',-0.0029843549709767103,0.008988718502223492,0.03206387162208557,0.013232104480266571,0.018684765323996544
.,0.3287222981452942,0.35783761739730835,0.257334440946579,0.216623917222023,0.4130953550338745
