,many,conferences,have,taking,a,position,by,voting,in,favor,of,what,?
moreover,0.3950021266937256,0.22231628000736237,0.3801937997341156,0.1618911474943161,0.2926158308982849,0.15286944806575775,0.24316640198230743,0.17991207540035248,0.29651257395744324,0.18005147576332092,0.28200021386146545,0.34821099042892456,0.25369012355804443
",",0.40610817074775696,0.2478943020105362,0.3541618287563324,0.32216814160346985,0.427140474319458,0.1771278828382492,0.3680937886238098,0.2596084773540497,0.5201468467712402,0.2809197008609772,0.4946078956127167,0.3087472915649414,0.31091248989105225
many,0.9999999403953552,0.2339240163564682,0.5841760635375977,0.24438248574733734,0.2872205972671509,0.14918828010559082,0.3409687578678131,0.17847317457199097,0.41474202275276184,0.14624309539794922,0.37253960967063904,0.36131182312965393,0.2124512493610382
conferences,0.2339240163564682,0.9999999403953552,0.28189629316329956,0.13461361825466156,0.15729105472564697,0.23624089360237122,0.17351825535297394,0.16171292960643768,0.23602792620658875,0.2211889922618866,0.22132393717765808,0.18170012533664703,0.14015959203243256
have,0.5841760635375977,0.28189629316329956,0.9999999403953552,0.2869926393032074,0.338716596364975,0.216538205742836,0.3359639644622803,0.27020007371902466,0.36843645572662354,0.21714924275875092,0.3802283704280853,0.39808809757232666,0.32991164922714233
taken,0.23880314826965332,0.0815773457288742,0.31696638464927673,0.6099703311920166,0.2520231008529663,0.13595585525035858,0.2738271653652191,0.1652037352323532,0.2500644326210022,0.20460157096385956,0.2889742851257324,0.26014965772628784,0.17662954330444336
a,0.2872205972671509,0.15729105472564697,0.338716596364975,0.2834925353527069,1.0,0.28626853227615356,0.32094135880470276,0.21578288078308105,0.539380669593811,0.2670113742351532,0.5052502155303955,0.3320399522781372,0.23916715383529663
position,0.14918828010559082,0.23624089360237122,0.216538205742836,0.20550495386123657,0.28626853227615356,1.0000001192092896,0.1652236133813858,0.20325618982315063,0.20453733205795288,0.21291521191596985,0.23636478185653687,0.22031237185001373,0.15529610216617584
by,0.3409687578678131,0.17351825535297394,0.3359639644622803,0.19618463516235352,0.32094135880470276,0.1652236133813858,1.0000001192092896,0.1886349767446518,0.370934396982193,0.21256689727306366,0.3646814823150635,0.2455483376979828,0.17966607213020325
voting,0.17847317457199097,0.16171292960643768,0.27020007371902466,0.2939993739128113,0.21578288078308105,0.20325618982315063,0.1886349767446518,0.9999999403953552,0.21573682129383087,0.3254701495170593,0.19275255501270294,0.32501840591430664,0.31114646792411804
in,0.41474202275276184,0.23602792620658875,0.36843645572662354,0.25282081961631775,0.539380669593811,0.20453733205795288,0.370934396982193,0.21573682129383087,1.0,0.2092810571193695,0.5696388483047485,0.30808621644973755,0.20430970191955566
favor,0.14624309539794922,0.2211889922618866,0.21714924275875092,0.21846938133239746,0.2670113742351532,0.21291521191596985,0.21256689727306366,0.3254701495170593,0.2092810571193695,0.9999998807907104,0.25472742319107056,0.28772833943367004,0.17767609655857086
of,0.37253960967063904,0.22132393717765808,0.3802283704280853,0.29240402579307556,0.5052502155303955,0.23636478185653687,0.3646814823150635,0.19275255501270294,0.5696388483047485,0.25472742319107056,1.0,0.33290785551071167,0.1826142966747284
same-gender,0.313713014125824,0.2765394151210785,0.3700879216194153,0.21795500814914703,0.34208640456199646,0.3065827190876007,0.19956505298614502,0.31187987327575684,0.28251901268959045,0.2865886092185974,0.30318182706832886,0.34689027070999146,0.29590803384780884
marriages,0.24861443042755127,0.18958838284015656,0.25804880261421204,0.15301728248596191,0.14996658265590668,0.13180916011333466,0.26629477739334106,0.292516827583313,0.20341117680072784,0.25518253445625305,0.21425728499889374,0.11869081109762192,0.12736597657203674
