,who,formed,the,universal,theory,of,gravitation,?
for,0.37110671401023865,0.18147863447666168,0.4739971458911896,0.19553370773792267,0.20500218868255615,0.4185989499092102,0.16623058915138245,0.264628142118454
example,0.27006375789642334,0.13942000269889832,0.3755223751068115,0.20171718299388885,0.2446725219488144,0.3570667505264282,0.2477673888206482,0.30374911427497864
",",0.3365725874900818,0.2636634409427643,0.4933079481124878,0.23720639944076538,0.18095813691616058,0.4946078956127167,0.1702146679162979,0.31091248989105225
isaac,0.23285824060440063,0.15387222170829773,0.15343432128429413,0.20514775812625885,0.19870081543922424,0.16408409178256989,0.3322444260120392,0.1153682991862297
newton,0.19243690371513367,0.1239745020866394,0.1876603662967682,0.25212782621383667,0.2634228467941284,0.18479612469673157,0.450193852186203,0.09645649790763855
unified,0.141309916973114,0.3164616525173187,0.29028576612472534,0.2811797857284546,0.2914673686027527,0.311408132314682,0.2087421417236328,0.21746130287647247
the,0.3733934462070465,0.28813210129737854,1.0,0.2359178364276886,0.2277156263589859,0.733189046382904,0.2239520251750946,0.22068053483963013
force,0.19492056965827942,0.20106574892997742,0.2800885736942291,0.14701931178569794,0.24767865240573883,0.27094775438308716,0.4442908465862274,0.1650998443365097
responsible,0.2545164227485657,0.24054712057113647,0.3305104374885559,0.20801150798797607,0.20886042714118958,0.37070101499557495,0.18910454213619232,0.11367333680391312
for,0.37110671401023865,0.18147863447666168,0.4739971458911896,0.19553370773792267,0.20500218868255615,0.4185989499092102,0.16623058915138245,0.264628142118454
objects,0.19808335602283478,0.09827718883752823,0.24716724455356598,0.12351159006357193,0.27867934107780457,0.23814009130001068,0.4908067584037781,0.15479016304016113
falling,0.25209540128707886,0.16812048852443695,0.3168080151081085,0.1006564348936081,0.1384410858154297,0.27901384234428406,0.3082330822944641,0.159834623336792
at,0.22096660733222961,0.1652698516845703,0.457212895154953,0.08653327822685242,0.1279659867286682,0.42558613419532776,0.1844840943813324,0.21978627145290375
the,0.3733934462070465,0.28813210129737854,1.0,0.2359178364276886,0.2277156263589859,0.733189046382904,0.2239520251750946,0.22068053483963013
surface,0.05522359535098076,0.20907439291477203,0.2555135488510132,0.06563079357147217,0.20110444724559784,0.24204103648662567,0.466612309217453,0.14613434672355652
of,0.2827862501144409,0.2871689796447754,0.733189046382904,0.20601727068424225,0.23506702482700348,1.0,0.20778346061706543,0.1826142966747284
the,0.3733934462070465,0.28813210129737854,1.0,0.2359178364276886,0.2277156263589859,0.733189046382904,0.2239520251750946,0.22068053483963013
earth,0.15992608666419983,0.17993158102035522,0.2801888585090637,0.2511849105358124,0.27239564061164856,0.2329314798116684,0.47331613302230835,0.17717236280441284
with,0.3282766342163086,0.2785397171974182,0.4223487675189972,0.1955629140138626,0.21627245843410492,0.41827285289764404,0.1992432326078415,0.2433311939239502
the,0.3733934462070465,0.28813210129737854,1.0,0.2359178364276886,0.2277156263589859,0.733189046382904,0.2239520251750946,0.22068053483963013
force,0.19492056965827942,0.20106574892997742,0.2800885736942291,0.14701931178569794,0.24767865240573883,0.27094775438308716,0.4442908465862274,0.1650998443365097
responsible,0.2545164227485657,0.24054712057113647,0.3305104374885559,0.20801150798797607,0.20886042714118958,0.37070101499557495,0.18910454213619232,0.11367333680391312
for,0.37110671401023865,0.18147863447666168,0.4739971458911896,0.19553370773792267,0.20500218868255615,0.4185989499092102,0.16623058915138245,0.264628142118454
the,0.3733934462070465,0.28813210129737854,1.0,0.2359178364276886,0.2277156263589859,0.733189046382904,0.2239520251750946,0.22068053483963013
orbits,0.11233821511268616,0.1862637847661972,0.17004740238189697,0.1626729667186737,0.25593870878219604,0.18168918788433075,0.5496803522109985,0.14841602742671967
of,0.2827862501144409,0.2871689796447754,0.733189046382904,0.20601727068424225,0.23506702482700348,1.0,0.20778346061706543,0.1826142966747284
celestial,0.21504196524620056,0.10121827572584152,0.26175692677497864,0.2644854485988617,0.2519652843475342,0.2320268601179123,0.49028298258781433,0.17347528040409088
mechanics,0.19896665215492249,0.10056678205728531,0.25626060366630554,0.18435554206371307,0.5228440165519714,0.27608323097229004,0.4623708426952362,0.15634238719940186
in,0.2792111933231354,0.27325257658958435,0.6662389636039734,0.17730140686035156,0.16955126821994781,0.5696388483047485,0.17963449656963348,0.20430970191955566
his,0.44966956973075867,0.14771054685115814,0.4394008219242096,0.18114551901817322,0.2209872305393219,0.38364991545677185,0.21912434697151184,0.18075084686279297
universal,0.1685853749513626,0.13419097661972046,0.2359178364276886,0.9999999403953552,0.2450125515460968,0.20601727068424225,0.322085440158844,0.2074412703514099
theory,0.19210977852344513,0.15509110689163208,0.2277156263589859,0.2450125515460968,0.9999999403953552,0.23506702482700348,0.4541175961494446,0.1387292891740799
of,0.2827862501144409,0.2871689796447754,0.733189046382904,0.20601727068424225,0.23506702482700348,1.0,0.20778346061706543,0.1826142966747284
gravitation,0.13835126161575317,0.16635185480117798,0.2239520251750946,0.322085440158844,0.4541175961494446,0.20778346061706543,1.0000001192092896,0.1806045025587082
.,0.3541337847709656,0.2737641930580139,0.5934505462646484,0.17210373282432556,0.18047811090946198,0.5352458953857422,0.2011251598596573,0.4130953550338745
