,what,is,the,rhine,gorge,known,for,?
the,0.42745697498321533,0.5823672413825989,1.0,0.30735138058662415,0.26357370615005493,0.3624623417854309,0.4739971458911896,0.22068053483963013
gorge,0.1718710958957672,0.189615860581398,0.26357370615005493,0.25667303800582886,1.0,0.11578381061553955,0.14492924511432648,0.1263076812028885
is,0.28837618231773376,1.0,0.5823672413825989,0.15617261826992035,0.189615860581398,0.41921812295913696,0.43268078565597534,0.22961433231830597
quite,0.4139309525489807,0.3340429961681366,0.3001116216182709,0.18749874830245972,0.17185701429843903,0.2290678322315216,0.34519028663635254,0.2597154676914215
deep,0.2200533002614975,0.23750139772891998,0.26388582587242126,0.11381041258573532,0.2615232765674591,0.19979742169380188,0.19496679306030273,0.1765073984861374
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.22029656171798706,0.2490140050649643,0.3468935489654541,0.5064792633056641,0.20544172823429108
is,0.28837618231773376,1.0,0.5823672413825989,0.15617261826992035,0.189615860581398,0.41921812295913696,0.43268078565597534,0.22961433231830597
the,0.42745697498321533,0.5823672413825989,1.0,0.30735138058662415,0.26357370615005493,0.3624623417854309,0.4739971458911896,0.22068053483963013
stretch,0.24601683020591736,0.26650622487068176,0.2665952444076538,0.1771329641342163,0.28508302569389343,0.09081394970417023,0.15598636865615845,0.13738147914409637
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.2548927664756775,0.2074861377477646,0.35814476013183594,0.4185989499092102,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.30735138058662415,0.26357370615005493,0.3624623417854309,0.4739971458911896,0.22068053483963013
river,0.13815869390964508,0.20670881867408752,0.2894456386566162,0.3672541379928589,0.4721168577671051,0.10661573708057404,0.12789757549762726,0.15390869975090027
which,0.5261979103088379,0.4457404911518097,0.6521818041801453,0.18744276463985443,0.2988351881504059,0.30223485827445984,0.44095608592033386,0.25814583897590637
is,0.28837618231773376,1.0,0.5823672413825989,0.15617261826992035,0.189615860581398,0.41921812295913696,0.43268078565597534,0.22961433231830597
known,0.20381177961826324,0.41921812295913696,0.3624623417854309,0.12647588551044464,0.11578381061553955,1.0,0.363901823759079,0.18314571678638458
for,0.3017193675041199,0.43268078565597534,0.4739971458911896,0.1584572196006775,0.14492924511432648,0.363901823759079,0.9999999403953552,0.264628142118454
its,0.30393704771995544,0.4447362422943115,0.559237003326416,0.17144687473773956,0.17081785202026367,0.31007078289985657,0.2992613911628723,0.15103481709957123
many,0.36131182312965393,0.2649032473564148,0.4335206151008606,0.11647748202085495,0.2525760531425476,0.30594465136528015,0.40972793102264404,0.2124512493610382
castles,0.15941859781742096,0.2336672991514206,0.31752192974090576,0.32023119926452637,0.30807843804359436,0.2612284719944,0.25325217843055725,0.08299993723630905
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.22029656171798706,0.2490140050649643,0.3468935489654541,0.5064792633056641,0.20544172823429108
vineyards,0.21329408884048462,0.2680201828479767,0.2780703604221344,0.2819543480873108,0.38187870383262634,0.2576215863227844,0.19930845499038696,0.15718314051628113
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2089352011680603,0.21320518851280212,0.283290296792984,0.4726039469242096,0.4130953550338745
