,what,does,refusing,to,preach,the,ten,commandments,not,do,?
simply,0.4566527307033539,0.30226629972457886,0.18452993035316467,0.3868776261806488,0.2072240710258484,0.3653980493545532,0.1319461613893509,0.16689243912696838,0.3911668360233307,0.37204277515411377,0.2984147369861603
refusing,0.28312820196151733,0.39849111437797546,1.0000001192092896,0.4428732693195343,0.3444327712059021,0.2845401167869568,0.13019591569900513,0.272235244512558,0.3934282064437866,0.32074081897735596,0.18556274473667145
to,0.455847829580307,0.4391997456550598,0.4428732693195343,1.0,0.27807652950286865,0.535392165184021,0.2618066668510437,0.29559826850891113,0.5149973034858704,0.38876664638519287,0.29463258385658264
preach,0.28994831442832947,0.18688972294330597,0.3444327712059021,0.27807652950286865,1.0,0.20831279456615448,0.23055720329284668,0.3974330723285675,0.2521817982196808,0.2813791334629059,0.24534663558006287
the,0.42745697498321533,0.35928019881248474,0.2845401167869568,0.535392165184021,0.20831279456615448,1.0,0.3256247341632843,0.3037950396537781,0.4310511648654938,0.30239659547805786,0.22068053483963013
ten,0.1616830825805664,0.1422448456287384,0.13019591569900513,0.2618066668510437,0.23055720329284668,0.3256247341632843,0.9999999403953552,0.4070856273174286,0.17208710312843323,0.13663049042224884,0.14471080899238586
commandments,0.3296407163143158,0.25933200120925903,0.272235244512558,0.29559826850891113,0.3974330723285675,0.3037950396537781,0.4070856273174286,1.0,0.30596351623535156,0.24058672785758972,0.25463607907295227
among,0.21154822409152985,0.13270315527915955,0.2064473032951355,0.26594701409339905,0.22771888971328735,0.3507058024406433,0.3127433657646179,0.25480377674102783,0.26159530878067017,0.21025244891643524,0.14343059062957764
christians,0.302469938993454,0.16515932977199554,0.3187353014945984,0.2587539851665497,0.5367890000343323,0.24734680354595184,0.1400195062160492,0.4477251172065735,0.2782294452190399,0.2660738229751587,0.20289786159992218
–,0.13008765876293182,0.13794226944446564,0.13669677078723907,0.19410304725170135,0.15374134480953217,0.2607575058937073,0.2404278665781021,0.1172824576497078,0.14919233322143555,0.09956804662942886,0.2714554965496063
