,how,many,reptiles,have,been,discovered,in,the,amazon,region,?
to,0.44169697165489197,0.40243685245513916,0.19389158487319946,0.4544740617275238,0.34945759177207947,0.17764629423618317,0.45010748505592346,0.535392165184021,0.17033490538597107,0.24118299782276154,0.29463258385658264
date,0.16644634306430817,0.10952645540237427,0.08687645941972733,0.16938146948814392,0.24611972272396088,0.1663178950548172,0.21362407505512238,0.25333094596862793,0.08962918072938919,0.11499998718500137,0.2698357403278351
",",0.22659391164779663,0.40610817074775696,0.2549891173839569,0.3541618287563324,0.34873589873313904,0.26185235381126404,0.5201468467712402,0.4933079481124878,0.2214922308921814,0.2119160145521164,0.31091248989105225
at,0.2154216170310974,0.2716965675354004,0.20842017233371735,0.29004791378974915,0.2504468560218811,0.18777406215667725,0.4374977946281433,0.457212895154953,0.1615314781665802,0.15165263414382935,0.21978627145290375
least,0.2839330732822418,0.36189308762550354,0.19376373291015625,0.45121026039123535,0.3547329306602478,0.17808842658996582,0.3232700824737549,0.3428877890110016,0.1569196581840515,0.14811986684799194,0.28866854310035706
"40,000",0.08398868143558502,0.0646485835313797,0.07549630850553513,0.09393125027418137,0.15309488773345947,0.031139681115746498,0.24079853296279907,0.21362866461277008,0.02237701416015625,0.049880482256412506,0.262452632188797
plant,0.24431802332401276,0.2707696259021759,0.27071094512939453,0.23837271332740784,0.22371040284633636,0.22698257863521576,0.2597269117832184,0.28395459055900574,0.24274323880672455,0.1843220591545105,0.16613075137138367
species,0.20142129063606262,0.25436872243881226,0.5270869135856628,0.3239450752735138,0.2805362343788147,0.2899267375469208,0.2179255336523056,0.2522439956665039,0.2994495630264282,0.22915275394916534,0.1957087516784668
",",0.22659391164779663,0.40610817074775696,0.2549891173839569,0.3541618287563324,0.34873589873313904,0.26185235381126404,0.5201468467712402,0.4933079481124878,0.2214922308921814,0.2119160145521164,0.31091248989105225
"2,200",0.14244776964187622,0.22842593491077423,0.29791828989982605,0.13198038935661316,0.16796879470348358,0.25861304998397827,0.12239512801170349,0.06788789480924606,0.0866977870464325,0.059764962643384933,0.013263288885354996
fishes,0.23515382409095764,0.29536959528923035,0.47034233808517456,0.27464041113853455,0.22595451772212982,0.23923759162425995,0.23867948353290558,0.29045408964157104,0.2869487404823303,0.1997777372598648,0.2000686526298523
",",0.22659391164779663,0.40610817074775696,0.2549891173839569,0.3541618287563324,0.34873589873313904,0.26185235381126404,0.5201468467712402,0.4933079481124878,0.2214922308921814,0.2119160145521164,0.31091248989105225
