,what,is,another,term,used,for,year,13,?
the,0.42745697498321533,0.5823672413825989,0.5019711852073669,0.2740369141101837,0.3718377649784088,0.4739971458911896,0.3609684407711029,-0.007407139986753464,0.22068053483963013
secondary,0.20388361811637878,0.19772830605506897,0.25690019130706787,0.18002641201019287,0.22066541016101837,0.2065851241350174,0.16393998265266418,0.005333128850907087,0.18118004500865936
level,0.27376922965049744,0.24803997576236725,0.20499542355537415,0.214185431599617,0.16044408082962036,0.23426367342472076,0.14866961538791656,-0.019936546683311462,0.20528386533260345
includes,0.17138352990150452,0.4033885896205902,0.17415325343608856,0.22192968428134918,0.2994908094406128,0.3552350699901581,0.0900857225060463,-0.04679006710648537,0.14011523127555847
schools,0.1820785105228424,0.2022145688533783,0.16504782438278198,0.1905326247215271,0.2245682328939438,0.2320515662431717,0.1730971336364746,0.018976612016558647,0.18349280953407288
offering,0.24005436897277832,0.16401077806949615,0.25824791193008423,0.11315516382455826,0.22804833948612213,0.3597825765609741,0.16169394552707672,-0.11217403411865234,0.15441901981830597
years,0.1981470286846161,0.19551363587379456,0.20923392474651337,0.22886784374713898,0.11647152900695801,0.2878222167491913,0.5195499062538147,0.08301357179880142,0.1914375126361847
7,-0.1699475795030594,-0.08589375764131546,-0.18175460398197174,-0.12611672282218933,-0.19697469472885132,-0.11536749452352524,-0.12103487551212311,0.05626780539751053,-0.15092156827449799
through,0.23167094588279724,0.27805060148239136,0.2753884196281433,0.19420595467090607,0.20277023315429688,0.3172857463359833,0.14608070254325867,0.018804974853992462,0.16913433372974396
12,0.1696145385503769,0.33493560552597046,0.2705847918987274,0.05533110722899437,0.22065284848213196,0.08460327982902527,0.10855238884687424,-0.01952856220304966,0.10021790862083435
(,0.2411840260028839,0.35393038392066956,0.2500171959400177,0.16755855083465576,0.19005385041236877,0.3357032239437103,0.2556702494621277,0.027452724054455757,0.40561532974243164
year,0.15184831619262695,0.2402215600013733,0.22209987044334412,0.2334945797920227,0.1307803839445114,0.29294124245643616,1.0,0.044694337993860245,0.18315006792545319
twelve,0.15996748208999634,0.17539331316947937,0.189558744430542,0.1304371953010559,0.17351274192333221,0.19891567528247833,0.2866242229938507,0.09446313977241516,0.06192852556705475
is,0.28837618231773376,1.0,0.41278526186943054,0.270183801651001,0.3288823366165161,0.43268078565597534,0.2402215600013733,-0.007720510475337505,0.22961433231830597
known,0.20381177961826324,0.41921812295913696,0.21254785358905792,0.25956669449806213,0.37155357003211975,0.363901823759079,0.20408862829208374,0.050184216350317,0.18314571678638458
as,0.31749409437179565,0.43216490745544434,0.3282026946544647,0.3224089443683624,0.35160550475120544,0.44774648547172546,0.28440728783607483,0.08679751306772232,0.27043893933296204
lower,0.20079238712787628,0.20806168019771576,0.16173318028450012,0.10933704674243927,0.1612802892923355,0.15945355594158173,0.10991223156452179,-0.022223981097340584,0.08471795171499252
sixth,0.13433639705181122,0.2980344891548157,0.2723660469055176,0.12107747048139572,0.10791017860174179,0.1952703595161438,0.26815932989120483,0.00015853214426897466,0.11620894819498062
),0.26259949803352356,0.37732169032096863,0.2743632197380066,0.14937621355056763,0.1905621439218521,0.3639558255672455,0.24282371997833252,0.024714315310120583,0.42300865054130554
and,0.31309178471565247,0.3859752118587494,0.3214244842529297,0.22272127866744995,0.3150506615638733,0.5064792633056641,0.2506658732891083,0.05119633674621582,0.20544172823429108
year,0.15184831619262695,0.2402215600013733,0.22209987044334412,0.2334945797920227,0.1307803839445114,0.29294124245643616,1.0,0.044694337993860245,0.18315006792545319
13,-0.0796622633934021,-0.007720510475337505,0.011964811012148857,-0.009591315872967243,-0.09240610152482986,-0.016487080603837967,0.044694337993860245,0.9999999403953552,-0.11384815722703934
(,0.2411840260028839,0.35393038392066956,0.2500171959400177,0.16755855083465576,0.19005385041236877,0.3357032239437103,0.2556702494621277,0.027452724054455757,0.40561532974243164
upper,0.1592642068862915,0.2177516371011734,0.1494065225124359,0.11012937873601913,0.16362324357032776,0.12166716158390045,0.09775688499212265,0.017013277858495712,0.051342256367206573
sixth,0.13433639705181122,0.2980344891548157,0.2723660469055176,0.12107747048139572,0.10791017860174179,0.1952703595161438,0.26815932989120483,0.00015853214426897466,0.11620894819498062
),0.26259949803352356,0.37732169032096863,0.2743632197380066,0.14937621355056763,0.1905621439218521,0.3639558255672455,0.24282371997833252,0.024714315310120583,0.42300865054130554
.,0.3567904531955719,0.4569662809371948,0.3817248046398163,0.18456575274467468,0.33111312985420227,0.4726039469242096,0.32538118958473206,0.041442494839429855,0.4130953550338745
