,the,analysis,of,stratigraphic,sections,such,as,drill,cores,is,done,by,who,?
in,0.6662389636039734,0.19403725862503052,0.5696388483047485,0.26945239305496216,0.21961887180805206,0.2704046070575714,0.3887844979763031,0.1910555362701416,0.17652925848960876,0.5394441485404968,0.22165289521217346,0.370934396982193,0.2792111933231354,0.20430970191955566
the,1.0,0.24241644144058228,0.733189046382904,0.3194960653781891,0.3228905200958252,0.3575236201286316,0.48381632566452026,0.27109989523887634,0.25309666991233826,0.5823672413825989,0.26575928926467896,0.4408751428127289,0.3733934462070465,0.22068053483963013
laboratory,0.19762322306632996,0.41108179092407227,0.23493865132331848,0.28679704666137695,0.07173727452754974,0.1628686636686325,0.16936905682086945,0.29123353958129883,0.2201089709997177,0.21502412855625153,0.24709072709083557,0.24095375835895538,0.10638436675071716,0.07445509731769562
",",0.4933079481124878,0.25410884618759155,0.4946078956127167,0.2281859666109085,0.28268834948539734,0.39626169204711914,0.48816442489624023,0.21337367594242096,0.27680590748786926,0.4691906273365021,0.32079052925109863,0.3680937886238098,0.3365725874900818,0.31091248989105225
stratigraphers,0.2791062891483307,0.39013344049453735,0.27618104219436646,0.7783257365226746,0.2516102194786072,0.23299506306648254,0.20590408146381378,0.24585796892642975,0.29985132813453674,0.19671957194805145,0.27584192156791687,0.20645135641098022,0.21059902012348175,0.1410115361213684
analyze,0.2610788345336914,0.6809750199317932,0.2221144735813141,0.3713681995868683,0.16740980744361877,0.2744137644767761,0.19323813915252686,0.2376825213432312,0.3144890367984772,0.2287852019071579,0.28393352031707764,0.26581740379333496,0.16360558569431305,0.19188500940799713
samples,0.2069351226091385,0.3598664402961731,0.19450756907463074,0.26149460673332214,0.23005236685276031,0.29529598355293274,0.2145594358444214,0.20836091041564941,0.3832346796989441,0.22968509793281555,0.31716790795326233,0.32231226563453674,0.21415893733501434,0.1777840405702591
of,0.733189046382904,0.24679350852966309,1.0,0.338003009557724,0.20906880497932434,0.3209529519081116,0.3886612355709076,0.1892881840467453,0.19923704862594604,0.4854315221309662,0.23300732672214508,0.3646814823150635,0.2827862501144409,0.1826142966747284
stratigraphic,0.3194960653781891,0.39811381697654724,0.338003009557724,0.9999998807907104,0.2175697386264801,0.20583508908748627,0.24175679683685303,0.21463915705680847,0.2997695207595825,0.26324859261512756,0.22837375104427338,0.19590432941913605,0.04105031490325928,0.13672329485416412
sections,0.3228905200958252,0.17791177332401276,0.20906880497932434,0.2175697386264801,0.9999999403953552,0.265627920627594,0.2307887226343155,0.20548249781131744,0.33753809332847595,0.1958819478750229,0.21592262387275696,0.1566195785999298,0.12967529892921448,0.2495482712984085
that,0.5473989248275757,0.34139660000801086,0.41498205065727234,0.24591417610645294,0.29529649019241333,0.4479874074459076,0.4735107421875,0.26885414123535156,0.29719415307044983,0.3995479643344879,0.40027952194213867,0.37496164441108704,0.45444270968437195,0.32716336846351624
can,0.312528520822525,0.2159404158592224,0.2603091299533844,0.20787495374679565,0.36704984307289124,0.396209716796875,0.3245031237602234,0.2614290714263916,0.324664831161499,0.44256699085235596,0.36048609018325806,0.29642900824546814,0.2602734863758087,0.3226337134838104
be,0.4248143136501312,0.26080402731895447,0.33904364705085754,0.19420665502548218,0.35861948132514954,0.5239806771278381,0.5230465531349182,0.23790939152240753,0.2539330720901489,0.4819129705429077,0.39659690856933594,0.43158695101737976,0.3371641933917999,0.3324260413646698
returned,0.32857778668403625,0.13965058326721191,0.28002414107322693,0.09562574326992035,0.06593048572540283,0.11900018155574799,0.2330649346113205,0.10748745501041412,0.11607365310192108,0.18192875385284424,0.2103673368692398,0.2103281319141388,0.23187772929668427,0.07695316523313522
